paper_id,section,challenge_domain,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,has_section5_signal,has_section6_signal,has_section7_signal,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,8B,hardware_scalability_efficiency,hardware complexity,lexical,INDIRECT,"The concept of hardware_scalability_efficiency is related to the discussion of techniques to improve power efficiency in wireless communications, such as CE-OFDM, but it is not directly mentioned as a key factor in the provided snippet.","The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_002,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_003,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_vlc,True,True,True,bridge,INDIRECT,,,False
O_ISAC_004,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_005,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_006,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_007,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_008,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_009,8B,hardware_scalability_efficiency,design complexity,fuzzy:88.23529411764706,INDIRECT,"The text discusses the improvement of GaN micro-LEDs' modulation bandwidth and its potential to enhance Visible Light Positioning (VLP) technologies, but it does not directly address hardware scalability efficiency. Instead, it highlights the limitations of current VLP systems and proposes potential solutions, implying the need for more efficient hardware without explicitly stating it.","<span id=""page-1-13""></span><span id=""page-1-12""></span>However, the current Visible Light Positioning (VLP) technologies have not been designed to benefit from the improved LED modulation bandwidth. More explicitly, for the proximity-based VLP systems [\[23\],](#page-15-21) [\[24\], t](#page-15-22)he mobile device receives a low-rate identification message through visible light and then looks up its location in a database. In order to improve accuracy, fingerprinting VLP systems [\[25\],](#page-15-23) [\[26\]](#page-15-24) estimate the user location by matching online measured data with a comprehensive database that models a room's topology. Moreover, camera-based VLP solutions have been proposed in [\[27\]](#page-15-25) and [\[28\], w](#page-15-26)hich have increased hardware cost and signal processing complexity. By contrast, the VLP technologies relying on signals received within the field-of-view (FoV) of a 'single-pixel' photodiode (PD) are more practical and economical solutions, where the Time-of-Arrival (ToA) [\[29\], A](#page-15-27)ngle-of-Arrival (AoA) [\[30\],](#page-15-28) [\[31\],](#page-15-29) [\[32\]](#page-15-30) and Received Signal Strength (RSS) [\[33\],](#page-15-31) [\[34\],](#page-15-32) [\[35\],](#page-15-33) [\[36\],](#page-15-34) [\[37\]](#page-15-35) have been evaluated. However, the ToA/AoA/RSS-based VLP systems generally assume perfect knowledge of both path loss model and transceiver parameters, such as LED/PD directions, which limits the types of applications, users and their mobilities. Furthermore, the above VLP techniques purely rely on the assumption of Line-of-Sight (LoS) propagation, hence their accuracies are severely degraded by the Non-LoS (NLoS) reflections from buildings, walls and diverse other surfaces. The detrimental multipath effects imposed on VLP have been confirmed both theoretically and experimentally in [\[38\],](#page-15-36) [\[39\],](#page-15-37) [\[40\],](#page-15-38) [\[41\].](#page-15-39)",35,35,"<span id=""page-0-5""></span><span id=""page-0-4""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span>I. INTRODUCTION",,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_010,8B,hardware_scalability_efficiency,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
