duplicate_id,duplicate_title,duplicate_doi,raw_source_database,raw_source_file,raw_source_row,raw_match_rule,duplicate_log_source_file,duplicate_log_source_row,decision_date,decision_basis,matched_in_scopus_screening_entries,master_track_id,master_title,master_doi,master_source_file,master_source_row,master_source_decision,master_match_rule,master_resolution_status,evidence_scope,notes
DEDUP_RECON_001,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,10.1109/TSP.2024.3383285,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,275,exact_title_doi,analysis/ph1_scr/screening_log.csv,7,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_062,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,10.1109/TSP.2024.3383285,analysis/ph1_scr/included_studies_list.csv,62,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_002,C-Band 200 Gbit/s/λ PS-PAM-8 Transmission Over 2-km SSMF for Optical Interconnections,10.1109/JPHOT.2024.3381232,IEEE Xplore,data/srch_logs/export2025.12.28-05.30.23.csv,8,exact_title_doi,analysis/ph1_scr/screening_log.csv,8,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,no,,,,,,,,master_not_resolved_in_current_repo_snapshot,partial_dec28_update_workflow_only,"Duplicate decision is explicit in the legacy screening log, but a retained non-duplicate master record is not recoverable from current repo artifacts."
DEDUP_RECON_003,Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network,10.1109/LPT.2025.3593343,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,136,exact_title_doi,analysis/ph1_scr/screening_log.csv,9,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_113,Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network,10.1109/LPT.2025.3593343,analysis/ph1_scr/included_studies_list.csv,112,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_004,Adaptive RIS Optimization for Secure Underwater Optical Communications,10.1109/ACCESS.2025.3602057,IEEE Xplore,data/srch_logs/export2025.12.28-05.30.23.csv,17,exact_title_doi,analysis/ph1_scr/screening_log.csv,17,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,no,O_ISAC_127,Adaptive RIS Optimization for Secure Underwater Optical Communications,10.1109/ACCESS.2025.3602057,analysis/ph1_scr/included_studies_list.csv,126,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_005,Radar-LiDAR Fusion-Aided RF Beams Prediction for Vehicular Communications,10.1109/OJCOMS.2025.3577193,IEEE Xplore,data/srch_logs/export2025.12.28-05.30.23.csv,20,exact_title_doi,analysis/ph1_scr/screening_log.csv,20,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,no,O_ISAC_134,Radar-LiDAR Fusion-Aided RF Beams Prediction for Vehicular Communications,10.1109/OJCOMS.2025.3577193,analysis/ph1_scr/included_studies_list.csv,133,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_006,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions",10.1109/OJCOMS.2020.3010270,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,371,exact_title_doi,analysis/ph1_scr/screening_log.csv,27,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_150,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions",10.1109/OJCOMS.2020.3010270,analysis/ph1_scr/included_studies_list.csv,149,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_007,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,10.1109/JIOT.2024.3469279,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,61,exact_title_doi,analysis/ph1_scr/screening_log.csv,30,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,10.1109/JIOT.2024.3469279,analysis/ph1_scr/included_studies_list.csv,24,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_008,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",10.1109/IOTM.001.2300196,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,207,exact_title_doi,analysis/ph1_scr/screening_log.csv,31,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_021,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",10.1109/IOTM.001.2300196,analysis/ph1_scr/included_studies_list.csv,22,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_009,Optical Camera-Based Integrated Sensing and Communication for V2X Applications: Model and Optimization,10.3390/s25227061,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,13,exact_title_doi,analysis/ph1_scr/screening_log.csv,44,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_164,Optical Camera-Based Integrated Sensing and Communication for V2X Applications: Model and Optimization,10.3390/s25227061,analysis/ph1_scr/included_studies_list.csv,163,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_010,Multi-Modal Integrated Sensing and Communication in Internet of Things With Large Language Models,10.1109/MIOT.2025.3575888,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,25,exact_title_doi,analysis/ph1_scr/screening_log.csv,56,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_093,Multi-Modal Integrated Sensing and Communication in Internet of Things With Large Language Models,10.1109/MIOT.2025.3575888,analysis/ph1_scr/included_studies_list.csv,92,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_011,Co-wavelength-channel integration of ultra-low-frequency distributed acoustic sensing and high-capacity communication,10.1364/PRJ.551958,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,32,exact_title_doi,analysis/ph1_scr/screening_log.csv,63,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_046,Co-Wavelength-Channel Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and High-Capacity Communication,10.1109/ACP/IPOC63121.2024.10810040,analysis/ph1_scr/included_studies_list.csv,46,Included,title_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_012,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,10.1109/LWC.2024.3521192,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,48,exact_title_doi,analysis/ph1_scr/screening_log.csv,79,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_015,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,10.1109/LWC.2024.3521192,analysis/ph1_scr/included_studies_list.csv,16,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_013,Microwave Photonic Integrated Sensing and Communication Based on Polarization Multiplexing and Frequency-to-Time Mapping,10.1109/JIOT.2025.3542099,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,51,exact_title_doi,analysis/ph1_scr/screening_log.csv,82,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_097,Microwave Photonic Integrated Sensing and Communication Based on Polarization Multiplexing and Frequency-to-Time Mapping,10.1109/JIOT.2025.3542099,analysis/ph1_scr/included_studies_list.csv,96,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
DEDUP_RECON_014,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,10.1109/TMC.2025.3545340,Scopus,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,52,exact_title_doi,analysis/ph1_scr/screening_log.csv,83,2025-12-28,explicit_duplicate_decision_in_legacy_screening_log,yes,O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,10.1109/TMC.2025.3545340,analysis/ph1_scr/included_studies_list.csv,31,Included,doi_match,resolved_to_nonduplicate_master,partial_dec28_update_workflow_only,
