file,status,stale_content,required_action,do_not_do
manuscript/current_bundle/section1.tex,stale,"220 studies; 2020-2025; 208 TQAF-scored studies","rewrite corpus and contribution statements from the 206-study governed source","do not replace denominators mechanically"
manuscript/current_bundle/section3.tex,stale,"old databases; old cutoff; 220-study PRISMA flow; undocumented dual-reviewer process","replace with 01_METHODS_PRISMA_206_EN.tex plus 02_RESULTS_PRISMA_206_EN.tex and claim governance","do not claim independent duplicate review"
manuscript/current_bundle/section4.tex,recompute,"taxonomy counts derived from 220 studies","regenerate taxonomy counts and figures from 206 unique study_cluster_id rows","do not scale percentages or change only the denominator"
manuscript/current_bundle/section5.tex,recompute,"metric/trade-off counts and Pareto claims from legacy evidence model","regenerate from the claim ledger after excluding quarantined claims and enforcing comparability gates","do not use 4997 as a universal comparable-claim denominator"
manuscript/current_bundle/section6.tex,recheck,"general architecture discussion is potentially reusable but data-derived figure needs verification","retain conceptual prose only after claim-ledger audit; regenerate data-derived figure","do not assume legacy figure values survived the corpus change"
manuscript/current_bundle/section7.tex,recompute,"application and enabling-technology distributions based on old corpus","regenerate multi-label counts from 206 studies and disclose that totals can exceed 206","do not interpret multi-label sums as study prevalence denominator"
manuscript/current_bundle/section8.tex,recheck,"TQAF-aware wording and old corpus-linked claims","integrate only finalized Phase-E/Phase-F results and preserve citation keys","do not alter O_ISAC_* identifiers by numeric replacement"
manuscript/current_bundle/section9.tex,stale,"conclusion states 220-study corpus","rewrite after Phase-F synthesis and use 206-study/227-report distinction","do not claim every included study is independently human verified"
manuscript/current_bundle/included_studies_appendix.tex,recompute,"220-row included-study appendix","regenerate 206 study rows while retaining 227-report lineage separately","do not count companion reports as studies"
manuscript/finalManuscript/bare_jrnl_new_sample4.tex,dirty_user_file,"contains legacy corpus and reviewer-process claims plus uncommitted user edits","integrate this package only through a later reviewed patch","do not overwrite in this branch"
