study_id,citation_key,title,year,modality,integration_mechanisms,validation_maturity_max,validation_types,application_domains,substantive_tradeoff_member,eligible_report_count,companion_eligible_report_count,eligible_report_ids,cited_in_main,prose_use_count,table_use_count,total_use_count,primary_narrative_home,all_main_locations,pending_human_row_count,canonical_integration_mechanisms,canonical_validation_types,canonical_enabling_technologies,canonical_application_domains,qa_status
STC-ACO-OFDM-LFM-LIDAR-2025,OISAC_SCR01115,Integrated Design of OFDM-LFM Lidar Communication in IoV Environment,2024,FSO,shared_waveform; shared_hardware; shared_resource_allocation,4,simulation; laboratory_experiment,vehicular,yes,1,0,RPT-SCR-01115-01,yes,1,0,1,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:507 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Rate, Resolution, Accuracy, and Range | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:507:prose,0,shared_waveform|shared_hardware|shared_resource_allocation,simulation|laboratory_experiment,OFDM|FMCW,vehicular,PASS
STC-DP-IMDD-THZ-RANGING-2025-2026,OISAC_SCR00989,310Gbps Transmission and Centimeter-Level Ranging Photonic THz ISAC System,2026,photonic_THz,shared_hardware; shared_resource_allocation,5,analytical; laboratory_experiment; prototype_testbed,6G_access; indoor_positioning,no,2,1,RPT-SCR-00989-01; RPT-SCR-00933-01,yes,2,0,2,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:72 | OPTICAL PLATFORMS AND INTEGRATION ARCHITECTURES > Physical Platform Families > Photonics Assisted Terahertz Systems | prose,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:72:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:86:prose,0,shared_hardware|shared_resource_allocation,analytical|laboratory_experiment|prototype_testbed,OFDM|photonic_THz_generation,6G_access,PASS
STC-DSCM-ANN-DT-ECL-2025-2026,OISAC_SCR01185,Machine-learning-enhanced phase-based vibration sensing in coherent DSCM systems under commercial ECLs,2026,fiber,shared_waveform; shared_hardware; shared_resource_allocation,4,simulation; dataset_based; laboratory_experiment,environment_monitoring,yes,2,1,RPT-SCR-01185-01; RPT-SCR-00722-01,yes,2,0,2,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:423 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Communication Reliability and Sensing Quality | prose,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:423:prose; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:186:prose,0,shared_waveform|shared_hardware|shared_resource_allocation,simulation|dataset_based|laboratory_experiment,digital_twin,environment_monitoring,PASS
STC-EADO-OFDM-RANGING-2024-2025,OISAC_SCR00956,Optical Wireless Integrated Sensing and Communication Based on EADO-OFDM: A Flexible Resource Allocation Perspective,2025,FSO,shared_waveform; shared_resource_allocation,2,analytical; simulation,6G_access; vehicular,yes,2,1,RPT-SCR-00956-01; RPT-SCR-00955-01,yes,1,0,1,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:260 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Bandwidth, Spectrum, and Resource Allocation | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:260:prose,0,shared_waveform|shared_resource_allocation,analytical|simulation,OFDM,6G_access|vehicular,PASS
STC-ENDOGENOUS-TS-FRFT-DAS-2025,OISAC_SCR00072,Endogenous integration of communication and interference fading free sensing using telecom pilots via joint polarization-fraction domain multiplexing,2025,fiber,shared_waveform; shared_hardware; shared_link_or_channel; shared_resource_allocation,4,laboratory_experiment,environment_monitoring; optical_access_network,yes,2,1,RPT-SCR-00072-01; RPT-SCR-00099-01,yes,1,0,1,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:334 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Power, Energy, and Dynamic Range | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:334:prose,0,shared_waveform|shared_hardware|shared_link_or_channel|shared_resource_allocation,laboratory_experiment,coherent_optics,environment_monitoring|optical_access_network,PASS
STC-FRDM-POLARIZATION-SENSING-2025-2026,OISAC_SCR00220,Integrated Communication and In-Band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access,2026,fiber,shared_waveform; shared_hardware; shared_link_or_channel; shared_resource_allocation,4,laboratory_experiment,environment_monitoring; optical_access_network,yes,2,1,RPT-SCR-00220-01; RPT-SCR-00592-01,yes,4,0,4,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:117 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > Metrics Across Functions > Communication Metrics | prose,02_FOUNDATIONS_AND_COMPARISON_FRAMEWORK.tex:102:prose; 02_FOUNDATIONS_AND_COMPARISON_FRAMEWORK.tex:119:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:117:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:334:prose,0,shared_waveform|shared_hardware|shared_link_or_channel|shared_resource_allocation,laboratory_experiment,coherent_optics,environment_monitoring|optical_access_network,PASS
STC-ICP-RL-HLLB-3650KM-2024-2025,OISAC_SCR01100,Simultaneous Transmission and Sensing Emulation Using Interconnected Counter-Propagating Recirculating Loops,2025,fiber,shared_link_or_channel,4,simulation; laboratory_experiment,indoor_positioning; security,yes,1,0,RPT-SCR-01100-01,yes,1,0,1,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:546 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Other Implementation Relationships | prose,05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:546:prose,0,shared_link_or_channel,simulation|laboratory_experiment,coherent_optics|fiber_DAS,security,PASS
STC-III-NITRIDE-MOTION-VLC-2023,OISAC_SCR00763,Integrated Sensing and Communication Chip Based on III-Nitride for Motion Detection,2023,VLC_LiFi,shared_hardware; shared_link_or_channel,5,laboratory_experiment; prototype_testbed; mixed,6G_access; underwater; smart_infrastructure,yes,2,1,RPT-SCR-00763-01; RPT-SCR-00619-01,yes,1,2,3,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:308 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Bandwidth, Spectrum, and Resource Allocation | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:308:prose; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:263:table; 07_ENABLING_TECHNOLOGIES_APPLICATIONS_AND_6G.tex:297:table,0,shared_hardware|shared_link_or_channel,laboratory_experiment|prototype_testbed|mixed,photonic_integration,6G_access|underwater|smart_infrastructure,PASS
STC-LED-OISAC-2024-2025,OISAC_SCR00901,Optical Integrated Sensing and Communication With Light-Emitting Diode,2025,VLC_LiFi,shared_resource_allocation,2,analytical; simulation,indoor_positioning; industrial,no,1,0,RPT-SCR-00901-01,yes,2,0,2,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:155 | OPTICAL PLATFORMS AND INTEGRATION ARCHITECTURES > Physical Platform Families > VLC/LiFi Systems | prose,04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:155:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:167:prose,0,shared_resource_allocation,analytical|simulation,OFDM|beamforming,indoor_positioning|industrial,PASS
STC-MMW-OFDM-PENG-2023-2024,OISAC_SCR00889,Photonics-assisted integrated sensing and communication with ranging resolution improvement by multiple signal classification,2024,photonic_THz,shared_waveform; shared_hardware; shared_resource_allocation,4,simulation; laboratory_experiment; mixed,vehicular,yes,2,1,RPT-SCR-00889-01; RPT-SCR-00900-01,yes,1,0,1,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:285 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Bandwidth, Spectrum, and Resource Allocation | prose",05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:285:prose,0,shared_waveform|shared_hardware|shared_resource_allocation,simulation|laboratory_experiment|mixed,OFDM|coherent_optics|photonic_THz_generation,vehicular,PASS
STC-MULTICHANNEL-LFM-QAM-THZ-2024-2026,OISAC_SCR00988,Multi-Channel Photonic THz-ISAC System Based on Integrated LFM-QAM Waveform,2024,photonic_THz,shared_hardware; shared_resource_allocation; joint_design_or_optimization,5,analytical; simulation; laboratory_experiment; prototype_testbed,6G_access,yes,2,1,RPT-SCR-00988-01; RPT-SCR-00440-01,yes,4,0,4,"05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:288 | PERFORMANCE METRICS AND JOINT DESIGN TRADEOFFS > How Communication and Sensing Performance Interact > Bandwidth, Spectrum, and Resource Allocation | prose",04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:69:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:81:prose; 04_OPTICAL_PLATFORMS_AND_INTEGRATION_ARCHITECTURES.tex:100:prose; 05_PERFORMANCE_METRICS_AND_JOINT_DESIGN_TRADEOFFS.tex:288:prose,0,shared_hardware|shared_resource_allocation|joint_design_or_optimization,analytical|simulation|laboratory_experiment|prototype_testbed,coherent_optics|photonic_THz_generation|FMCW,6G_access,PASS
