paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,4C,shared_waveform,joint waveform,fuzzy:85.71428571428572,DIRECT,"The snippet mentions 'waveform for joint communication and localization in VLC', which directly relates to the concept of shared_waveform.","potentially efficient waveform for joint communication and localization in VLC. This aligns well with 6G objectives, where energy efficiency, spectrum coexistence, and ISAC are key priorities.",124,124,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_001,4C,shared_resources,RP,lexical,NONE,"The provided snippet does not mention shared resources explicitly or implicitly, focusing instead on communication and sensing technologies, specifically VLC systems and OFDM-based modulation schemes.",communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].,31,31,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,4C,shared_resources,RP,lexical,NONE,The text does not mention shared resources explicitly or implicitly.,"The photonic THz-ISAC system needs to effectively balance target sensing and information transmission, each imposing distinct requirements on waveform modulation, transmission power, and bandwidth. Consequently, waveform design must integrate these considerations. Communication waveforms can be classified into singlecarrier and multi-carrier types. Multi-carrier waveforms, such as orthogonal frequency division multiplexing (OFDM), are prevalent in current wireless communication and sensing systems due to their design flexibility and ability to suppress frequency-selective fading [7]. In high-frequency millimeter-wave and terahertz systems, however, single-carrier waveforms emerge as more promising options [8]. The high directivity of terahertz antennas limits multipath effects, increasing coherent bandwidth and reducing frequency selectivity. Additionally, singlecarrier waveforms offer a lower peak-to-average power ratio compared to their multi-carrier counterparts, which mitigates power backoff effects in amplifiers. This is vital for improving average transmission power and overall efficiency in power-constrained photonic terahertz systems.",21,21,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design**,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,4C,shared_resources,RP,lexical,INDIRECT,"The text mentions 'integrated waveforms to enhance resource efficiency', which implies the sharing of resources for both sensing and communication.","Photonic terahertz ISAC systems use integrated waveforms to enhance resource efficiency and overall performance, surpassing that of conventional waveforms. Despite these advancements, current ISAC demonstrations still underperform compared to separate, dedicated communication or sensing systems [9]. To address this gap, a multichannel photonic THz-ISAC system has been developed that combines integrated LFM with quadrature amplitude modulation (QAM) waveforms, as well as optical wavelength division multiplexing (WDM) techniques [9]. As shown in Fig. 2, the system uses the optical frequency comb's coherence (Fig. 2a) and applies a coherent fusion sensing algorithm (Fig. 2b), enabling simultaneous achievements of a high communication data rate, up to 120 Gbit/s, along with precise range resolution down to 2.5 mm.",33,33,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 3. Photonic THz Coherent Fusion ISAC System,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_002,4C,shared_resources,RP,lexical,INDIRECT,"The text discusses the use of a single waveform for both sensing and communication, indicating the sharing of resources.","Recent photonic THz-ISAC prototypes have achieved timing resolution at the nanosecond level and positioning resolution on a millimeter scale, highlighting their potential to enhance communication performance without the need for separate sensing devices. Using the proposed LFM-PSK waveform depicted in Fig. 1, a complementary LFM sensing signal—featuring an opposite chirp slope and fractional amplitude—is periodically inserted to compensate for communication performance, as shown in Fig. 3a [10]. Theoretical analysis confirms that this LFM pair exhibits quasi-orthogonality, which enables adaptive synchronization in both time and frequency domains. Through matched filtering and the fractional Fourier transform (FrFT), time and frequency synchronization (in Fig. 3b) have been achieved in a 20 Gbit/s wireless link with a minimal synchronization overhead of only 0.5% [10-11]. Additionally, this concurrent sensing signal can support multipath channel estimation using a frequency-domain",41,41,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_002,4C,shared_resources,RP,lexical,NONE,The text is a list of references and does not mention shared resources.,"- [7] L. Li et al., ""THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communication,"" J. Lightw. Technol. **42**, 176-183 (2024).",67,67,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **Acknowledgments** > **References**,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,4C,shared_resources,RP,lexical,NONE,"The provided snippet does not mention or imply the concept of shared resources. It appears to be a list of references to academic papers related to photonic terahertz integrated sensing and communication systems, without any direct or indirect connection to shared resources.","- [10] Z. Lyu et al., ""Preamble-free synchronization based on dual-chirp waveforms for photonic THz-ISAC,"" J. Lightw. Technol. **42**, 2657-2665 (2024).",70,70,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **Acknowledgments** > **References**,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,4C,shared_processing,joint processing,fuzzy:87.5,NONE,"The snippet discusses frequency-domain processing and its effects on a wireless channel, but does not mention shared processing explicitly or implicitly.","equalizer with sparse coefficients. Experimental results, shown in Fig. 3c, demonstrate that after frequency-domain processing, the system can effectively compensate for the frequency-selective effects of a 20-meter wireless channel, achieving ~ 8 dB compensation gain.",45,45,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,4C,shared_resources,RP,lexical,NONE,"The snippet discusses ISAC channel models, target channels, and background channels, but does not mention shared resources.","The current framework of the ISAC channel model in 3GPP is defined as consisting of two parts: the target channel and the background channel [11]. Specifically, the interaction of a deterministic target on the received signal is modeled by the target-specific channel, while the interaction of the environment other than the target on the received signal is modeled by the background channel. The background channel includes all effects of unintended objects, i.e., environmental targets and clutter. It has also been shown in some existing ISAC channel modeling studies that it is a superposition of the target and background channels [12]–[14]. The 3GPP framework can be expressed by the following equation:",77,77,*A. Simulation Scenario Set Up* > III. VL-BASED ISAC CHANNEL CHARACTERIZATION > A. VL-based ISAC channel model,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,4C,json:hardware_sharing_mode,,json,DIRECT,Structured integration field,,,,,scenario_level[0].integration.hardware_sharing_mode,separate_frontends,json,DIRECT,,,False
