paper_id,section,concept,category,severity,reason,quote,line_start,heading_path
O_ISAC_011,4A,resolution versus accuracy,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"So far, many algorithms have been applied in visible light positioning system, such as time of arrival (TOA), received signal strength (RSS), angle of arrival (AOA), phase difference of arrival (PDOA), time difference of arrival (TDOA). Compared with the traditional positioning perception system [10], integrated sensing and communication (ISAC) [11] refers to the realization of communication function while realizing the perception, which has the advantages of low cost, reducing equipment size, reducing power consumption, ignoring the interference between communication perception and improving spectrum utilization. Due to the bandwidth limit, the ranging accuracy of RF sensing integration system can only reach the meter level, while the optical integrated sensing and communication (OISAC) benefits from the visible light spectrum resources, which can reach the ranging accuracy of centimeter or even millimeter level, and can provide higher perception accuracy and resolution.",27,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments > I. INTRODUCTION
O_ISAC_012,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"Optical wireless communication (OWC) has many advantages such as large capacity, high security, and license-free spectrum. Compared to traditional radar, Light detection and range (LiDAR) has higher directionality, higher accuracy, smaller divergence angle, and greater resolution. Additionally, because light is not subject to electromagnetic interference, optical communication and sensing systems are suitable for electromagnetically sensitive environments. Moreover, due to the requirement for line-of-sight (LOS) links in optical communication and sensing, optical signals are difficult to intercept and eavesdrop on, ensuring the security of communication and sensing [3]. Therefore, integrating optical communication and optical sensing into one system is a very promising and meaningful research direction.",23,I. INTRODUCTION
O_ISAC_019,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"Due to the involvement of radio wave transmission and reception in communication and radar, researchers have proposed the concept of ISAC to develop communication and sensing as closely integrated functionalities. In the early stages of development, systems integrating transmitter and antenna modules were reported [1]-[5], to reduce system complexity and save costs. However, this loosely coupled integration approach degrades the performance of one side and sacrifices the adaptability of the system. Thus, relying solely on the original system architecture is insufficient. To support higher data rates and finer sensing resolution, microwave photonic technology was adopted for the ultra-wide bandwidth, diverse and flexible processing of Integrated signal, enabling tightly coupled communication and sensing [6][7]. Whereas, the frequency bands employed for wireless propagation are predominantly situated in the low-frequency spectrum. In contrast, the millimeter-wave (MMW) band offers abundant spectrum resources, which can enhance the accuracy of target detection and identification greatly [8][9]. But MMW attenuates much faster in free space compared to lower frequency waves. To overcome the limitation of MMW spatial propagation, fiber optic remote structures have been designed in [10]-[13]. In particular, the concept of CO and RAU is proposed in [12], by separating signal detection and processing physically, to improve the performance and flexibility of the architecture.",43,I. INTRODUCTION
O_ISAC_028,4A,detection type,METRIC_PLANE,MAJOR,OSNR and SNR/ESNR mentioned together without explicit conversion/model context.,"Abstract-Driven by emerging applications originated from the Internet technologies, artificial intelligence (AI), big data and so on, high-speed short-reach optical transmission solutions have attracted more and more attentions such as data center interconnection (DCI). Although the developed intensity modulation direct detection (IMDD) technology has been widely used in DCI, it is necessary to adopt the new transmission system with higher data rate and larger capacity with facing the rapid growth of traffic in the future. Recently, a self-coherent detection technique has been proposed, which can overcome the frequency selective fading caused by fiber dispersion. But most of the techniques are limited to single sideband (SSB) modulated signals. Recently, symmetric carrier-assisted differential detection (S-CADD) has been proposed to realize complex-valued double sideband (DSB) signal transmission, but the intrinsic imperfect transfer function leads to a color signal-to-noise ratio (SNR) effect, which makes the performance of different subcarriers differ, and then results in the overall system performance degradation. In order to alleviate this phenomenon, we propose and numerically verify the S-CADD receiver detection method based on pairwise coding (PWC) to improve the SNR imbalance among different subcarriers. After numerical verification of 64 Gbaud 16-ary quadrature amplitude modulation (16-QAM) orthogonal frequency division multiplexing (OFDM) signal transmission over 80km standard single mode fiber (SSMF), the BER performance of S-CADD receiver under optimal carrier-tosignal-power-ration (CSPR) can be greatly improved. Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be achieved under the 7% hard-decision forward-error-correction (HD-FEC) threshold, which will reduce the sensitivity requirement of the receiver and then the hardware cost. Thus, this PWC based method can find the potential in the high-speed large-capacity short-reach optical interconnections.",15,Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding
O_ISAC_047,4A,signal dimension,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"Abstract—In this paper, an orthogonal time frequency space (OTFS) waveform based on photonics-assisted is proposed in a W-band fiber-wireless integrated sensing and communication (ISAC) system. The OTFS signal is modulated in the delay-Doppler (DD) domain, which enhances the robustness of the signal against frequency-selective fading. And a zero-padding two-dimensional discrete Fourier transform (ZP-2D-DFT) scheme is proposed for the OTFS-based photonics-assisted W-band fiber-wireless ISAC system. Compared with the traditional 2D-DFT scheme, the proposed ZP-2D-DFT scheme can significantly improve the sensing accuracy and theoretical resolution of ISAC systems. In addition, a proof-of-concept experiment of the OTFS-based photonics-assisted W-band fiber-wireless ISAC system is demonstrated using the optical heterodyne up-conversion technique. The experimental results show that, after transmission over a 50 km standard single mode fiber (SSMF) and a 3.2 m wireless link, a communication data rate of 5.44 Gbit/s and a theoretical ranging resolution of 1.58 cm are achieved simultaneously. Moreover, by using the OTFS waveform, it can obtain a receiver sensitivity gain of 1.18 dB compared to the OFDM signal in the W-band fiber-wireless ISAC system.",9,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation
O_ISAC_079,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"This paper presents a spectrally efficient self-homodyne architecture integrating communication and sensing through LFM carrier. Through spatial-division multiplexing in MCF and coherent detection, the proposed system cancels LFMinduced communication impairments, enabling 200 Gbps transmission. OFDR sensor in LO path realizes high-accuracy MPI localization, transmission loss measurement, and large-strain vibration monitoring with 2-cm spatial resolution. This establishes a practical framework for realtime fiber health monitoring in SHCD systems.",73,Conclusions
O_ISAC_080,4A,integration mechanism,METRIC_PLANE,MAJOR,OSNR and SNR/ESNR mentioned together without explicit conversion/model context.,"proposed FD-NOMA not only demonstrates robustness against ASE noise in polarization-based sensing but also offers advantages for adaptive MIMO equalization from telecom perspective [25]. The SOP rotation can be implemented prior to MIMO equalization, thereby facilitating the process of formal equalization. The received signal can be equalized through an inverse SOP rotation using 1-tap MIMO equalization, which is designed for pre-polarization demultiplexing. This approach allows the signal to rapidly reach the iterative convergence region. Moreover, preequalization not only reduces the number of iterations required by AEO but also minimizes fluctuations during the iterative process. The effects of SCPR and OSNR on vibration waveform recovered using FD-NOMA is investigated, as shown Fig. 8(b). When OSNR is fixed at 26 dB, the SNR improves from 11.9 dB to 22.1dB as SCPR increases from -22 to -14 dB. Compared to SCPR, OSNR has less influence on sensing performance. The linearity of the response to strain is further verified. As illustrated in Fig. 8(c), the applied strain on PZT is varies from 2.3  $\mu\epsilon$  to 22.7  $\mu\epsilon$ . The measured results align closely with the linear fitting curve. The linear coefficient (R<sup>2</sup>) is 0.9927, which indicates excellent linearity in the strain response. The sensitivity is  $5.3 \times 10^{-3} \text{rad}/\mu\epsilon$ according to average gradient of the linear fitting. Consequently, the limit of detection (LoD) is approximate to 70.7  $n\varepsilon/\sqrt{Hz}$ . The performance of vibration localization is demonstrated using bidirectional FD-NOMA signal. The time",192,B. Principle of In-band Spectrum Polarization sensing To enable polarization-based sensing without > III. EXPERIMENT SETUP > IV. EXPERIMENTAL RESULTS AND DISCUSSIONS
O_ISAC_113,4A,measurement plane,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"<span id=""page-1-2""></span>Experimental demonstration of the proposed ISAC is depicted in Fig. [2.](#page-1-1) A 20-GHz bandwidth I/Q modulator modulates the light emitted by an external cavity laser (ECL). I and Q branches of the modulator are driven by an arbitrary waveform generator (AWG) to generate a 16-Gbaud dual-polarization QAM-16 (DP-QAM16) communication signal with using a polarization division multiplexing emulator (PDME). To emulate the SMART system, a sensor joint is placed between two 50-km fiber spans. The employed DS18B20 is an electronic temperature sensor produced by Dallas Semiconductor. It features a measurement range of −55◦C to +125◦C, with an accuracy of ±0.5◦C within the −10◦C to +85◦C range and a maximum deviation of ±2.0◦C over the entire operating range. For the FPGA implementation, the synthesized RTL circuit on Quartus II platform circuit is used to capture the sequential logic signal from the DS18B20, whose bit width is 12. The higher 8 bits are used to describe the integer temperature and the lower 4 bits are for the decimals resulting in a temperature resolution of 0.0625◦C. Then, to realize the FM conversion of the digital temperature values, the linear relationship between the 12-bit sequential logic signal and FM frequency should be constructed. We built a look-up table (LUT) in on-board ROM. Then, the read-out results of LUT are converted into analogue frequencies by an external DAC with bandwidth at 100MHz, by accessing the corresponding address. Above modules share the same clock",55,"Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network > <span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-1""></span><span id=""page-0-0""></span>I. INTRODUCTION > II. EXPERIMENTAL DEMONSTRATION"
O_ISAC_118,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"*Abstract*—The prevalence of personal mobility devices poses growing risks to road safety, particularly at intersections where high-speed entries can lead to accidents. To address this issue, we propose a Multiple Input Multiple Output (MIMO) radarbased cyclist detection method for long-range scenarios. With Integrated Sensing And Communication (ISAC), cellular base stations can now function as radars, offering a cost-effective alternative to systems based on camera and LiDAR. However, long-range operation introduces challenges due to low Signalto-Noise Ratio (SNR). To overcome this limitation, we propose an optimization-based detection using Capon and amplitude and phase estimation (APES) beamforming techniques. The detection method estimates AoA response, detects peaks and determines the presence of targets through a thresholding approach. We evaluate the proposed method through Monte-Carlo simulations in both single and dual target settings. The results demonstrate that Capon provides accurate angle estimation but suffers from limited resolution, whereas APES offers superior resolution at the cost of estimation accuracy.",15,Akira Uchiyama
O_ISAC_121,4A,detection type,METRIC_ALIASING,MAJOR,Resolution and accuracy co-occur without explicit separation context.,"The experimental system for S-DNN is shown in Fig. 2 (a), consisting of a vector network analyzer, transmitting antennas, and waveguide probes. We designed and fabricated a four-layer S-DNN that is capable of achieving superresolution DOA estimation with an angular resolution of 1°, which exceeds the diffraction limit by four times. In the experiment, two transmitting antennas were placed 1° apart, and we determined the angles by measuring the two largest detection peaks, achieving an accuracy of 96% (see Fig. 2 (b)). The principle behind the S-DNN's superresolution capability is its ability to fit super-oscillatory function, generating super-oscillatory angular responses within local angular ranges, thus enabling super-resolution DOA estimation (see Fig. 2 (c)). In addition, the angular resolution limit of S-DNN is proportional to the aperture size, the number of layers and the energy efficiency. Based on broadband robust training, the maximum bandwidth of S-DNN is 10 GHz, and the bandwidth of S-DNN decreases as the number of estimated targets increases, as illustrated in Fig. 2 (d).",29,**All-optical Computing for Direction-of-arrival Estimation Beyond Diffraction Limits** > **2. Method** > **3. Experimental Results**
