"source_metric_record_id","canonical_study_cluster_id","canonical_source_report_id","canonical_condition_set_id","canonical_tradeoff_id","canonical_metric_domain","canonical_metric_family_code","canonical_metric_name_reported","canonical_measurement_plane_code","canonical_validation_type_code","canonical_result_representation","canonical_comparison_operator","canonical_value_numeric","canonical_value_low","canonical_value_high","canonical_uncertainty_type","canonical_uncertainty_value","canonical_unit_reported","canonical_value_status","canonical_value_origin","canonical_scenario_summary","canonical_baseline_comparator","canonical_comparison_group_id","canonical_metric_comparability_class","canonical_metric_comparison_admissibility_class","canonical_pdf_page","canonical_section_heading","canonical_table_id","canonical_figure_id","canonical_equation_id","canonical_final_survey_use_class","canonical_final_comparison_admissibility","canonical_cross_study_quantitative_comparison_allowed","canonical_final_reason_code","canonical_independent_human_status","canonical_source_workbook_sha256","register_final_comparison_admissibility","register_cross_study_flag","register_independent_human_status","reviewer_code","review_date_utc","reviewed_source_report_title","reviewed_source_report_doi","reviewed_companion_relationship","reviewed_source_pdf_sha256","source_pdf_opened","source_identity_decision","reviewed_pdf_page","reviewed_section_heading","reviewed_table_id","reviewed_figure_id","reviewed_equation_id","source_locator_decision","reviewed_metric_name","reviewed_metric_definition","reviewed_comparison_operator","reviewed_value_numeric","reviewed_value_low","reviewed_value_high","reviewed_uncertainty_type","reviewed_uncertainty_value","reviewed_unit_reported","reviewed_measurement_plane_code","reviewed_reference_point","reviewed_communication_task","reviewed_sensing_task","reviewed_objective","reviewed_scenario_summary","reviewed_geometry","reviewed_condition_set_id","reviewed_baseline_comparator","reviewed_validation_type_code","reviewed_value_origin","reviewed_comparison_group_id","comparison_decision","comparison_decision_rationale","survey_use_decision","verification_outcome","reviewer_notes","reviewer_lock_status","reviewer_signature_or_form_hash"
"MET-SCR00007-003","STC-SINGLETON-SCR-00007","SCR-00007","COND-SCR00007-8OF64-PILOTS","TRD-SCR00007-002","communication","spectral_efficiency","Spectral efficiency (η)","link","simulation","scalar","eq","0.875","","","NR","","fraction","reported","reported","64 total subcarriers, 56 data subcarriers, 8 dual-function pilot subcarriers.","","CG-PILOT-OFDM-DATA-SUBCARRIER-RATIO","conditionally_comparable","conditionally_admissible","6;9;11","5.3.1; 6.5; 6.7","","Figs. 6 and 8","Eq. (3)","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","OFDM-based optical integrated sensing and communication framework using embedded pilot subcarriers","10.1364/optcon.595843","only_report_in_phase_g_source_set","753CFE02571D015F4A6BA356DB9A5FF6999E4AFDD9DEE0419EA478AB407D6D75","yes","match","6;9;11","5.3.1; 6.5; 6.7","NR","Figs. 6 and 8","Eq. (3)","match","Spectral efficiency (η)","NR","eq","0.875","NR","NR","NR","NR","fraction","link","NR","source_reported_communication_function","NR","NR","64 total subcarriers, 56 data subcarriers, 8 dual-function pilot subcarriers.","NR","COND-SCR00007-8OF64-PILOTS","NR","simulation","reported","CG-PILOT-OFDM-DATA-SUBCARRIER-RATIO","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-003","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-DBR-REFERENCE","","sensing","other","Previously reported DBR linewidth","device_component","laboratory_experiment","scalar","eq","500","","","NR","","kHz","reported","reported","Secondary-source comparator cited as Ref. 19.","Current-work text value approximately 600 kHz.","CG-FTDVS-REPORTED-LASER-LINEWIDTH","conditionally_comparable","conditionally_admissible","4","3. Experiments and Result Discussion","","Fig. 3","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","4","3. Experiments and Result Discussion","NR","Fig. 3","NR","match","Previously reported DBR linewidth","NR","eq","500","NR","NR","NR","NR","kHz","device_component","NR","NR","source_reported_sensing_function","NR","Secondary-source comparator cited as Ref. 19.","NR","COND-SCR00008-DBR-REFERENCE","Current-work text value approximately 600 kHz.","laboratory_experiment","reported","CG-FTDVS-REPORTED-LASER-LINEWIDTH","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-005","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-10KHZ-COMM-OFF","","sensing","other","Original-phase drift magnitude","link","laboratory_experiment","threshold","gt","50000","","","NR","","rad","reported","reported","600-kHz DBR laser; 10-kHz single-cycle PZT vibration; communication off.","Differential processing before and after LPN compensation.","CG-FTDVS-RAW-PHASE-DRIFT","conditionally_comparable","conditionally_admissible","4","3. Experiments and Result Discussion","","Fig. 4(a)","Eq. (4)","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","4","3. Experiments and Result Discussion","NR","Fig. 4(a)","Eq. (4)","match","Original-phase drift magnitude","NR","gt","50000","NR","NR","NR","NR","rad","link","NR","NR","source_reported_sensing_function","NR","600-kHz DBR laser; 10-kHz single-cycle PZT vibration; communication off.","NR","COND-SCR00008-10KHZ-COMM-OFF","Differential processing before and after LPN compensation.","laboratory_experiment","reported","CG-FTDVS-RAW-PHASE-DRIFT","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-006","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-10KHZ-COMM-OFF","","sensing","other","Differential-phase fluctuation before LPN compensation","link","laboratory_experiment","threshold","lt","2000","","","NR","","rad","reported","reported","600-kHz DBR; 10-kHz PZT; communication off; before LPN compensation.","Original phase drift above 50,000 rad.","CG-FTDVS-DIFFERENTIAL-PHASE-FLUCTUATION","conditionally_comparable","conditionally_admissible","4-5","3. Experiments and Result Discussion","","Fig. 4(b)","Eq. (5)","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","4-5","3. Experiments and Result Discussion","NR","Fig. 4(b)","Eq. (5)","match","Differential-phase fluctuation before LPN compensation","NR","lt","2000","NR","NR","NR","NR","rad","link","NR","NR","source_reported_sensing_function","NR","600-kHz DBR; 10-kHz PZT; communication off; before LPN compensation.","NR","COND-SCR00008-10KHZ-COMM-OFF","Original phase drift above 50,000 rad.","laboratory_experiment","reported","CG-FTDVS-DIFFERENTIAL-PHASE-FLUCTUATION","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-007","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-10KHZ-COMM-OFF","","sensing","other","LPN-compensated vibration-phase peak","link","laboratory_experiment","scalar","approx","40","","","NR","","rad","reported","reported","600-kHz DBR; 10-kHz PZT; communication off; after reference-phase LPN compensation.","Differential phase before LPN compensation.","CG-FTDVS-COMPENSATED-PHASE-PEAK","conditionally_comparable","conditionally_admissible","5","3. Experiments and Result Discussion","","Fig. 4(c)","Eq. (11)","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","5","3. Experiments and Result Discussion","NR","Fig. 4(c)","Eq. (11)","match","LPN-compensated vibration-phase peak","NR","approx","40","NR","NR","NR","NR","rad","link","NR","NR","source_reported_sensing_function","NR","600-kHz DBR; 10-kHz PZT; communication off; after reference-phase LPN compensation.","NR","COND-SCR00008-10KHZ-COMM-OFF","Differential phase before LPN compensation.","laboratory_experiment","reported","CG-FTDVS-COMPENSATED-PHASE-PEAK","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-008","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-10KHZ-COMM-OFF","","sensing","sensing_SNR","Signal-to-noise ratio (SNR)","link","laboratory_experiment","scalar","eq","45.4","","","NR","","dB","reported","reported","10-kHz PZT vibration; DBR with LPN compensation; communication signal absent.","Communication-on sensing SNR 44.6 dB; UNLL SNR 45.0 dB.","CG-FTDVS-SENSING-SNR","conditionally_comparable","conditionally_admissible","5","3. Experiments and Result Discussion","","Fig. 4(c)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","5","3. Experiments and Result Discussion","NR","Fig. 4(c)","NR","match","Signal-to-noise ratio (SNR)","NR","eq","45.4","NR","NR","NR","NR","dB","link","NR","NR","source_reported_sensing_function","NR","10-kHz PZT vibration; DBR with LPN compensation; communication signal absent.","NR","COND-SCR00008-10KHZ-COMM-OFF","Communication-on sensing SNR 44.6 dB; UNLL SNR 45.0 dB.","laboratory_experiment","reported","CG-FTDVS-SENSING-SNR","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-009","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-10KHZ-PSD-LT3KHZ","","sensing","other","Low-frequency background noise floor before LPN compensation","link","laboratory_experiment","scalar","eq","11.8","","","NR","","dB (ref rad^2/Hz)","reported","reported","10-kHz PZT vibration; PSD values below 3 kHz averaged.","After-compensation value -44.1 dB.","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","conditionally_comparable","conditionally_admissible","5","3. Experiments and Result Discussion","","Fig. 5(a)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","5","3. Experiments and Result Discussion","NR","Fig. 5(a)","NR","match","Low-frequency background noise floor before LPN compensation","NR","eq","11.8","NR","NR","NR","NR","dB (ref rad^2/Hz)","link","NR","NR","source_reported_sensing_function","NR","10-kHz PZT vibration; PSD values below 3 kHz averaged.","NR","COND-SCR00008-10KHZ-PSD-LT3KHZ","After-compensation value -44.1 dB.","laboratory_experiment","reported","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-010","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-10KHZ-PSD-LT3KHZ","","sensing","other","Low-frequency background noise floor after LPN compensation","link","laboratory_experiment","scalar","eq","-44.1","","","NR","","dB (ref rad^2/Hz)","reported","reported","10-kHz PZT vibration; PSD values below 3 kHz averaged.","Before-compensation value 11.8 dB.","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","conditionally_comparable","conditionally_admissible","5","3. Experiments and Result Discussion","","Fig. 5(a)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","5","3. Experiments and Result Discussion","NR","Fig. 5(a)","NR","match","Low-frequency background noise floor after LPN compensation","NR","eq","-44.1","NR","NR","NR","NR","dB (ref rad^2/Hz)","link","NR","NR","source_reported_sensing_function","NR","10-kHz PZT vibration; PSD values below 3 kHz averaged.","NR","COND-SCR00008-10KHZ-PSD-LT3KHZ","Before-compensation value 11.8 dB.","laboratory_experiment","reported","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-011","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-10KHZ-PSD-LT3KHZ","","sensing","other","Low-frequency noise-floor reduction","link","laboratory_experiment","scalar","eq","55.9","","","NR","","dB","reported","reported","10-kHz vibration; mean PSD below 3 kHz.","11.8 to -44.1 dB.","CG-FTDVS-NOISE-FLOOR-REDUCTION","conditionally_comparable","conditionally_admissible","5","3. Experiments and Result Discussion","","Fig. 5(a)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","5","3. Experiments and Result Discussion","NR","Fig. 5(a)","NR","match","Low-frequency noise-floor reduction","NR","eq","55.9","NR","NR","NR","NR","dB","link","NR","NR","source_reported_sensing_function","NR","10-kHz vibration; mean PSD below 3 kHz.","NR","COND-SCR00008-10KHZ-PSD-LT3KHZ","11.8 to -44.1 dB.","laboratory_experiment","reported","CG-FTDVS-NOISE-FLOOR-REDUCTION","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
"MET-SCR00008-012","STC-SINGLETON-SCR-00008","SCR-00008","COND-SCR00008-PZT-OFF-PSD-100KHZ","","sensing","other","No-vibration mean noise floor before LPN compensation","link","laboratory_experiment","scalar","eq","-1.6","","","NR","","dB (ref rad^2/Hz)","reported","reported","PZT drive off; mean PSD up to 100 kHz.","After-compensation value -50.2 dB.","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","conditionally_comparable","conditionally_admissible","5","3. Experiments and Result Discussion","","Fig. 5(b)","","eligible_quantitative","conditionally_admissible","yes_with_conditions","source_supported_scope_conditioned","not_documented","e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c","conditionally_admissible","yes_with_conditions","not_documented","FULL-HR-01","2026-09-01","Enhanced single-fiber bi-directional FT-DVS using a 600-kHz linewidth DBR laser with LPN compensation for O-ISAC [Invited]","10.3788/col202624.030006","only_report_in_phase_g_source_set","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","yes","match","5","3. Experiments and Result Discussion","NR","Fig. 5(b)","NR","match","No-vibration mean noise floor before LPN compensation","NR","eq","-1.6","NR","NR","NR","NR","dB (ref rad^2/Hz)","link","NR","NR","source_reported_sensing_function","NR","PZT drive off; mean PSD up to 100 kHz.","NR","COND-SCR00008-PZT-OFF-PSD-100KHZ","After-compensation value -50.2 dB.","laboratory_experiment","reported","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","analysis_pending","Source verification complete; comparison grouping is intentionally separated and recorded in the G6 analysis files.","analysis_pending","verified_as_reported","Independent analog source-PDF review completed. Source identity, locator, value, unit, condition, and comparator role were approved. Main-text use remains a separate author decision.","COMPLETE_LOCKED","ANONYMOUS_HUMAN_ATTESTATION_FULL-HR-01_2026-09-01"
