"paper_id","old_excerpt","new_excerpt","kept_or_dropped","new_claim_if_relabelled","reason","source_locator"
"O_ISAC_005","setup, and low maintenance costs, FSO links are a promising alternative to traditional fiber optics ","","DROPPED","","No valid C3 cue, no suitable relabel target","I. INTRODUCTION (L11)"
"O_ISAC_009","indices $l_p = \frac{\tau_p}{T}$ encountered in RF systems [48], [68], [69]. However, unlike RF syst","","DROPPED","","No valid C3 cue, no suitable relabel target","*A. Scenarios and System Description* > B. PD Signal Reception (L255)"
"O_ISAC_030","gesture normally results in low-frequency fluctuation in time domain compared to VLC data stream. To","","DROPPED","","No valid C3 cue, no suitable relabel target","C. Interference of Different Table Surfaces > III. REFLEXGEST: HGR VIA REFLECTED LIGHT > A. System Overview > C. Receiver (L142)"
"O_ISAC_050","are distinguishable. Assumptions (A1)–(A3) are standard and necessarily minimum in VLCs, which are w","","DROPPED","","No valid C3 cue, no suitable relabel target","E. Equivalent Channel Model (L293)"
"O_ISAC_054","light from all range bins can be collected by the optical sensor. Unlike RF-ISAC which analyzes the ","","DROPPED","","No valid C3 cue, no suitable relabel target","II. RELATED WORK > III. PROBLEM FORMULATION > C. Optical Sensing (L194)"
"O_ISAC_056","improving vehicle-to-everything (V2X) communication, traffic safety [4], and disaster management [5]","","DROPPED","","No valid C3 cue, no suitable relabel target","I. INTRODUCTION (L11)"
"O_ISAC_068","broader spectral range, lower interference and better security features since light, unlike RF signa","","DROPPED","","No valid C3 cue, no suitable relabel target","*C. VL Comparison to RF Approaches* (L109)"
"O_ISAC_082","(ISAC) is a key building block for future 6G networks. In the traditional fiber or radio-over-fiber ","","DROPPED","","No valid C3 cue, no suitable relabel target","Signal-Signal Beating Interference: From Destructive to Constructive for Photonic THz Integrated Sensing and Communication System Using Self-Coherent OFDM (L5)"
"O_ISAC_163","cell size of RIS for THz applications is considerably smaller compared to mmWave and sub-6 GHz solut","","DROPPED","","No valid C3 cue, no suitable relabel target","*C. Is MF-RIS the Key Enabler for mmWave Communications?* > *D. How About Terahertz Communications?* (L508)"
"O_ISAC_173","accurate centimetre-level localization of optical sources and precise environmental mapping compared","","DROPPED","","No valid C3 cue, no suitable relabel target","Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing > 2 High-Performance Optical Camera Communications > 3 Key Benefits of HP-OCC for ISAC (L93)"
"O_ISAC_200","that require sensitive, precise, and rapid monitoring [\[4–](#page-8-2)[9](#page-9-0)]. Traditional ","","DROPPED","","No valid C3 cue, no suitable relabel target","**1. Introduction** (L31)"
"O_ISAC_218","[2]. Owing to its dominant line-of-sight (LoS) propagation, OWC achieves superior ranging accuracy c","","DROPPED","","No valid C3 cue, no suitable relabel target","Hybrid MRR-Assisted Long-Range SDMA for RO-ISAC Systems in Industry IoT Applications > II. RELATED WORKS (L37)"
"O_ISAC_291","Cameras broaden light perception for broader sensing, but full 3D movement is limited compared to RF","","DROPPED","","No valid C3 cue, no suitable relabel target","POSTER: Holographic Optical Tag enabled Omnidirectional IoT Connection > 1 INTRODUCTION (L73)"
"O_ISAC_303","channel characteristics from the following aspects. Light source. In most existing VLC systems, LED ","","DROPPED","","No valid C3 cue, no suitable relabel target","Keywords: Visible light communication Visible light sensing Integrated sensing and communication > Introduction > Basics of visible light communication > Channel characteristics and models (L96)"
"O_ISAC_327","channels, which range from 10 to 15 ns. It suggests that delay dispersion is weaker in VLC bands com","","DROPPED","","No valid C3 cue, no suitable relabel target","*A. Indoor Scenarios* (L271)"
