risk_id,risk,likelihood,impact,level,preventive_control,contingency,owner,status
FULL-R01,118 rows are misread as independent experiments,medium,critical,critical,study_condition_group analysis unit and explicit wording,correct manuscript and supplement denominators,MethodsLead,open
FULL-R02,Phase A-F is accidentally modified,low,critical,critical,read-only hashes and overlay-only policy,stop and restore from frozen authority,QA,open
FULL-R03,Wrong stale source baseline,medium,critical,critical,exact frozen ZIP import hash and 27-page rebuild,identify submitted source before any revision,QA,open
FULL-R04,Companion report double counting,medium,critical,critical,15-study 16-report crosswalk and PDF hashes,senior adjudication and overlay correction,EvidenceLead,open
FULL-R05,All 118 are forced to be comparable,high,critical,critical,comparison group contract and nonpooling register,reclassify as supplement-only or rejected,MethodsLead,open
FULL-R06,Pseudo-meta-analysis or ranking,medium,critical,critical,default narrative bounded synthesis and methods approval,remove pooled/ranked output,SeniorAuthor,open
FULL-R07,Reviewer agreement is poor,medium,high,high,12-row pilot and repeat below threshold,revise codebook and rerun affected review,Adjudicator,open
FULL-R08,Discrepancies remain unresolved,medium,high,high,third human source-open adjudication,exclude unresolved row from lock,Adjudicator,open
FULL-R09,Main-text anchor cherry-picking,medium,high,high,prelocked coverage and all exclusions-with-reasons,independent selection audit,SeniorAuthor,open
FULL-R10,Technical detail is pushed entirely to supplement,medium,high,high,minimum 12 condition-complete anchors in body,fail reader-value gate and revise,SeniorAuthor,open
FULL-R11,Revision exceeds 30 pages,high,high,high,no-net-new-float plan and page ledger,compress repeated inventory and redesign carriers,ManuscriptWriter,open
FULL-R12,Table or figure becomes unreadable,medium,high,high,final-scale render and minimum text-size target,reduce anchors and retain full atlas in supplement,QA,open
FULL-R13,Roadmap stays generic,medium,high,high,eight-field trace row for every priority,return incomplete row for rewrite,SeniorAuthor,open
FULL-R14,Old QA is treated as current,medium,high,high,hash-bound stale-QA failure,rerun affected and full release QA,QA,open
FULL-R15,Source PDF cannot be opened,low,high,medium,report manifest before review,replace source only with authoritative identical report and record hash,EvidenceLead,open
FULL-R16,Timeline expands silently,medium,high,high,gate-based effort re-estimation after pilot,pause and obtain explicit scope/timeline decision,CorrespondingAuthor,open

