paper_id,source_type,source_path,md_path,section_key,concept_key,variant,match_type,quote,line_start,line_end,heading_path,context,label,strength,rationale,model_used
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2A,observation_plane,im/dd,lexical,"In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].

 In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its ",INDIRECT,INDIRECT,"The text discusses modulation schemes and their limitations in VLC systems, which is related to the concept of observation plane, but does not provide explicit support or direct information about the observation plane itself.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,integrated sensing and communication,lexical,"*Keywords—Visible Light Communication (VLC), Constant envelope orthogonal frequency division multiplexing (CE-OFDM), Integrated Sensing and Communication (ISAC)*",15,15,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,"*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**

*Keywords—Visible Light Communication (VLC), Constant envelope orthogonal frequency division multiplexing (CE-OFDM), Integrated Sensing and Com",INDIRECT,INDIRECT,"The quote mentions Integrated Sensing and Communication (ISAC), which implies a connection to the integration paradigm concept, but it does not explicitly discuss the fundamentals of integration paradigms.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,co design,fuzzy:88.88888888888889,communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].,31,31,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"Instituto de Telecomunicações and Department of Electrical and Computer Engineering (DEEC), University of Coimbra 3030-290 Coimbra, Portugal cmedeiros@deec.uc.pt

communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].

 In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among th",INDIRECT,INDIRECT,"The quote mentions designing waveforms for both communication and sensing in 6G, which is related to the integration paradigm concept, but it does not explicitly discuss the integration of sensing and communication.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,integrated sensing and communication,lexical,"The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION," In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced rob",INDIRECT,INDIRECT,"The quote discusses the integration of sensing and communication in 6G systems, which is related to the concept of integration_paradigm. However, it does not explicitly mention the fundamentals of integration_paradigm, but rather provides context on the emerging trends and techniques in optical wireless communications and sensing.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,integrated sensing and communication,lexical,"- [3] A. Liu et al., ""A Survey on Fundamental Limits of Integrated Sensing and Communication,"" in IEEE Communications Surveys & Tutorials, vol. 24, no. 2, pp. 994-1034, Secondquarter 2022, doi: 10.1109/COMST.2022.3149272.",134,134,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > REFERENCES,"- [1] C.-X. Wang et al., ""On the road to 6G: Visions, requirements, key technologies, and testbeds,"" IEEE Commun. Surveys Tuts., vol. 25, no. 2, pp. 905–974, 2nd Quart. 2023. doi: 10.1109/COMST.2023.3249835.
- [2] L. E. M. Matheus, A. B. Vieira, L. F. M. Vieira, M. A. M. Vieira and O. Gnawali, ""Visible Light Communication: Concepts, Applications and Challenges,"" in IEEE Communications Surveys & Tutorials, vol. 21, no. 4, pp. 3204-3237, Fourthquarter 2019, doi: 10.1109/COMST.2019.2913348.
- [3] A. Liu et al., ""A Survey on Fundamental Limits of Integrated Sensing and Communication,"" in IEEE Communications Surveys & Tutorials, vol. 24, no. 2, pp. 994-1034, Secondquarter 2022, doi: 10.1109/COMST.2022.3149272.
- [4] W. -L. Lin and F. -S. Tseng, ""Theory and Applications of Active Constellation Extension,"" in IEEE Access, vol. 9, pp. 93111-93118, 2021, doi: 10.1109/ACCESS.2021.3093103.
- [5] Ch",INDIRECT,INDIRECT,"The quote mentions a survey on fundamental limits of integrated sensing and communication, which is related to the integration paradigm concept, but does not provide explicit support or direct evidence.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2A,observation_plane,im/dd,lexical,"In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",29,29,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].

 In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its ",INDIRECT,INDIRECT,"The text discusses modulation schemes and their limitations in VLC systems, which is related to the concept of observation plane, but does not directly address it.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,integrated sensing and communication,lexical,"*Keywords—Visible Light Communication (VLC), Constant envelope orthogonal frequency division multiplexing (CE-OFDM), Integrated Sensing and Communication (ISAC)*",11,11,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,"*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**

*Keywords—Visible Light Communication (VLC), Constant envelope orthogonal frequency division multiplexing (CE-OFDM), Integrated Sensing and Com",INDIRECT,INDIRECT,"The quote mentions Integrated Sensing and Communication (ISAC), which is related to the integration paradigm concept, but it does not explicitly discuss the fundamentals of integration paradigms.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,co design,fuzzy:88.88888888888889,communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].,27,27,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"Instituto de Telecomunicações and Department of Electrical and Computer Engineering (DEEC), University of Coimbra 3030-290 Coimbra, Portugal cmedeiros@deec.uc.pt

communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].

 In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among th",INDIRECT,INDIRECT,"The quote discusses designing waveforms for both communication and sensing in 6G, which is related to the integration paradigm concept, but does not provide explicit support.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,integrated sensing and communication,lexical,"The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs, including CE-OFDM and other low-complexity schemes, are being considered to optimize the trade-off between sensing accuracy and communication performance.",31,31,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION," In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced rob",INDIRECT,INDIRECT,"The quote discusses the integration of sensing and communication in 6G systems, which is related to the concept of integration_paradigm. However, it does not explicitly support the concept, instead providing context on modulation schemes and techniques in VLC systems.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2A,integration_paradigm,integrated sensing and communication,lexical,"- [3] A. Liu et al., ""A Survey on Fundamental Limits of Integrated Sensing and Communication,"" in IEEE Communications Surveys & Tutorials, vol. 24, no. 2, pp. 994-1034, Secondquarter 2022, doi: 10.1109/COMST.2022.3149272.",121,121,REFERENCES,"- [1] C.-X. Wang et al., ""On the road to 6G: Visions, requirements, key technologies, and testbeds,"" IEEE Commun. Surveys Tuts., vol. 25, no. 2, pp. 905–974, 2nd Quart. 2023. doi: 10.1109/COMST.2023.3249835.
- [2] L. E. M. Matheus, A. B. Vieira, L. F. M. Vieira, M. A. M. Vieira and O. Gnawali, ""Visible Light Communication: Concepts, Applications and Challenges,"" in IEEE Communications Surveys & Tutorials, vol. 21, no. 4, pp. 3204-3237, Fourthquarter 2019, doi: 10.1109/COMST.2019.2913348.
- [3] A. Liu et al., ""A Survey on Fundamental Limits of Integrated Sensing and Communication,"" in IEEE Communications Surveys & Tutorials, vol. 24, no. 2, pp. 994-1034, Secondquarter 2022, doi: 10.1109/COMST.2022.3149272.
- [4] W. -L. Lin and F. -S. Tseng, ""Theory and Applications of Active Constellation Extension,"" in IEEE Access, vol. 9, pp. 93111-93118, 2021, doi: 10.1109/ACCESS.2021.3093103.
- [5] Ch",INDIRECT,INDIRECT,"The quote mentions a survey on fundamental limits of integrated sensing and communication, which is related to the integration paradigm concept, but it does not provide explicit support or direct evidence for the concept.",llama-3.3-70b-versatile
