"paper_id","gap_id","gap_label","coverage_score","justification_excerpt","source_locator","confidence"
"O_ISAC_156","G1","Terminology harmonization",2,"Taxonomy framework elaborated to categorize PLS techniques...distinguish authentication and confidentiality","L271","0.85"
"O_ISAC_156","G2","Metric normalization",1,"Discusses security metrics but no explicit metric standardization","Body","0.7"
"O_ISAC_156","G3","Cross-modality benchmarking",0,"Multi-modal (RIS, VLC, THz) but no benchmark comparison","Full text","0.8"
"O_ISAC_156","G4","Cross-domain transfer",2,"Explores VLC, THz, RIS integration with PLS - cross-domain focus","L896","0.8"
"O_ISAC_156","G5","Unified PHY framework/taxonomy",3,"Fig. 2 presents schematic view of proposed taxonomy of PLS schemes","L271, Fig 2","0.9"
"O_ISAC_156","G6","System-level co-design",1,"Limited system-level integration discussion","Body","0.7"
"O_ISAC_156","G7","Systematic methodology",0,"Narrative survey style","Methodology","0.9"
"O_ISAC_163","G1","Terminology harmonization",1,"Uses RIS/MF-RIS/STAR-RIS terminology consistently","L218","0.7"
"O_ISAC_163","G2","Metric normalization",2,"Discusses data rate, resolution metrics in context of RIS","Table II","0.8"
"O_ISAC_163","G3","Cross-modality benchmarking",1,"Compares RF/mmWave/THz RIS implementations - partial benchmark","L103","0.7"
"O_ISAC_163","G4","Cross-domain transfer",2,"Reviews RIS channel modeling and measurement cross-domain","L642","0.8"
"O_ISAC_163","G5","Unified PHY framework/taxonomy",3,"Comprehensive Table I comparison of RIS surveys with gaps identified","L75, Table I","0.9"
"O_ISAC_163","G6","System-level co-design",2,"Discusses V2X, indoor/outdoor, holographic positioning","L594","0.8"
"O_ISAC_163","G7","Systematic methodology",1,"More structured than narrative; partial systematic approach","Methodology","0.7"
"O_ISAC_368","G1","Terminology harmonization",2,"Distinguishes photonics-assisted, DOFS, channel characteristics ISAC","Fig 1-4","0.85"
"O_ISAC_368","G2","Metric normalization",2,"Compares sensing objects, methodologies across approaches","Table comparison","0.8"
"O_ISAC_368","G3","Cross-modality benchmarking",2,"Compares different optical ISAC approaches with table","Comparison table","0.85"
"O_ISAC_368","G4","Cross-domain transfer",2,"Discusses fiber to wireless, polarization to phase sensing","Full text","0.8"
"O_ISAC_368","G5","Unified PHY framework/taxonomy",3,"Proposes three-category taxonomy: photonics-assisted, DOFS, channel","Introduction","0.9"
"O_ISAC_368","G6","System-level co-design",2,"Discusses WDM integration, ML-based detection","Full text","0.8"
"O_ISAC_368","G7","Systematic methodology",0,"Narrative technical review","Methodology","0.9"
"O_ISAC_303","G1","Terminology harmonization",2,"Introduces LiSAC terminology linking lighting, sensing, communication","L8","0.85"
"O_ISAC_303","G2","Metric normalization",1,"Discusses performance metrics but no standardization","Body","0.7"
"O_ISAC_303","G3","Cross-modality benchmarking",0,"VLC-only focus; no cross-modality benchmarks","Full text","0.9"
"O_ISAC_303","G4","Cross-domain transfer",1,"Reviews VLC applications in healthcare, AR, transport","L51","0.8"
"O_ISAC_303","G5","Unified PHY framework/taxonomy",2,"Proposes LiSAC integration framework","L8","0.8"
"O_ISAC_303","G6","System-level co-design",2,"Discusses system architectures: mirror-assisted, sunlight-based VLC","L8","0.8"
"O_ISAC_303","G7","Systematic methodology",0,"Narrative review","Methodology","0.9"
"O_ISAC_006","G1","Terminology harmonization",1,"Uses ISAC-OF terminology without explicit glossary","Introduction","0.7"
"O_ISAC_006","G2","Metric normalization",1,"Discusses sensing metrics but no explicit resolution/accuracy distinction","Body","0.7"
"O_ISAC_006","G3","Cross-modality benchmarking",0,"Fiber-only focus; no cross-modality comparison","Full text","0.9"
"O_ISAC_006","G4","Cross-domain transfer",0,"Limited to cabled domain; no wireless transfer","Full text","0.9"
"O_ISAC_006","G5","Unified PHY framework/taxonomy",2,"Proposes forward/backscatter taxonomy for fiber ISAC","Introduction","0.8"
