canonical_track_id,proposed_bucket,recommended_action,primary_basis,notes
O_ISAC_159,keep_canonical,retain_in_primary_corpus,Photonic-THz bridging modality explicitly allowed in Section I and title/abstract evidence,Photonics-assisted THz ISAC experimental paper; external IEEE reason is too RF-strict for the current O-ISAC taxonomy.
O_ISAC_160,remove_from_primary_corpus,mark_scope_exclusion,Section III optical-domain rule,Vehicular ISAC/path-loss paper appears RF-only and does not satisfy optical carrier requirement.
O_ISAC_161,contextual_only_policy_conflict,move_to_related_survey_context_or_amend_policy,Section I uses it as RF background survey,Keep only if the manuscript explicitly allows survey-style feeder/context works outside the primary O-ISAC evidence base.
O_ISAC_162,remove_from_primary_corpus,mark_scope_exclusion,Section III optical-domain rule,Generic 6G/3GPP ISAC overview with no optical modality basis.
O_ISAC_163,contextual_only_policy_conflict,move_to_related_survey_context_or_amend_policy,Section I explicitly labels it Tier-2 enabling context,RF/THz RIS-for-ISAC survey; useful in gap analysis but weak as a primary O-ISAC study.
O_ISAC_206,remove_from_primary_corpus,mark_scope_exclusion,Section III optical-domain rule,mmWave hybrid transceiver optimization paper; RF-only by title and abstract.
O_ISAC_241,keep_canonical,retain_in_primary_corpus,Photonic-THz bridging modality explicitly allowed in Section I and abstract evidence,Photonics-assisted mmWave ISAC using OTFS; fits optical-assisted bridging interpretation.
O_ISAC_242,keep_canonical,retain_in_primary_corpus,Optical-assisted W-band ISAC with shared waveform,Photonic/W-band ISAC letter with simultaneous sensing and communication on a shared PAM-4 waveform.
O_ISAC_252,keep_canonical,retain_in_primary_corpus,Optical carrier and joint sensing/communication control loop,Satellite-ground laser communication paper uses beam distortion sensing for adaptive communication control.
O_ISAC_300,keep_canonical,retain_in_primary_corpus,Photonic-THz bridging modality explicitly allowed in Section I,Photonic THz-ISAC synchronization paper remains within the current photonic-THz modality.
O_ISAC_310,keep_canonical,retain_in_primary_corpus,Photonics-based THz ISAC modality,Simulation paper still fits the manuscript's declared photo-THz branch.
O_ISAC_327,contextual_only_policy_conflict,move_to_related_survey_context_or_amend_policy,Section I cites it as adjacent VLC survey-style work,Channel-model survey helps related-work analysis but is weak as a primary integrated sensing study.
O_ISAC_340,remove_from_primary_corpus,mark_scope_exclusion,Section III integration rule,Optical network architecture paper lacks a clear joint sensing mechanism in the available abstract evidence.
O_ISAC_349,keep_canonical,retain_in_primary_corpus,Photonic-THz bridging modality explicitly allowed in Section I,Radar-centric photonic terahertz ISAC waveform paper fits the current scope.
O_ISAC_356,keep_canonical,retain_in_primary_corpus,Core exemplar already used in Section I narrative,Photonic THz-ISAC demonstration is directly aligned with the declared taxonomy and rate-resolution discussion.
O_ISAC_360,keep_canonical,retain_in_primary_corpus,Integrated photonic circuit with joint light transmission and sensing,On-chip photonic circuit clearly satisfies optical-domain joint functionality.
O_ISAC_368,contextual_only_policy_conflict,move_to_related_survey_context_or_amend_policy,Section I cites it in related survey analysis,Optical technical review is contextually useful but not a primary study under the strict protocol wording.
