"item","topic","overall_status","manuscript_text_state","materialized_local_supplement_state","active_tex_carrier_state","public_persistent_release_state","manuscript_location","local_artifact","tex_carrier_location","public_location","remaining_gate","correction_ready_text"
"1","Title","PARTIAL","CANDIDATE_ONLY","PRESENT","ABSENT","NOT_REQUIRED","FRONT_MATTER_CANDIDATE_2026-08-13.md","FRONT_MATTER_CANDIDATE_2026-08-13.md","","","Author approval and insertion into a final driver.","Approve and activate: Optical Integrated Sensing and Communication for 6G: A Systematic Review and Survey of Architectures, Metrics, and Tradeoffs across Optical Platforms."
"2","Abstract","PARTIAL","PRESENT","PRESENT","ACTIVE","NOT_REQUIRED","sections/00_ABSTRACT.tex:1-27","sections/00_ABSTRACT.tex","MANUSCRIPT_BODY_INPUTS.tex:6","","Approve and activate the systematic-review title so PRISMA for Abstracts A1 is part of the final manuscript.","Retain the current 250-word abstract and activate the systematic-review title in the final driver."
"3","Rationale","READY","PRESENT","PRESENT","ACTIVE","NOT_REQUIRED","sections/01_INTRODUCTION.tex:3-205","sections/01_INTRODUCTION.tex:74-189 | supplements/related_synthesis/ST-RS1_CONTEXTUAL_SYNTHESES_38.csv","MANUSCRIPT_BODY_INPUTS.tex:7","","None.","Retain the survey-first rationale and the boundary that contextual syntheses do not define the 206-study evidence denominator."
"4","Objectives","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/01_INTRODUCTION.tex:207-233","supplements/reporting/protocol/protocol_initial_2026-06-17.md","MANUSCRIPT_BODY_INPUTS.tex:7","supplements/reporting/protocol/","None.","Retain the four reader tasks and seven protocol-question boundary."
"5","Eligibility criteria","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:59-85","supplements/reporting/protocol/ | supplements/reporting/S_REVIEW_CONDUCT_AND_REPORTING_BOUNDARIES.md","MANUSCRIPT_BODY_INPUTS.tex:9","supplements/reporting/","None.","Retain the explicit outcome nonrequirement, genuine-integration rule, date/language/report rules, and contextual-corpus boundary."
"6","Information sources","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:41-57","supplements/reporting/search/final_search_execution_log_2026-06-22.csv | supplements/reporting/search/","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:53-57","supplements/reporting/search/","None; retain the disclosed Taylor & Francis mapping limitation.","Complete source strategies and execution records are provided in electronic Supplement S-Search; two low-yield Taylor & Francis query-to-export mappings remain explicitly unreconstructed."
"7","Search strategy","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:41-57","supplements/reporting/search/final_search_package_v1_2026-06-22.md | supplements/reporting/search/final_search_execution_log_2026-06-22.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:53-57","supplements/reporting/search/","None; do not invent the two unreconstructed mappings.","Retain the exact-search supplement pointer and the explicit unreconstructed-query boundary."
"8","Selection process","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:88-119","supplements/reporting/S_REVIEW_CONDUCT_AND_REPORTING_BOUNDARIES.md","MANUSCRIPT_BODY_INPUTS.tex:9","supplements/reporting/","None.","Retain one-investigator final decisions, AI-proposal boundary, no autonomous exclusion, no independent duplicate review, and no translation workflow."
"9","Data collection process","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:220-264","supplements/reporting/S_DATA_DICTIONARY_446.csv | supplements/reporting/S_REVIEW_CONDUCT_AND_REPORTING_BOUNDARIES.md","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:242","supplements/reporting/","None.","Retain the investigator-supervised AI-assisted extraction, source locators, no author contact, no graph digitization, and no inferred values."
"10a","Data items: outcomes","READY","PRESENT","PRESENT","ACTIVE","LOCAL_ONLY","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:220-242","supplements/reporting/S_DATA_DICTIONARY_446.csv | supplements/evidence/ST-19_PRIMARY_METRIC_RESULTS_4779.csv","sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:242 | sections/03_REVIEW_METHOD_AND_EVIDENCE_BASE.tex:346-351","supplements/reporting/ | supplements/evidence/","None.","Retain the condition-bound collection policy and the statement that extraction was not exhaustive transcription."
