id,bolum,satir_baslangic,satir_bitis,bulgu_tipi,desen,bulgu,onerilen_islem,risk_duzeyi,tahmini_kazanim_satir
1,"Introduction",45,69,"tekrar","rf motivasyonu + optik acilim","RF sinirlari, 6G ihtiyaci ve optik gecisin gerekcesi tek akis icinde birden fazla kez kuruluyor.","Uc RF kisitini tek paragraf + kisa listeye indir; ilk fig referansina kadar olan motivasyonu daha yogun yaz.","dusuk","8-12"
2,"Introduction",144,244,"tekrar","optical opportunity + demonstrator tekrari","Optik spektrum firsati, performans ornekleri ve uc avantaj ayni iddiayi iki kez kuruyor: yuksek oran, iyi cozum, RF-EMI avantaji.","Sayisal exemplar sayisini 3 yerine 2 ana ornege indir; avantaj paragraflarini tablo/fig ile destekleyip metni kisalt.","dusuk","12-18"
3,"Introduction",245,264,"tekrar","taxonomy preview","Giris icindeki unified taxonomy ozeti, Section IV acilisinda daha ayrintili tekrar ediliyor.","Burayi 2-3 cumlelik preview seviyesine cek; medium listesi ve transfer iddiasini Section IV'e birak.","dusuk","6-10"
4,"Introduction",266,299,"tekrar","fragmentation + surveys overlap","Fragmentation challenge ve related surveys/gap analysis ayni temel sorunu anlatiyor: siloing, metric inconsistency, lack of unity.","Iki alt bolumu tek daha keskin problem-gapis akisi haline getir; uzun literatur anlatimini tabloya yasla.","dusuk","14-22"
5,"Introduction",301,325,"gecis","contributions + organization","Contributions listesi ve organization of paper birlikte ayni yol haritasini ikinci kez veriyor.","Contributions maddelerini koru; organization kismini 4-5 satirlik tek paragraf veya cok daha kisa liste yap.","dusuk","8-12"
6,"Technical Fundamentals",470,532,"gecis","subsection scaffold","Bu aralikta birden fazla alt bolum once kapsam acikliyor, sonra ayni governance veya ranking disclaimerini tekrar ediyor.","Her alt bolumun ilk iki cumlesini tek kapsam cumlesine indir; ortak disclaimeri Section II acilisina tasi.","dusuk","6-10"
7,"Technical Fundamentals",643,750,"tekrar","governance restatement around figure","Evidence alignment ve metric-contract figure lead-in, caption ile birlikte ayni governance mesajini yineliyor.","Sekil oncesi aciklamayi kisalt; ayrintili yorumun bir kismini caption veya sonraki tabloya birak.","dusuk","6-9"
8,"Methodology",880,896,"gecis","section handoff","Data extraction ve data synthesis strategy paragraflari Section IV ve V'e giden kopruyu iki kez kuruyor.","Extraction ve synthesis handoff'unu tek kapanis paragrafinda birlestir.","dusuk","3-5"
9,"Unified O-ISAC Taxonomy",900,943,"tekrar","taxonomy purpose + comparability contract","Section IV acilisi, design requirements ve mapping girisi ayni savi tekrar ediyor: not ranking, comparability, traceability, governance.","Amac ve uc requirementi tek blokta birlestir; ayni savi alt bolumlerde tekrar etme.","dusuk","12-18"
10,"Unified O-ISAC Taxonomy",1018,1022,"gecis","medium overview bridge","Medium-based classes girisi, sonraki sinif alt basliklarinda yeniden anlatilacak olan medium-conditioned yorumlari ozetliyor.","Bu overview'u 1 yogun paragraf yap; ayrintiyi sinif alt basliklarina birak.","dusuk","4-6"
11,"Unified O-ISAC Taxonomy",1093,1098,"sablon_tekrari","class template fiber","Fiber sinifi 'design rationale + evidence-conditioned synthesis + comparability guard' sablonunun ilk ornegi.","Rationale'i bir kez section girisinde ver; sinif bazinda sadece fark yaratan sayilar ve tek guard notu kalsin.","dusuk","4-6"
12,"Unified O-ISAC Taxonomy",1100,1105,"sablon_tekrari","class template fso","FSO alt bolumu fiber ile ayni retorik iskeleti kullaniyor.","Class template'i standardize edip tek daha kisa anlatim kalibina indir.","dusuk","3-5"
13,"Unified O-ISAC Taxonomy",1107,1126,"sablon_tekrari","class template vlc thz hybrid","VLC, photonic-THz ve hybrid alt bolumleri ayni template ile devam ediyor; guard cumleleri neredeyse varyasyonlu kopya.","Tum class-level comparability guardlari tek ortak notta birlestir; alt bolumlerde yalniz ayristirici bulgular kalsin.","dusuk","8-12"
14,"Unified O-ISAC Taxonomy",1133,1135,"gecis","axis 2 intro","Integration mechanisms girisi, Section IV'un ana amacini ve mapping mantigini tekrar anlatiyor.","Axis 2 girisini tek cumlelik scope notuna indir.","dusuk","2-4"
15,"Unified O-ISAC Taxonomy",1193,1217,"sablon_tekrari","shared waveform hardware resources processing","Dort alt baslik ayni ritimde ilerliyor: evidence intensity, medium note, therefore-sonucu, governance notu.","Dort mekanizmayi daha matrix-odakli sun; her biri icin yalniz bir ayristirici cumle + tabloya referans kullan.","dusuk","10-16"
16,"Unified O-ISAC Taxonomy",1223,1294,"tekrar","detection observability guard repetition","Detection section direct/coherent, intensity/field ve metric implications boyunca ayni plane/role guardi defalarca hatirlatiyor.","Plane/role kurallarini tek opening note olarak ver; alt kisimlarda sadece regime farklarini koru.","dusuk","10-15"
17,"Unified O-ISAC Taxonomy",1314,1417,"gecis","reader-facing figure and table explainer","Taxonomy Figure, Taxonomy Table ve ikinci fig aciklamalari okuyucuya nasil okunacagini tekrar tekrar soyluyor.","Iki reader-facing aciklamayi daha kisa meta-notlara indir; fig/table relation bilgisini tek yerde tut.","dusuk","10-14"
18,"Tradeoff Synthesis",1421,1429,"gecis","section scope reset","Section V acilisi ve ilk tablo lead-in, giriste zaten verilmis reporting-contract vaadini yeniden kuruyor.","Bu scope reset'i yarim uzunlukta tut; detayli admissibility tanimini alt bolumlere yayma.","dusuk","4-6"
19,"Tradeoff Synthesis",1425,1680,"tekrar","raw governed counts repetition","225 scenario, 53 governed, 20 CRQ-valid, 299 MAJOR violations gibi ayni sayi paketleri V-A, V-B, V-C ve V-D'de tekrarliyor.","Ortak sayi paketini section-level mini summary'ye tasi; alt bolumlerde yalniz role-specific farklari birak.","dusuk","20-30"
20,"Tradeoff Synthesis",1670,1680,"gecis","closeout duplication","Section V closeout synthesis, hemen onceki V-C ve V-D sonucunu tekrar toparliyor.","Closeout'u 1 kisa paragraf yap veya tamamen sonraki section gecisine yedir.","dusuk","6-10"
21,"Enabling Technologies",1683,1691,"gecis","section bridge","Section VI acilisi, Introduction contributions ve Section V->VII koprusunu yeniden anlatiyor.","Acilis paragrafini daha kisa bir section-purpose notuna indir.","dusuk","4-6"
22,"Enabling Technologies",1818,1979,"tekrar","takeaway chain","VI-A'dan VI-F'e kadar her alt bolum sonunda uzun takeaway + sonraki alt bolume kopru var; ardarda okundugunda ritim tekrarliyor.","Her alt bolum sonunda 1-2 cumlelik micro-closeout kullan; uzun bridge paragraflarini Section VI final synthesis'e birak.","dusuk","14-22"
23,"Applications",1984,2091,"tekrar","section opener governance disclaimer","Section VII acilisi medium labels, ORIS/OPA contextual use ve SNR-plane disclaimerlarini tekrarliyor; bunlar onceki sectionlardan biliniyor.","Acilista sadece domain coverage ve fig/table map kalsin; governance notlarini dipnot veya tek cumle yap.","dusuk","5-8"
24,"Applications",2095,2206,"sablon_tekrari","context scenarios math anchor takeaway shell","VII-A ile VII-E arasindaki her dikey ayni dortlu iskeleti kullaniyor.","Benzer formdaki math anchorlari ortak model ailesi olarak kisalt; context ve takeaways'i daha yogun hale getir.","dusuk","18-28"
25,"Applications",2210,2239,"tekrar","cross-domain synthesis repeats earlier scenarios","VII-F, A-E bolumlerinde verilen representative scenario tiplerini yeniden derleyip anlatiyor.","VII-F'i senaryo tekrarindan cok transfer motifs ve ortak desenler odagina cek.","dusuk","8-12"
26,"Applications",2299,2305,"gecis","dual-view audit transition","VII-G context ve key takeaways, tablo zaten yaptigi audit isini tekrar yaziyor ve Section VIII'e kopru kuruyor.","Audit yorumunu daha kisa tut; Section VIII gecisini tek cumleye indir.","dusuk","6-9"
27,"Open Challenges and Research Roadmap",2309,2322,"tekrar","section opener + figure read note","Section VIII acilisi, protocol RQ3 ve figuru nasil okumak gerektigini arka arkaya anlatiyor.","Bir acilis paragrafi ve daha kisa fig read note yeterli olur.","dusuk","6-10"
28,"Open Challenges and Research Roadmap",2326,2621,"sablon_tekrari","context case math takeaways shell","Bes challenge domaininin her biri ayni kalipla kurulmus: Context, 4 case, Math Anchor, Key Takeaways.","Domain bazli case'leri koruyup context ve takeaways'i yariya indir; benzer sentence framingleri standardize et.","dusuk","24-38"
29,"Open Challenges and Research Roadmap",2633,2828,"tekrar","capstone meta layers","VIII-F ve VIII-G co-linkage, prioritization scaffold ve alignment audit tarafinda meta-seviye yorumlar birbirini tekrarliyor.","Bir meta layeri tablo odakli hale getir; organizasyonel uyarilari tek ortak notta topla.","dusuk","14-22"
30,"Conclusions",2874,2884,"tekrar","final recap of governance and roadmap","Sonuc bolumu, giris ve section closeout'larda zaten islenen governance, sparse evidence ve roadmap noktalarini yeniden toparliyor.","Conclusions'u daha keskin 3 paragraf yapisina indir; tekrar eden metodolojik guardrail dilini sadelestir.","dusuk","6-10"
