canonical_track_id,final_section3_audit_decision,current_canonical_action,whole_manuscript_rebaseline_required,rationale
O_ISAC_159,retain_in_current_section3_corpus,none,no,Photonics-assisted THz ISAC experimental paper; external IEEE reason is too RF-strict for the current O-ISAC taxonomy.
O_ISAC_160,rebaseline_candidate_remove_from_primary_corpus,none_in_section3_this_turn,yes,Vehicular ISAC/path-loss paper appears RF-only and does not satisfy optical carrier requirement.
O_ISAC_161,rebaseline_candidate_move_to_contextual_set,none_in_section3_this_turn,yes,Keep only if the manuscript explicitly allows survey-style feeder/context works outside the primary O-ISAC evidence base.
O_ISAC_162,rebaseline_candidate_remove_from_primary_corpus,none_in_section3_this_turn,yes,Generic 6G/3GPP ISAC overview with no optical modality basis.
O_ISAC_163,rebaseline_candidate_move_to_contextual_set,none_in_section3_this_turn,yes,RF/THz RIS-for-ISAC survey; useful in gap analysis but weak as a primary O-ISAC study.
O_ISAC_206,rebaseline_candidate_remove_from_primary_corpus,none_in_section3_this_turn,yes,mmWave hybrid transceiver optimization paper; RF-only by title and abstract.
O_ISAC_241,retain_in_current_section3_corpus,none,no,Photonics-assisted mmWave ISAC using OTFS; fits optical-assisted bridging interpretation.
O_ISAC_242,retain_in_current_section3_corpus,none,no,Photonic/W-band ISAC letter with simultaneous sensing and communication on a shared PAM-4 waveform.
O_ISAC_252,retain_in_current_section3_corpus,none,no,Satellite-ground laser communication paper uses beam distortion sensing for adaptive communication control.
O_ISAC_300,retain_in_current_section3_corpus,none,no,Photonic THz-ISAC synchronization paper remains within the current photonic-THz modality.
O_ISAC_310,retain_in_current_section3_corpus,none,no,Simulation paper still fits the manuscript's declared photo-THz branch.
O_ISAC_327,rebaseline_candidate_move_to_contextual_set,none_in_section3_this_turn,yes,Channel-model survey helps related-work analysis but is weak as a primary integrated sensing study.
O_ISAC_340,rebaseline_candidate_remove_from_primary_corpus,none_in_section3_this_turn,yes,Optical network architecture paper lacks a clear joint sensing mechanism in the available abstract evidence.
O_ISAC_349,retain_in_current_section3_corpus,none,no,Radar-centric photonic terahertz ISAC waveform paper fits the current scope.
O_ISAC_356,retain_in_current_section3_corpus,none,no,Photonic THz-ISAC demonstration is directly aligned with the declared taxonomy and rate-resolution discussion.
O_ISAC_360,retain_in_current_section3_corpus,none,no,On-chip photonic circuit clearly satisfies optical-domain joint functionality.
O_ISAC_368,rebaseline_candidate_move_to_contextual_set,none_in_section3_this_turn,yes,Optical technical review is contextually useful but not a primary study under the strict protocol wording.
