"paper_id","year","title","venue","survey_class","modality_coverage","integration_depth","evidence_type","scope_excerpt","limitations_excerpt","benchmarks_mentioned","metrics_defined","taxonomy_present","systematic_strength","confidence","source_locator"
"O_ISAC_156","2023","Physical Layer Security for IoT: A Paradigm Shift","IEEE COMST","Other (Security)","Multi","Partial","Survey","We review essentially recent PLS techniques aiming at ensuring... (L9)","Does not cover recent trends in THz, NOMA comprehensively","No","Yes","Yes","High","0.90","Abstract L9, Conclusion L1008"
"O_ISAC_163","2025","Multi-Functional and Hybrid RIS for ISAC - A Survey","IEEE COMST","RIS-ISAC survey","Multi","Cross-modal","Survey","This survey provides an up-to-date summary of the state of the art. (L5)","Lacks experimental validation; primarily analytical","Yes","Yes","Yes","High","0.90","Abstract L5, Section E L77"
"O_ISAC_368","2023","A Technical Review of ISAC in Optical Transmission System","Conference","Optical ISAC review","Multi","True O-ISAC","Review","Comprehensive review of ISAC in optical transmission system (Title)","Open issues: combined sensing, algorithm optimization","Yes","Yes","Yes","Medium","0.90","Full paper"
"O_ISAC_303","2024","LiSAC: Integrated sensing, lighting and communication (VLC)","Digital Signal Processing","VLC/LiFi review","VLC/LiFi","True O-ISAC","Review","The paper introduces the concept of LiSAC and reviews its applications (L64)","Lacks experimental results and validation","No","Yes","Yes","Low","0.85","key_contribution L64"
"O_ISAC_006","2024","Recent Advancements and Challenges in ISAC-OF","JLT","DFOS/DAS survey","Fiber","True O-ISAC","Review","Comprehensive review of ISAC-OF systems (key_contribution L70)","Does not address concurrent high-rate communication trade-offs","No","Yes","Partial","Low","0.85","key_contribution L70"
"O_ISAC_021","2023","Optical ISAC: Architectures, Potentials and Challenges","IEEE IoT Magazine","OWC/FSO survey","FSO","True O-ISAC","Overview","Proposes generalized O-ISAC system structure with three advantages","Lacks experimental validation and cross-modality comparison","No","Yes","Yes","Low","0.85","Introduction"
"O_ISAC_033","2022","Simultaneous Sensing and Communication in Optical Fibers","JLT","DFOS/DAS survey","Fiber","True O-ISAC","Survey","We review two recent methods... simultaneous data transmission and sensing (L15)","Limited to cabled domain; does not address wireless O-ISAC","Yes","Yes","Partial","Low","0.85","Introduction L15"
"O_ISAC_068","2023","Joint Communication and Sensing Prospects (VLC)","IEEE Access","VLC/LiFi survey","VLC/LiFi","True O-ISAC","Overview","Discusses JCS/ISAC terminology aliases and VLC sensing potential","Calls for standardization efforts; interoperability remains a barrier","No","Yes","Partial","Low","0.85","Introduction"
"O_ISAC_327","2024","VLC-IoE Channel Characterization in 6G: A Survey","IEEE IoT Journal","VLC/LiFi survey","VLC/LiFi","Partial","Survey","Comprehensive understanding of the current state of VLC-IoE channel research (L679)","Calls for standard VLC channel model following 3GPP methodology","No","Yes","Yes","Medium","0.80","Conclusion L679"
"O_ISAC_039","2022","Visible Light Integrated Positioning and Communication","IEEE TMC","VLC/LiFi survey","VLC/LiFi","True O-ISAC","Overview","Proposes MTL framework for joint VLP and VLC","Mutual benefits between positioning and communication not fully utilized","No","Yes","No","Low","0.80","Introduction"
"O_ISAC_161","2025","ISAC Transceiver Hardware Architectures, Technologies, and Trends","IEEE J-STAEQ","Hardware survey","Photo-THz","Cross-modal","Overview","Comprehensive review of ISAC transceiver technologies... hardware-centric (L47)","Lack of industry-wide consensus on standardization","No","Yes","Yes","Medium","0.85","Introduction L47, Conclusion L626"
"O_ISAC_142","2024","Intelligent Surfaces for 6G Wireless Networks","IEEE Magazine","Other (IS)","Multi","Partial","Overview","Comprehensive review of intelligent surfaces (ISs) and transformative potential (L9)","Primarily RF-focused; limited optical depth","No","Yes","Yes","Low","0.75","Introduction L9"
"O_ISAC_150","2024","6G Vision: Requirements, Technologies, and Challenges","IEEE Magazine","Other (6G)","Multi","Partial","Overview","Comprehensive overview of 6G vision including ISAC (L379 ref)","Broad scope; lacks O-ISAC technical depth","No","Yes","Yes","Low","0.75","Body"
"O_ISAC_162","2024","ISAC Overview: Use Cases, Channel Models, and PoC","IEEE Magazine","Other (ISAC)","Multi","Cross-modal","Overview","Comprehensive overview of ISAC technology and applications (L190)","General ISAC focus; limited optical-specific detail","No","Yes","Partial","Low","0.80","tqaf_notes L190"
"O_ISAC_059","2024","ISAC for TN and NTN Integration","IEEE Conference","Other","Multi","Partial","Overview","Comprehensive overview of potential benefits and challenges of ISAC (L21)","Lacks experimental validation; conceptual focus","No","Yes","No","Low","0.75","step_3 L21"
"O_ISAC_064","2024","ISAC Smart City Applications via Deployed Fibers","Conference","Fiber ISAC review","Fiber","True O-ISAC","Overview","We review our recent works on ISAC... smart city applications (L9)","Conference paper; limited depth","No","Yes","No","Low","0.80","Abstract L9"
"O_ISAC_200","2024","Fiber Sensing via VAE and Jones Matrix Factorization","OFC Conference","Fiber sensing tutorial","Fiber","Partial","Tutorial","We review our recent works... VAE-based equalization (L48)","Focused on polarization sensing; single technique","No","Yes","No","Low","0.75","Introduction L48"
