paper_id,section,challenge_domain,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,has_section5_signal,has_section6_signal,has_section7_signal,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,8C,channel_modeling_evaluation,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_vlc,True,True,True,bridge,INDIRECT,,,False
O_ISAC_002,8C,channel_modeling_evaluation,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_003,8C,channel_modeling_evaluation,channel characterization gap,fuzzy:89.28571428571429,DIRECT,"The snippet discusses the use of Zemax software for channel modeling and evaluation, specifically for mono-static and bistatic sensing vehicle scenarios, which directly relates to the concept of channel_modeling_evaluation.","In this work, we used the ray tracing method of the Zemax software, which has been utilized in the creation of IEEE 802.15.13 and 802.11bb reference channel characterization studies, validated with extensive measurements in [9]. We first constructed two typical modes of mono-static sensing and bistatic sensing vehicle scenarios, as depicted in Fig. 1. Vehicle CAD models were imported and manipulated in Zemax®'s ""Part Designer"", which allowed for user-defined CAD object creation, and the specific type of reflection was determined using the ""scattering fraction (SF)"" parameter, according to the specifications of the International Commission on Lighting (CIE) [10]. It was assumed that the type of road was R2, the material was asphalt concrete, the car surface was black gloss paint and the scattering coefficient was set to 0.2. TABLE I summarized the specifications for the reference scenario and the coating materials. The selected taillight was",39,39,*A. Simulation Scenario Set Up*,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_003,8C,channel_modeling_evaluation,channel characterization gap,fuzzy:92.3076923076923,INDIRECT,"The snippet mentions analyzing bistatic sensing channel characteristics and introduces the concept of VL-based ISAC channel characterization, which indirectly relates to channel modeling and evaluation.",#### III. VL-BASED ISAC CHANNEL CHARACTERIZATION,73,73,*A. Simulation Scenario Set Up* > III. VL-BASED ISAC CHANNEL CHARACTERIZATION,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_003,8C,channel_modeling_evaluation,channel model gap,fuzzy:86.66666666666667,DIRECT,"The snippet directly discusses the ISAC channel model, its framework, and its components, which is a key aspect of channel modeling evaluation.",#### A. VL-based ISAC channel model,75,75,*A. Simulation Scenario Set Up* > III. VL-BASED ISAC CHANNEL CHARACTERIZATION > A. VL-based ISAC channel model,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_003,8C,channel_modeling_evaluation,channel modeling gap,fuzzy:90.0,DIRECT,"The snippet directly discusses the ISAC channel model, its framework, and its components, and provides a mathematical equation, which is a key aspect of channel modeling evaluation.","The current framework of the ISAC channel model in 3GPP is defined as consisting of two parts: the target channel and the background channel [11]. Specifically, the interaction of a deterministic target on the received signal is modeled by the target-specific channel, while the interaction of the environment other than the target on the received signal is modeled by the background channel. The background channel includes all effects of unintended objects, i.e., environmental targets and clutter. It has also been shown in some existing ISAC channel modeling studies that it is a superposition of the target and background channels [12]–[14]. The 3GPP framework can be expressed by the following equation:",77,77,*A. Simulation Scenario Set Up* > III. VL-BASED ISAC CHANNEL CHARACTERIZATION > A. VL-based ISAC channel model,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_003,8C,channel_modeling_evaluation,channel characterization gap,fuzzy:92.85714285714286,INDIRECT,"The provided context mentions various research papers related to channel modeling and evaluation in different communication systems, including visible light communication and 6G. However, it does not directly evaluate or compare channel models, instead referencing studies that involve channel characterization and modeling as part of their research.","- [4] P. Tang, Y. Yin, Y. Tong, S. Liu, L. Li, T. Jiang, Q. Wang, and M. Chen, ""Channel characterization and modeling for VLC-IOE applications in 6G: A survey,"" *IEEE Internet of Things Journal*, vol. 11, no. 21, pp. 34 872–34 895, 2024.",189,189,REFERENCES,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_003,8C,channel_modeling_evaluation,channel modeling gap,fuzzy:90.0,INDIRECT,"Similar to the first context, this snippet references multiple research papers that involve channel modeling for various applications, including visible light communication and integrated sensing and communication. While these papers may contain evaluations of channel models, the context itself does not directly compare or evaluate channel models.","- [6] S. Shao, A. Salustri, A. Khreishah, C. Xu, and S. Ma, ""R-VLCP: Channel modeling and simulation in retroreflective visible light communication and positioning systems,"" *IEEE Internet of Things Journal*, vol. 10, no. 13, pp. 11 429–11 439, 2023.",191,191,REFERENCES,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_004,8C,channel_modeling_evaluation,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_005,8C,channel_modeling_evaluation,channel gap,fuzzy:90.9090909090909,INDIRECT,"The concept of channel modeling evaluation is related to the analysis of the O-ISAC framework, which involves the use of back-scattered light to sense the atmospheric channel gain. Although the text does not directly mention channel modeling evaluation, it implies the need for evaluating the channel conditions, making it an indirect reference.","*Abstract*—Integrated sensing and communication (ISAC) is expected to transform data transmission and real-time sensing, enhancing sixth-generation (6G) networks. Free-space optical (FSO) communication is a key 6G backhaul solution, complementing radio frequency (RF) technologies like millimeter wave (mmWave) for improved network reliability. However, adverse weather can significantly reduce FSO link reliability due to atmospheric attenuation. Such adverse weather conditions also increase the level of back-scattered light, potentially enabling the real-time sensing of the atmospheric channel gain at the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO communication signal is used as the sensing feedback signal. This O-ISAC framework is analyzed considering a single-cell network aided by an unmanned aerial vehicle (UAV) to support edge users. The UAV is connected to the gateway via a FSO backhaul link while estimating the FSO channel gain based on the backscattered light and dynamically optimizing its trajectory. The aim of this adaptive O-ISAC system is to maximize the end-toend network throughput of the edge users while considering FSO backhaul capacity and the UAV's directional antenna beamwidth and bandwidth allocation. Numerical results demonstrate that UAV can effectively optimize its trajectory by adjusting the antenna beamwidth and downlink bandwidth allocation at different weather conditions. The proposed framework is tested using hourly visibility data from Edinburgh, demonstrating that optical channel sensing is crucial for the system's overall performance.",9,9,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,,,hybrid,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
