support_id,match_type,ieee_source_file,ieee_source_row,ieee_title,ieee_doi,scopus_source_file,scopus_source_row,scopus_title,scopus_doi,already_in_dedup_log,support_scope,notes
EXT_DEDUP_001,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,3,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,10.1109/icton67126.2025.11125210,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,110,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,10.1109/icton67126.2025.11125210,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_002,normalized_title_only,screening/external/IEEE_511_OISAC_Results.csv,5,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,145,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,10.1364/ofc.2025.w4f.6,yes,noncanonical_external_overlap_support,External IEEE 511 export normalized-title match against visible Scopus update export.
EXT_DEDUP_003,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,6,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,10.1109/wcnc61545.2025.10978645,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,169,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,10.1109/wcnc61545.2025.10978645,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_004,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,10,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,10.1109/wcnc61545.2025.10978163,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,168,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,10.1109/wcnc61545.2025.10978163,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_005,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,11,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,10.1109/icct62411.2024.10946617,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,289,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,10.1109/icct62411.2024.10946617,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_006,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,14,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,10.23919/oecc/psc62146.2025.11111436,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,119,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,10.23919/oecc/psc62146.2025.11111436,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_007,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,16,Integrated Positioning and Communication Relying on Wireless Optical OFDM,10.1109/jsac.2025.3543532,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,54,Integrated Positioning and Communication Relying on Wireless Optical OFDM,10.1109/jsac.2025.3543532,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_008,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,18,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,10.1109/acp/ipoc63121.2024.10809915,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,231,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,10.1109/acp/ipoc63121.2024.10809915,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_009,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,19,Phase-Coded FMCW for Optical Integrated Sensing and Communication,10.1109/acp/ipoc63121.2024.10809937,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,236,Phase-Coded FMCW for Optical Integrated Sensing and Communication,10.1109/acp/ipoc63121.2024.10809937,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
EXT_DEDUP_010,exact_doi,screening/external/IEEE_511_OISAC_Results.csv,20,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,10.1109/jsen.2025.3554542,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,186,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,10.1109/jsen.2025.3554542,yes,noncanonical_external_overlap_support,External IEEE 511 export DOI match against visible Scopus update export.
