paper_id,gap_id,gap_label,coverage_score,justification_excerpt,where_in_paper,source_locator,confidence
O_ISAC_161,G1,Terminology harmonization,1,"e of ISAC. ""Fundamentals and Definitions"" section defines ISAC and introduces key performance metrics relevant","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L59)",0.8
O_ISAC_161,G2,Metric normalization,0,Keyword 'performance metric' present but not substantive,"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L59)",0.6
O_ISAC_161,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_161,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L33)",0.6
O_ISAC_161,G5,Unified PHY framework/taxonomy,1,"within a shared framework [Independent] Convergence of sensing and communication functions into a unified framework [Spectrum sharing, Waveform co-des",HISTORICAL EVOLUTION OF ISAC,HISTORICAL EVOLUTION OF ISAC (L95),0.8
O_ISAC_161,G6,System-level co-design,1,"radio frequency (RF) front-end architectures, and system-level integration have made multifunctional hardware platforms and hardware-software","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L31)",0.8
O_ISAC_161,G7,Systematic methodology,0,,,,0.6
O_ISAC_163,G1,Terminology harmonization,1,"direct radio waves to a specific location with a defined phase angle, which is programmed","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces (L59)",0.8
O_ISAC_163,G2,Metric normalization,0,,,,0.6
O_ISAC_163,G3,Cross-modality benchmarking,0,Keyword 'benchmark' present but not substantive,"<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications?","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications? (L506)",0.6
O_ISAC_163,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,"<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces > E. Contributions of This Survey","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces > E. Contributions of This Survey (L87)",0.6
O_ISAC_163,G5,Unified PHY framework/taxonomy,1,"n positioned in the stratosphere, and equipped with an RIS. The HAP station is proposed to act as a bridge","<span id=""page-29-2""></span>C. Satellite and Space","<span id=""page-29-2""></span>C. Satellite and Space (L618)",0.8
O_ISAC_163,G6,System-level co-design,1,"e communication stack is needed to meet link- and system-level concerns, such as network setup,","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications?","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications? (L506)",0.8
O_ISAC_163,G7,Systematic methodology,0,Keyword 'protocol' present but not substantive,"<span id=""page-8-7""></span>D. Refractive or ""Transmissive"" RIS > <span id=""page-9-6""></span><span id=""page-9-5""></span>E. Simultaneous Transmissi","<span id=""page-8-7""></span>D. Refractive or ""Transmissive"" RIS > <span id=""page-9-6""></span><span id=""page-9-5""></span>E. Simultaneous Transmissi (L224)",0.6
