record_group_id,title,doi,year,legacy_decision_set,legacy_rows,scopus_batch_decision,scopus_batch_row,linked_track_id,ai_scopus_decision,ai_scopus_confidence,reconstructed_stage_class,reconstructed_title_abstract_decision,reconstruction_basis,evidence_scope,notes
TA_RECON_001,"14th EAI International Conference on Wireless and Satellite Systems, WiSATS 2024",,2025,Duplicate,215;216,Duplicate,185,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_002,"16th International Conference on Wireless Communications and Signal Processing, WCSP 2024",,2024,Duplicate,256,Duplicate,225,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_003,"2022 31st Wireless and Optical Communications Conference, WOCC 2022",,2022,Duplicate,391,Duplicate,360,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_004,"2022 International Conference on Broadband Communications for Next Generation Networks and Multimedia Applications, CoBCom 2022",,2022,Duplicate,389,Duplicate,358,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_005,"2023 International Wireless Communications and Mobile Computing, IWCMC 2023",,2023,Duplicate,372,Duplicate,341,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_006,"2024 33rd Wireless and Optical Communications Conference, WOCC 2024",,2024,Duplicate,259,Duplicate,228,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_007,"2024 IEEE 99th Vehicular Technology Conference, VTC2024-Spring 2024 - Proceedings",,2024,Duplicate,281,Duplicate,250,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_008,"2025 13th Iran Workshop on Communication and Information Theory, IWCIT 2025",,2025,Duplicate,177,Duplicate,146,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_009,"2025 IEEE International Mediterranean Conference on Communications and Networking, MeditCom 2025",,2025,Duplicate,155,Duplicate,124,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_010,"2025 IEEE MTT-S Latin America Microwave Conference, LAMC 2025 - Proceedings",,2025,Excluded,76,Unscreened,45,O_ISAC_205,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_011,"2025 IEEE Photonics Society Summer Topicals Meeting Series, SUM 2025 - Proceedings",,2025,Duplicate,146,Duplicate,115,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_012,3D Handwriting Trajectory Recovery by Wireless Sensing with Commercial LTE Signals,10.1109/WCSP62071.2024.10827566,2024,Excluded,255,Unscreened,224,O_ISAC_306,Excluded,1.0,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_013,"4th International Conference on Autonomous Unmanned Systems, ICAUS 2024",,2025,Duplicate,194;206;208;212;213;214;220,Duplicate,189,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_014,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,10.1109/TSP.2024.3383285,2024,Duplicate,7;306,Duplicate,275,,,,duplicate_only,DuplicateOnly,legacy_duplicate_only,partial_dec28_update_workflow_only,
TA_RECON_015,6G-EWOC: AI-Enhanced Fiber-Wireless Optical 6G Network in Support of Connected Mobility,10.1109/CAMAD62243.2024.10942755,2024,Included,322,Unscreened,291,O_ISAC_340,Included,0.9,screened_record,Included,legacy_screening_log,partial_dec28_update_workflow_only,
TA_RECON_016,"6G Internet-of-Things assisted smart homes and buildings: Enabling technologies, opportunities and challenges",10.1016/j.iot.2025.101658,2025,Excluded,61,Unscreened,30,O_ISAC_191,Excluded,0.8,screened_record,Excluded,legacy_screening_log,partial_dec28_update_workflow_only,
