paper_id,source_type,source_path,md_path,section_key,concept_key,variant,match_type,quote,line_start,line_end,heading_path,context,label,strength,rationale,model_used
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2E,coupling_tradeoff,trade-off,lexical,"including CE-OFDM and other low-complexity schemes, are being considered to optimize the trade-off between sensing accuracy and communication performance.",39,39,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"{1}------------------------------------------------

including CE-OFDM and other low-complexity schemes, are being considered to optimize the trade-off between sensing accuracy and communication performance.

In addition to localization, the information embedded in reflected or transmitted optical signals can be used to infer the physical properties of materials. In [11], it was introduced a framework for material classification using features derived from OFDM-based OWC signals. Their setup involved measuring Error Vector Magnitude (EVM) and distance between the laser source and target material, which were then fed into machine learning models to classify objects as glass, plastic, or aluminum.",INDIRECT,INDIRECT,"The quote mentions optimizing the trade-off between sensing accuracy and communication performance, which is related to the concept of coupling tradeoff, but does not directly discuss the fundamentals of the tradeoff.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2E,coupling_tradeoff,trade-off,lexical,"Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and the EVM improves until a critical point beyond which phase ambiguities, known as cycle slips, begin to dominate. To address this limitation, the phase correction (PC) algorithm proposed in [8] was introduced and experimentally validated. The dashed curves in Fig. 1 show the effect of applying the PC algorithm, which significantly reduces the EVM across all modulation orders, particularly at high modulation indices where the uncorrected system would otherwise suffer from cycle slip-induced degradation. Fig. 2 presents the power spectral density (PSD) of CE-OFDM",106,106,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"As illustrated in Fig.1, the EVM performance of CE-OFDM was assessed as a function of the modulation index for three modulation orders: 4QAM, 16QAM, and 64QAM. The results clearly show that CE-OFDM achieves superior performance compared to conventional OFDM, particularly at moderate modulation indices where the EVM reaches its minimum. This behavior is attributed to the constant-envelope nature of the CE-OFDM waveform, which makes it more robust against the nonlinear distortions introduced by the directly modulated LD.

Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and the EVM improves until a critical point beyond which phase ambiguities, known as cycle sl",INDIRECT,INDIRECT,"The quote discusses the trade-off between modulation index and system performance, which is related to the concept of coupling tradeoff, but does not directly mention it. The context provides additional information about the performance of CE-OFDM, but the quote itself only provides indirect support for the concept.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2E,coupling_tradeoff,trade-off,lexical,"As the modulation index increases, the energy distribution across the spectrum becomes broader and more uniform. For low modulation indices (e.g., 2ℎ = 1), a significant portion of the signal power is concentrated around the carrier, resulting in a narrower bandwidth. This implies a less effective spreading of the OFDM subcarriers, which may degrade system performance in frequency-selective channels. Conversely, at higher modulation indices (e.g., 2ℎ = 4), the signal spectrum becomes broader and more evenly distributed around the carrier. This is a result of increased phase variation, which reduces the dominance of the carrier component and distributes power across more frequencies. However, this broader spectrum implies a trade-off, while the signal may become more robust to certain impairments (e.g., fading or nonlinearity), it does so at the cost of increased bandwidth, reducing spectral efficiency. The signal exhibits a flatter and more evenly distributed spectrum, indicating improved subcarrier orthogonality and better spectral shaping. The broader spectrum enhances robustness to system impairments and facilitates better separation of subcarriers at the receiver, collectively leading to improved system performance.",114,114,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"signals centered at 300 MHz, evaluated for different modulation indices. A consistent feature across all curves is the spectral line at the carrier frequency (300 MHz), which is a characteristic of CE-OFDM due to its constant-envelope phase modulation structure. This line corresponds to the residual carrier component and remains dominant regardless of the modulation index.

As the modulation index increases, the energy distribution across the spectrum becomes broader and more uniform. For low modulation indices (e.g., 2ℎ = 1), a significant portion of the signal power is concentrated around the carrier, resulting in a narrower bandwidth. This implies a less effective spreading of the OFDM subcarriers, which may degrade system performance in frequency-selective channels. Conversely, at higher modulation indices (e.g., 2ℎ = 4), the signal spectrum becomes broader and more evenly distribute",INDIRECT,INDIRECT,"The quote discusses the impact of modulation index on energy distribution and bandwidth in OFDM, which is related to the concept of coupling tradeoff, but does not directly address the tradeoff itself.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2E,coupling_tradeoff,trade-off,lexical,"The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs, including CE-OFDM and other low-complexity schemes, are being considered to optimize the trade-off between sensing accuracy and communication performance.",31,31,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION," In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced rob",INDIRECT,INDIRECT,"The quote discusses the integration of sensing and communication in 6G systems, which is related to the concept of coupling tradeoff, but does not directly address the tradeoff between coupling efficiency and other system parameters.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2E,coupling_tradeoff,trade-off,lexical,"Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and the EVM improves until a critical point beyond which phase ambiguities, known as cycle slips, begin to dominate. To address this limitation, the phase correction (PC) algorithm proposed in [8] was introduced and experimentally validated. The dashed curves in Fig. 1 show the effect of applying the PC algorithm, which significantly reduces the EVM across all modulation orders, particularly at high modulation indices where the uncorrected system would otherwise suffer from cycle slip-induced degradation. Fig. 2 presents the power spectral density (PSD) of CE-OFDM",97,97,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > B. VLC CE-OFDM Receiver > III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"As illustrated in Fig.1, the EVM performance of CE-OFDM was assessed as a function of the modulation index for three modulation orders: 4QAM, 16QAM, and 64QAM. The results clearly show that CE-OFDM achieves superior performance compared to conventional OFDM, particularly at moderate modulation indices where the EVM reaches its minimum. This behavior is attributed to the constant-envelope nature of the CE-OFDM waveform, which makes it more robust against the nonlinear distortions introduced by the directly modulated LD.

Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and the EVM improves until a critical point beyond which phase ambiguities, known as cycle sl",INDIRECT,INDIRECT,"The quote discusses the trade-off between modulation index and system performance, which is related to the concept of coupling tradeoff, but does not directly mention it. The context provides additional information about the performance of CE-OFDM, but the quote itself only provides indirect support for the concept.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,2E,coupling_tradeoff,trade-off,lexical,"As the modulation index increases, the energy distribution across the spectrum becomes broader and more uniform. For low modulation indices (e.g., 2ℎ = 1), a significant portion of the signal power is concentrated around the carrier, resulting in a narrower bandwidth. This implies a less effective spreading of the OFDM subcarriers, which may degrade system performance in frequency-selective channels. Conversely, at higher modulation indices (e.g., 2ℎ = 4), the signal spectrum becomes broader and more evenly distributed around the carrier. This is a result of increased phase variation, which reduces the dominance of the carrier component and distributes power across more frequencies. However, this broader spectrum implies a trade-off, while the signal may become more robust to certain impairments (e.g., fading or nonlinearity), it does so at the cost of increased bandwidth, reducing spectral efficiency. The signal exhibits a flatter and more evenly distributed spectrum, indicating improved subcarrier orthogonality and better spectral shaping. The broader spectrum enhances robustness to system impairments and facilitates better separation of subcarriers at the receiver, collectively leading to improved system performance.",105,105,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > B. VLC CE-OFDM Receiver > III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"signals centered at 300 MHz, evaluated for different modulation indices. A consistent feature across all curves is the spectral line at the carrier frequency (300 MHz), which is a characteristic of CE-OFDM due to its constant-envelope phase modulation structure. This line corresponds to the residual carrier component and remains dominant regardless of the modulation index.

As the modulation index increases, the energy distribution across the spectrum becomes broader and more uniform. For low modulation indices (e.g., 2ℎ = 1), a significant portion of the signal power is concentrated around the carrier, resulting in a narrower bandwidth. This implies a less effective spreading of the OFDM subcarriers, which may degrade system performance in frequency-selective channels. Conversely, at higher modulation indices (e.g., 2ℎ = 4), the signal spectrum becomes broader and more evenly distribute",INDIRECT,INDIRECT,"The quote discusses the impact of modulation index on energy distribution and bandwidth, which is relevant to the concept of coupling tradeoff, but does not explicitly mention it.",llama-3.3-70b-versatile
O_ISAC_002,markdown,data/proc_markdowns/O_ISAC_002/O_ISAC_002/O_ISAC_002.md,data/proc_markdowns/O_ISAC_002/O_ISAC_002/O_ISAC_002.md,2E,coupling_tradeoff,trade-off,fuzzy:88.88888888888889,"- [12] Y. Xiong et al., ""On the fundamental tradeoff of integrated sensing and communications under Gaussian channels,"" IEEE Trans. Inf. Theory **69**, 5723-5751 (2023).",72,72,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **Acknowledgments** > **References**,"- [10] Z. Lyu et al., ""Preamble-free synchronization based on dual-chirp waveforms for photonic THz-ISAC,"" J. Lightw. Technol. **42**, 2657-2665 (2024).
- [11] Z. Lyu et al., ""Dual-chirp-based photonic THz-ISAC system with adaptive frequency synchronization,"" Opt. Lett. **49**, 4493-4496 (2024).
- [12] Y. Xiong et al., ""On the fundamental tradeoff of integrated sensing and communications under Gaussian channels,"" IEEE Trans. Inf. Theory **69**, 5723-5751 (2023).",INDIRECT,INDIRECT,"The quote mentions a tradeoff related to integrated sensing and communications, which is relevant to the concept of coupling tradeoff, but does not provide explicit support or direct evidence.",llama-3.3-70b-versatile
O_ISAC_002,markdown,data/proc_markdowns/O_ISAC_002/O_ISAC_002.md,data/proc_markdowns/O_ISAC_002/O_ISAC_002.md,2E,coupling_tradeoff,trade-off,fuzzy:88.88888888888889,"- [12] Y. Xiong et al., ""On the fundamental tradeoff of integrated sensing and communications under Gaussian channels,"" IEEE Trans. Inf. Theory **69**, 5723-5751 (2023).",64,64,**5. Conclusions** > **References**,"- [10] Z. Lyu et al., ""Preamble-free synchronization based on dual-chirp waveforms for photonic THz-ISAC,"" J. Lightw. Technol. **42**, 2657-2665 (2024).
- [11] Z. Lyu et al., ""Dual-chirp-based photonic THz-ISAC system with adaptive frequency synchronization,"" Opt. Lett. **49**, 4493-4496 (2024).
- [12] Y. Xiong et al., ""On the fundamental tradeoff of integrated sensing and communications under Gaussian channels,"" IEEE Trans. Inf. Theory **69**, 5723-5751 (2023).",INDIRECT,INDIRECT,"The quote mentions a tradeoff related to integrated sensing and communications, which is relevant to the concept of coupling tradeoff, but does not provide explicit support or direct evidence.",llama-3.3-70b-versatile
O_ISAC_009,markdown,data/proc_markdowns/O_ISAC_009/O_ISAC_009/O_ISAC_009.md,data/proc_markdowns/O_ISAC_009/O_ISAC_009/O_ISAC_009.md,2E,coupling_tradeoff,trade-off,fuzzy:88.88888888888889,"Sec. II. This trend is evidenced by Fig. 4, where the total power of CIRs  $\sum_{l=0}^{L} (h_l)^2$  decreases as the bandwidth increases. Therefore, the reduction in the total power of CIRs may lead to a degraded BER performance, which will be discussed in Sec. VI. Nonetheless, (28)-(31) demonstrate that the data rates will always increase with the bandwidth. This unique tradeoff observed for DCO-OFDM has not been exploited before, which is summarized as follows:",526,526,"B. Conventional Channel Estimation Methods > <span id=""page-8-1""></span>C. Data Detection > <span id=""page-8-2""></span>D. Maximum Achievable Rates","(f) Pair C, M = 4096

Sec. II. This trend is evidenced by Fig. 4, where the total power of CIRs  $\sum_{l=0}^{L} (h_l)^2$  decreases as the bandwidth increases. Therefore, the reduction in the total power of CIRs may lead to a degraded BER performance, which will be discussed in Sec. VI. Nonetheless, (28)-(31) demonstrate that the data rates will always increase with the bandwidth. This unique tradeoff observed for DCO-OFDM has not been exploited before, which is summarized as follows:

<span id=""page-9-5""></span>Property 4 (Effect of Bandwidth on the Total Power of CIRs): Upon increasing the system bandwidth, the total power of CIRs reduces, which may lead to degraded BER performance. Nonetheless, the motivation of increasing the system bandwidth for communication functionality is justified by the achievable communication data rate, which increases linearly with the bandwidth.",INDIRECT,INDIRECT,"The quote discusses the tradeoff between bandwidth and total power of CIRs, which may lead to degraded BER performance, but does not directly address the fundamentals of Section II.",llama-3.3-70b-versatile
O_ISAC_009,markdown,data/proc_markdowns/O_ISAC_009/O_ISAC_009/O_ISAC_009.md,data/proc_markdowns/O_ISAC_009/O_ISAC_009/O_ISAC_009.md,2E,coupling_tradeoff,trade-off,fuzzy:88.88888888888889,"- <span id=""page-16-26""></span>[\[73\]](#page-8-9) C. Xu, S. Sugiura, S. X. Ng, P. Zhang, L. Wang, and L. Hanzo, ""Two decades of MIMO design tradeoffs and reduced-complexity MIMO detection in near-capacity systems,"" *IEEE Access*, vol. 5, pp. 18564–18632, 2017.",759,759,"<span id=""page-14-3""></span>G. Overall Communication Functionality > VII. CONCLUSION AND FUTURE OPPORTUNITIES > REFERENCES","- <span id=""page-16-24""></span>[\[71\]](#page-7-11) C. Xu et al., ""Reconfigurable intelligent surface assisted multi-carrier wireless systems for doubly selective high-mobility Ricean channels,"" *IEEE Trans. Veh. Technol.*, vol. 71, no. 4, pp. 4023–4041, Apr. 2022.
- <span id=""page-16-25""></span>[\[72\]](#page-8-8) L. Hanzo, O. Alamri, M. El-Hajjar, and N. Wu, *Near-Capacity Multi-Functional MIMO Systems: Sphere-Packing, Iterative Detection and Cooperation*. Hoboken, NJ, USA: Wiley, May 2009.
- <span id=""page-16-26""></span>[\[73\]](#page-8-9) C. Xu, S. Sugiura, S. X. Ng, P. Zhang, L. Wang, and L. Hanzo, ""Two decades of MIMO design tradeoffs and reduced-complexity MIMO detection in near-capacity systems,"" *IEEE Access*, vol. 5, pp. 18564–18632, 2017.
- <span id=""page-16-27""></span>[\[74\]](#page-8-10) C. Xu et al., ""Sixty years of coherent versus non-coherent tradeoffs and the road from 5",INDIRECT,INDIRECT,"The quote discusses MIMO design tradeoffs, which is related to the concept of coupling tradeoff, but does not provide explicit support for the concept.",llama-3.3-70b-versatile
