paper_id,section,category,severity,reason,evidence
O_ISAC_009,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_009,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_009,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_014,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_014,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_014,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_024,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_024,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_024,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_026,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_026,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_026,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_028,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_028,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_028,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_040,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_040,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_040,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_045,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_045,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_045,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_046,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_046,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_046,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_049,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_049,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_049,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_050,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_050,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_050,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_053,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_053,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_053,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_057,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_057,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_057,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_060,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_060,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_060,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_062,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_062,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_062,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_071,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_071,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_071,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_075,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_075,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_075,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_078,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_078,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_078,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_079,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_079,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_079,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_084,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_084,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_084,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_090,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
O_ISAC_090,6B,ENABLER_METRIC,MAJOR,OPA steering range must be positive,opa_steering_range_deg=0.0
O_ISAC_090,6B,ENABLER_METRIC,MAJOR,OPA beamwidth must be positive,opa_beamwidth_deg=0.0
O_ISAC_099,6B,ENABLER_METRIC,MAJOR,OPA emitters must be positive,opa_num_emitters=0.0
