paper_id,year,modality,scenario,metric_name,metric_value,metric_unit,definition_class,evidence_type,heading_path,line_start,line_end,excerpt_paraphrase,excerpt_quote,notes
O_ISAC_001,2025,VLC,Indoor,B,250000000.0,Hz,OTHER,figure,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > B. VLC CE-OFDM Receiver > III. VLC CE-OFDM PERFORMANCE ASSESSMENT,89,89,Bandwidth is reported.,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment,",
O_ISAC_002,2025,Hybrid,Indoor,R,100000000000.0,bps,OTHER,text,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction**,11,11,Data rate/throughput is reported.,"The growing complexity of the electromagnetic environment has heightened the need for reliable connectivity in wireless networks, leading to increased interest in integrated sensing and",
O_ISAC_002,2025,Hybrid,Indoor,R,6000000000.0,bps,OTHER,text,**2. Photonic THz ISAC Waveform Design**,19,19,Data rate/throughput is reported.,"We have proposed a radar-centric waveform that combines linear frequency modulation (LFM) with phase shift keying (PSK) [8], i.e. LFM-PSK waveform. Through theoretical analysis, we",
O_ISAC_002,2025,Hybrid,Indoor,CRB,8,m,OTHER,text,**2. Photonic THz ISAC Waveform Design**,19,19,CRB/FIM is referenced.,"We have proposed a radar-centric waveform that combines linear frequency modulation (LFM) with phase shift keying (PSK) [8], i.e. LFM-PSK waveform. Through theoretical analysis, we",
O_ISAC_002,2025,Hybrid,Indoor,R,120000000000.0,bps,OTHER,figure,**2. Photonic THz ISAC Waveform Design** > 3. Photonic THz Coherent Fusion ISAC System,27,27,Data rate/throughput is reported.,"Photonic terahertz ISAC systems use integrated waveforms to enhance resource efficiency and overall performance, surpassing that of conventional waveforms. Despite these advancements, current ISAC demonstrations",
O_ISAC_002,2025,Hybrid,Indoor,R,20000000000.0,bps,OTHER,figure,**2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,35,35,Data rate/throughput is reported.,"Recent photonic THz-ISAC prototypes have achieved timing resolution at the nanosecond level and positioning resolution on a millimeter scale, highlighting their potential to enhance communication",
O_ISAC_003,2025,VLC,Outdoor,B,6000000000.0,Hz,OTHER,text,I. INTRODUCTION,11,11,Bandwidth is reported.,"Rapid development of intelligent transportation systems (ITS) has led to advancements in vehicle-to-vehicle (V2V) communication technology, which is crucial for improving road safety and traffic",
O_ISAC_004,2025,Hybrid,Unknown,R,128000000000.0,bps,OTHER,text,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,7,7,Data rate/throughput is reported.,"*Abstract*—**We demonstrated an adiabatic-tapered fewmode-fiber-based system for integrating sensing and telecommunication, where the system shows a salinity sensitivity of 0.1 nm/**‰ **and transmission rate of",
O_ISAC_004,2025,Hybrid,Unknown,R,128000000000.0,bps,OTHER,figure,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > III. RESULTS AND DISCUSSIONS,59,59,Data rate/throughput is reported.,"In the meanwhile, the device also serves the function of telecommunications. The QPSK, 16QAM, 32QAM, and 64QAM modulation formats are applied for the testing of",
O_ISAC_004,2025,Hybrid,Unknown,B,3000.0,Hz,OTHER,figure,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > III. RESULTS AND DISCUSSIONS,59,59,Bandwidth is reported.,"In the meanwhile, the device also serves the function of telecommunications. The QPSK, 16QAM, 32QAM, and 64QAM modulation formats are applied for the testing of",
O_ISAC_005,2024,Hybrid,Outdoor,B,1000000000.0,Hz,OTHER,text,III. PROBLEM FORMULATION AND RESOURCE ALLOCATION > B. Resource Optimization using Reinforcement Learning,152,152,Bandwidth is reported.,| Bandwidth | $\Omega_o$ | 1 GHz |,
O_ISAC_005,2024,Hybrid,Outdoor,B,250000000.0,Hz,OTHER,text,III. PROBLEM FORMULATION AND RESOURCE ALLOCATION > B. Resource Optimization using Reinforcement Learning,156,156,Bandwidth is reported.,| Bandwidth | $\Omega_{ m m}$ | 50-250 MHz |,
O_ISAC_006,2024,Fiber,Indoor,B,600.0,Hz,OTHER,text,*A. Solution based on multiplexing technology*,77,77,Bandwidth is reported.,The ISAC-OF solution based on backscattered light was initially implemented in WDM and Space Division Multiplexing (SDM) systems. Experiments reported in [23-24] utilized optical fiber,
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology*,79,95,Fiber spatial granularity/gauge length is reported.,"demonstrated an SDM-based ISAC-OF scheme, deploying a seven-core optical fiber in field trials[27] . The schematic of the experimental setup is shown in figure 5.",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology*,80,96,Fiber spatial granularity/gauge length is reported.,"![](_page_2_Figure_8.jpeg) Fig.5 Schematic diagram of experimental structure in scheme [27]. ## *B. Solution using the same wavelength* In ISAC-OF schemes based on WDM and SDM,",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology*,81,97,Fiber spatial granularity/gauge length is reported.,"![](_page_2_Figure_8.jpeg) Fig.5 Schematic diagram of experimental structure in scheme [27]. ## *B. Solution using the same wavelength* In ISAC-OF schemes based on WDM and SDM,",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology*,82,98,Fiber spatial granularity/gauge length is reported.,"Fig.5 Schematic diagram of experimental structure in scheme [27]. ## *B. Solution using the same wavelength* In ISAC-OF schemes based on WDM and SDM, dedicating",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology*,83,99,Fiber spatial granularity/gauge length is reported.,"Fig.5 Schematic diagram of experimental structure in scheme [27]. ## *B. Solution using the same wavelength* In ISAC-OF schemes based on WDM and SDM, dedicating",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology*,84,100,Fiber spatial granularity/gauge length is reported.,"## *B. Solution using the same wavelength* In ISAC-OF schemes based on WDM and SDM, dedicating spectrum or fiber resources exclusively to sensing can lead",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,85,101,Fiber spatial granularity/gauge length is reported.,"## *B. Solution using the same wavelength* In ISAC-OF schemes based on WDM and SDM, dedicating spectrum or fiber resources exclusively to sensing can lead",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,86,102,Fiber spatial granularity/gauge length is reported.,"In ISAC-OF schemes based on WDM and SDM, dedicating spectrum or fiber resources exclusively to sensing can lead to inefficient resource utilization. To enhance the",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,87,103,Fiber spatial granularity/gauge length is reported.,"In ISAC-OF schemes based on WDM and SDM, dedicating spectrum or fiber resources exclusively to sensing can lead to inefficient resource utilization. To enhance the",
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,88,104,Fiber spatial granularity/gauge length is reported.,![](_page_2_Figure_12.jpeg) Fig.6 Schematic diagram of experimental structure in scheme [28]. # *C. Solution Utilizing the Structure of Communication Data Frames* Reference [29] proposed a straightforward,
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,89,105,Fiber spatial granularity/gauge length is reported.,![](_page_2_Figure_12.jpeg) Fig.6 Schematic diagram of experimental structure in scheme [28]. # *C. Solution Utilizing the Structure of Communication Data Frames* Reference [29] proposed a straightforward,
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,90,106,Fiber spatial granularity/gauge length is reported.,Fig.6 Schematic diagram of experimental structure in scheme [28]. # *C. Solution Utilizing the Structure of Communication Data Frames* Reference [29] proposed a straightforward ISAC,
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,91,107,Fiber spatial granularity/gauge length is reported.,Fig.6 Schematic diagram of experimental structure in scheme [28]. # *C. Solution Utilizing the Structure of Communication Data Frames* Reference [29] proposed a straightforward ISAC,
O_ISAC_006,2024,Fiber,Indoor,Δz,0.5,m,DZ,text,*A. Solution based on multiplexing technology* > *B. Solution using the same wavelength*,92,108,Fiber spatial granularity/gauge length is reported.,# *C. Solution Utilizing the Structure of Communication Data Frames* Reference [29] proposed a straightforward ISAC solution that does not require additional dedicated wavelength channels,
