paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,llm_label_pass1,llm_escalated
O_ISAC_001,5A,trade-off,trade-off,lexical,DIRECT,Explicit mention of trade-off between sensing and comms,The trade-off between sensing and communication performance is analyzed,45,45,Introduction,,,"DIRECT",False
O_ISAC_002,5C,rate-resolution trade-off,,sematic,DIRECT,Extracted quantitative point,Rate: 120 Gbps; Resolution: 2.5 mm,,,Results,,,"DIRECT",False
O_ISAC_003,5C,sensing-metric,,semantic,DIRECT,Extracted metric,Resolution: 10 cm; Range: 50 m,,,Performance,,,"DIRECT",False
O_ISAC_004,5C,rate-capacity,,semantic,INDIRECT,High rate fiber sensing,,Rate: 128 Gbps; Sensing: Salinity,,,Abstract,,,"INDIRECT",True
O_ISAC_005,5A,multi-objective,,lexical,DIRECT,Optimization of UAV trajectory,,Joint optimization of UAV trajectory and power allocation,120,120,System Model,,,"DIRECT",False
O_ISAC_006,5C,rate-resolution trade-off,,semantic,DIRECT,Surveyed high performance point (Ref 29),Rate: ~240 Gbps (60 GBaud 16QAM); Resolution: 0.5 m,95,95,Solution Utilizing Structure...,,,"DIRECT",False
O_ISAC_006,5C,rate-resolution trade-off,,semantic,DIRECT,Surveyed high performance point (Ref 30),Rate: 200 Gbps; Resolution: 4 m,103,103,Solution based on DSCM,,,"DIRECT",False
O_ISAC_006,5A,resource-efficiency,resource utilization,lexical,DIRECT,Discussion on resource trade-off,dedicating spectrum... can lead to inefficient resource utilization,87,87,Solution using same wavelength,,,"DIRECT",False
O_ISAC_008,5C,rate-steering trade-off,,semantic,DIRECT,Lidar-Comm integrated point,Rate: 4 Gbps; Steering: 60x32 deg; Res: 0.64x0.33 deg,9,9,Abstract,,,"DIRECT",False
O_ISAC_008,5A,waveform-tradeoff,,lexical,DIRECT,Challenge of joint waveform,challenging to design... without sacrificing any performance,15,15,Introduction,,,"DIRECT",False
O_ISAC_009,5A,bandwidth-tradeoff,,lexical,DIRECT,Explicit trade-off property,unique tradeoff observed for DCO-OFDM has not been exploited before,496,496,Maximum Achievable Rates,,,"DIRECT",False
O_ISAC_009,5C,rate-precision trade-off,,semantic,DIRECT,Performance point (Fig 19),Rate: ~1 Gbps; Accuracy: Centimeter-level,630,630,Overall Communication Functionality,,,"DIRECT",False
O_ISAC_010,5C,rate-power trade-off,,semantic,DIRECT,PoF and Comm point,Rate: 140 Gbps; Power: 60 W (PoF only, no sensing),69,69,Abstract,,,"DIRECT",False
