claim_id,claim_short,paper_id,year,title,modality,evidence_type,where_in_paper,supporting_excerpt,why_it_supports,metric_terms,terminology_terms,cross_domain_note,confidence,source_path,source_locator
C1,Terminology Inconsistency,O_ISAC_022,20XX,Joint Visible Light Sensing and Communication Using *m*-CAP Modulation,VLC,Other,I. INTRODUCTION,"...to provide not only visible light-based OWC – usually called visible light communication (VLC) –, but also visible light positioning (VLP). Both topics have thus received a lot of attention...",Explicit/Distinct usage of 'VLC',,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md,Section: I. INTRODUCTION
C1,Terminology Inconsistency,O_ISAC_062,2023,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,VLC,Other,I. INTRODUCTION,"...widespread use of light-emitting-diodes (LEDs) for illumination, visible light communication (VLC, also known as LiFi) is considered to be an important technique of 6G wireless communications, due to its potentials...",Explicit/Distinct usage of 'VLC',,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,Section: I. INTRODUCTION
C1,Terminology Inconsistency,O_ISAC_068,20XX,Joint Communication and Sensing Prospects: Potential Through Visible Light,VLC,Other,*C. VL Comparison to RF Approaches*,"...Susceptible to<br>electromagnetic<br>interference from<br>other wireless devices<br>operating in the same<br>frequency band | Less susceptible to<br>interference as VLC<br>can be confined to<br>defined areas and<br>controlled by the<br>optic design | | Deployment<br>Flexibility | Flexible deployment<br>options, suitable...",Explicit/Distinct usage of 'VLC',,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md,Section: *C. VL Comparison to RF Approaches*
C1,Terminology Inconsistency,O_ISAC_070,2022,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,Photo-THz,Other,A. Experimental Architecture of Photonic THz-ISAC Systems,"...receiving antenna, and then electrically down-converted to the intermediate frequency (IF) band. Following amplification by the low noise amplifier (LNA), the IF signals are sampled and digitized using a real-time...",Explicit/Distinct usage of 'lifi',,lifi,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_070\O_ISAC_070.md,Section: A. Experimental Architecture of Photonic THz-ISAC Systems
C1,Terminology Inconsistency,O_ISAC_084,20XX,LumiPane: Intelligent Interaction through Gesture Sensing and Ambient Light Communication,VLC,Other,REFERENCES,"...87, p. 103 281, 2020. - [19] Q. Wang, D. Giustiniano, and D. Puccinelli, ""Openvlc: Software-defined visible light embedded networks,"" in *Proceedings of the 1st ACM MobiCom workshop on Visible...",Explicit/Distinct usage of 'vlc',,vlc,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_084\O_ISAC_084.md,Section: REFERENCES
C1,Terminology Inconsistency,O_ISAC_166,20XX,An integrated sensing and communication solar skin for health monitoring and human–machine interaction,VLC,Other,**References**,"...[56] G. Coley, Beaglebone black system reference manual, Texas Instruments, Dallas 5 (2013). - [57] Q. Wang, D. Giustiniano, D. Puccinelli, Openvlc: software-defined visible light embedded networks, MobiCom (2014) 15–20,...",Explicit/Distinct usage of 'vlc',,vlc,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_166\O_ISAC_166.md,Section: **References**
C1,Terminology Inconsistency,O_ISAC_167,20XX,Optics and Lasers in Engineering,Fiber,Other,**1. Introduction**,"...performs differently under varying transmission speeds [[6](#page-9-0)]. In IIoT domain, wireless communication security has established robust solutions, exemplified by a low-power, multi-carrier waveformdefined security framework to address emerging artificial-intelligence (AI)-powered...",Explicit/Distinct usage of 'lifi',,lifi,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_167\O_ISAC_167.md,Section: **1. Introduction**
C1,Terminology Inconsistency,O_ISAC_186,2025,SCIENCE CHINA Information Sciences,Fiber,Other,2.1 Chaotic signal generation based OEO,"...delay of the system loop, and the delay is also called the TDS. After passing through the amplifier (AMP), a segment of the electrical signal is connected to the MZM...",Explicit/Distinct usage of 'lifi',,lifi,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_186\O_ISAC_186.md,Section: 2.1 Chaotic signal generation based OEO
C1,Terminology Inconsistency,O_ISAC_303,20XX,Contents lists available at ScienceDirect,VLC,Other,**References**,"...ttp://refhub.elsevier.com/S1051-2004(23)00435-9/sbref0035) [Conference, 2010, pp. 1](http://refhub.elsevier.com/S1051-2004(23)00435-9/sbref0035)–3. - [36] [Q. Wang, D. Giustiniano, D. Puccinelli, OpenVLC: software-defined visible light](http://refhub.elsevier.com/S1051-2004(23)00435-9/sbref0036) [embedded networks, in: Proceedings of the 1st ACM MobiCom Workshop on](http://refhub.elsevier.com/S10...",Explicit/Distinct usage of 'VLC',,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_303\O_ISAC_303.md,Section: **References**
C1,Terminology Inconsistency,O_ISAC_388,20XX,VLC-CDMA Systems Based on Optical Complementary Codes,VLC,Other,Introduction,"...the sequel. In this work, we introduce unipolar complementary codes, namely optical complementary codes (OCCs), for VLC-CDMA applications, which is called a VLC-OCC-CDMA system. *Yang Qiu, Jinqiang Li, and Weixiao...",Explicit/Distinct usage of 'VLC',,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_388\O_ISAC_388.md,Section: Introduction
