claim_id,claim_short,paper_id,year,title,modality,evidence_type,where_in_paper,supporting_excerpt,why_it_supports,metric_terms,terminology_terms,cross_domain_note,confidence,source_path,source_locator
C1,Terminology usage,O_ISAC_001,20XX,,VLC,Text,Body,"...rs, vol. 34, no. 14, pp. 757-760, 15 July15, 2022, doi: 10.1109/LPT.2022.3186734. - [10] S. Chen, C. Chen, Z. Zeng, Y. Yang and H. Haas, ""Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design,"" in IEEE Photonics Technology Letters, vol. 37, no. 15, pp. 869-872, 1 Aug.1, 2025,...",Uses term 'RO-ISAC'.,,RO-ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md,char_offset_19511
C1,Terminology usage,O_ISAC_003,20XX,,VLC,Text,Body,"...ologies such as sub-6 GHz [2], ultra-wideband (UWB), millimeter wave, terahertz (THz), infrared (IR), and visible light, visible light communication (VLC) is particularly promising, as it uses LED lights for high-speed data transmission and precise detection. VLC offers high bandwidth, low latency, and...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_003\O_ISAC_003.md,char_offset_3117
C1,Terminology usage,O_ISAC_005,20XX,,FSO,Text,Body,"...red light, potentially enabling the real-time sensing of the atmospheric channel gain at the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO communication signal is used as the sensing feedback signal. This O-ISAC framework is...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md,char_offset_1079
C1,Terminology usage,O_ISAC_006,20XX,,Fiber,Text,Body,"...ention, as it provides additional value to extensive fiber-optic networks<sup>[4-5]</sup>. The integrated sensing and communication in optical fiber (ISAC-OF) does not require the installation of additional sensors. It has the ability to sense the surrounding environment and facilitate communication simult...",Uses term 'ISAC-OF'.,,ISAC-OF,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md,char_offset_1885
C1,Terminology usage,O_ISAC_008,20XX,,VLC,Text,Body,"...OECC/PSC 2025 OECC/PSC 2025 **ThE1-7** # **Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna** **Yang Chen1 , Xianqiao Liao1 , Jian Xiao1 , Xiaochuan Wang1 , Mengyuan Ye3 , Yu Yu1,2, Chao Wang1,...",Uses term 'Lidar'.,,Lidar,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_008\O_ISAC_008.md,char_offset_105
C1,Terminology usage,O_ISAC_009,20XX,,VLC,Text,Body,"...– are capable of achieving centimeter-level positioning accuracy and Giga-bits-persecond (Gbps) data rate, thanks to the application of OFDM radar to optical ISAC. Nonetheless, we must report that compared to singlecarrier LoS-based VLP [\[29\],](#page-15-27) [\[30\],](#page-15-28) [\[31\],](#page-15-29) [\[32...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md,char_offset_19420
C1,Terminology usage,O_ISAC_011,20XX,,VLC,Text,Body,...# Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments Haochuan Wang *School of Microelectronics and Communication Engineering Chongqing University* Chon...,Uses term 'Optical ISAC'.,,Optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_011\O_ISAC_011.md,char_offset_18
C1,Terminology usage,O_ISAC_012,20XX,,FSO,Text,Body,"...omes, remote sensing and environmental monitoring [2]. Currently, there has been extensive research on RF-based ISAC, but relatively less research on optical ISAC. Optical wireless communication (OWC) has many advantages such as large capacity, high security, and license-free spectrum. Compared to traditional ...",Uses term 'optical ISAC'.,,optical ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_012\O_ISAC_012.md,char_offset_2122
C1,Terminology usage,O_ISAC_013,20XX,,Fiber,Text,Body,"... *Abstract***—Distributed optical fiber vibration sensor (DOFVS) is an ideal technology for integrated sensing and communication in an optical fiber (ISAC-OF), which can be widely applied to urban structure health monitoring, ocean seismic detection, and pipelines/cable/border safety monitoring. In this ar...",Uses term 'ISAC-OF'.,,ISAC-OF,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md,char_offset_401
C1,Terminology usage,O_ISAC_015,20XX,,VLC,Text,Body,"...d Sensing Networks Zohaib Saghir<sup>®</sup> and Sylvester Aboagye<sup>®</sup>, Member, IEEE Abstract—The emergence of visible light communication (VLC) provides a promising low-cost, radiation-free, and energyefficient solution to the limited spectrum of wireless networks. However, the design issues...",Uses term 'VLC'.,,VLC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md,char_offset_220
C1,Terminology usage,O_ISAC_018,20XX,,Fiber,Text,Body,"...sed ISAC an optimal solution for intelligent and adaptive front-haul networks. Recent studies have demonstrated the potential of ISAC in RoF systems. Distributed acoustic sensing (DAS) utilizes Rayleigh backscattering to detect subtle changes in the fiber link, enabling real-time monitoring of external disturbances [14], [15],...",Uses term 'Distributed acoustic sensing'.,,Distributed acoustic sensing,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_018\O_ISAC_018.md,char_offset_4501
C1,Terminology usage,O_ISAC_020,20XX,,Fiber,Text,Body,"...ve Commons ShareAlike.] the in-land control offices for further real-time processing and analysis. In this article, we propose the idea of photonic photonic ISAC and summarize the work on the photonic ISAC system for monitoring different coastal events based on submarine fiber optic cables. In this photonic IS...",Uses term 'photonic ISAC'.,,photonic ISAC,,0.9,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_020\O_ISAC_020.md,char_offset_5829
