paper_id,section,macro_domain,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,application_domains_json,application_domains_canonical,macro_domains_json,scenario_description,scenario_labels,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,7C,automotive_transportation,car,lexical,NONE,"The text discusses VLC systems, OFDM-based modulation schemes, and techniques to address high peak-to-average power ratio (PAPR), with no mention of automotive transportation.","The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7C,automotive_transportation,car,lexical,NONE,"The text provides a mathematical equation for a signal, with no mention of automotive transportation.","where A is the signal amplitude,  $f_c$  is the carrier frequency and  $\phi(t)$  is the phase signal which is given by:",53,53,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > II. VLC SYSTEM EMPLOYING CE-OFDM > A. VLC CE-OFDM Transmitter,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7C,automotive_transportation,car,lexical,NONE,"The text explains the digital signal processing generation of a CE-OFDM signal, with no mention of automotive transportation.","The digital signal processing (DSP) generation of a CE-OFDM signal begins with the modulation of input data symbols using a standard digital modulation scheme, such as QPSK or QAM. These complex-valued symbols are assigned to a set of N subcarriers in the frequency domain. To ensure that the resulting time-domain signal is real-valued after inverse transformation, a Hermitian symmetry is imposed on the subcarrier vector, X.",63,63,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > II. VLC SYSTEM EMPLOYING CE-OFDM > A. VLC CE-OFDM Transmitter,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7C,automotive_transportation,car,lexical,NONE,"The text describes the addition of a cyclic prefix, filtering, and phase modulation, with no mention of automotive transportation.","factor,  $N_{up}$  and roll-off factor  $\beta$  is applied. The amplitude of the filtered signal  $x_m$  is normalized,  $|x_m| \le 1$ , and performs phase modulation on the carrier of frequency  $f_c$ , the resulting discrete CE-OFDM bandpass signal is expressed as;",74,74,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > II. VLC SYSTEM EMPLOYING CE-OFDM > A. VLC CE-OFDM Transmitter,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7C,automotive_transportation,car,lexical,NONE,"The snippet discusses signal processing and receiver DSP chain, which is unrelated to automotive transportation.","The first step in the receiver DSP chain is carrier frequency down-conversion, where the received bandpass signal is mixed with a locally generated sinusoidal oscillator at frequency  $f_c$ . This operation shifts the signal to baseband and it can be expressed as:",88,88,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > B. VLC CE-OFDM Receiver,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7C,automotive_transportation,car,lexical,NONE,"The snippet presents an experimental performance evaluation of a VLC CE-OFDM system, which is unrelated to automotive transportation.","Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal was digitized at 25 GSa/s and processed by a custom DSP chain implementing decimation, synchronization, digital filtering, phase demodulation and correction. The peak-to-peak amplitude of both the OFDM and CE-OFDM signals was kept at 1.8 V at the AWG. Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.",96,96,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,7C,automotive_transportation,car,lexical,NONE,"The snippet discusses photonic THz-ISAC waveform design, focusing on technical aspects of communication and sensing systems, with no direct or indirect mention of automotive transportation.","The photonic THz-ISAC system needs to effectively balance target sensing and information transmission, each imposing distinct requirements on waveform modulation, transmission power, and bandwidth. Consequently, waveform design must integrate these considerations. Communication waveforms can be classified into singlecarrier and multi-carrier types. Multi-carrier waveforms, such as orthogonal frequency division multiplexing (OFDM), are prevalent in current wireless communication and sensing systems due to their design flexibility and ability to suppress frequency-selective fading [7]. In high-frequency millimeter-wave and terahertz systems, however, single-carrier waveforms emerge as more promising options [8]. The high directivity of terahertz antennas limits multipath effects, increasing coherent bandwidth and reducing frequency selectivity. Additionally, singlecarrier waveforms offer a lower peak-to-average power ratio compared to their multi-carrier counterparts, which mitigates power backoff effects in amplifiers. This is vital for improving average transmission power and overall efficiency in power-constrained photonic terahertz systems.",21,21,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design**,,,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,7C,automotive_transportation,vehicle,lexical,DIRECT,The snippet directly mentions 'vehicle-to-vehicle (V2V) scenario' and 'automotive transportation' related concepts.,"*Abstract*—In this paper, we investigate the visible light-based integrated sensing and communication (ISAC) channel characteristics in a vehicle-to-vehicle (V2V) scenario, focusing on monostatic sensing and bi-static sensing modes. The ISAC channel is divided into a target channel and a background channel. The channel impulse response (CIR) at different distances, as well as the fading characteristics, multipath correlation, and delay spread of the channel within the effective sensing distance in the two sensing modes are investigated by ray tracing simulation. The results show that with the increase of distance, the target channel received power ratio of mono-static sensing decreases by 30%, while the received power ratio of bi-static sensing is stable at about 1.06%, the target channel fading of monostatic sensing is faster than that of bi-static sensing. In addition, the linear fit coefficient of the root mean square (RMS) delay spread (DS) values for mono-static sensing is positive with a mean value of 2.95 which is greater than the mean value of 0.32 for the RMS DS values for bi-static sensing, while the linear fit coefficient of the RMS DS values for bi-static sensing is negative. Overall, the bi-static sensing system outperforms at longer distances, has a more stable target signal received power ratio, better handling target signals and background noise, reducing signal RMS DS, and improving transmission quality and anti-interference capabilities, indicating the advantages of bi-static sensing in V2V scenarios using visible light-based ISAC.",9,9,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,,,wireless_vlc,vehicular;indoor_positioning,vehicular;indoor_positioning,automotive_transportation;indoor_environments,V2V scenario with mono-static sensing and bi-static sensing,Mono-static sensing;Bi-static sensing,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_003,7C,automotive_transportation,vehicular,lexical,DIRECT,"The snippet directly mentions 'intelligent transportation systems (ITS)', 'vehicle-to-vehicle (V2V) communication technology', and 'road safety and traffic efficiency', which are related to automotive transportation.","Rapid development of intelligent transportation systems (ITS) has led to advancements in vehicle-to-vehicle (V2V) communication technology, which is crucial for improving road safety and traffic efficiency. V2V communication enables vehicles to exchange real-time information about their status and surroundings for better decision-making on the road. Integrated Sensing and Communication (ISAC) technology is considered as a potential technology of the sixth generation (6G) [1]. The application of ISAC technology in V2V systems improves the intelligence of vehicular networks, allowing them not only to communicate but also to collect and analyze data about their environment. In various communication technologies such as sub-6 GHz [2], ultra-wideband (UWB), millimeter wave, terahertz (THz), infrared (IR), and visible light, visible light communication (VLC) is particularly promising, as it uses LED lights for high-speed data transmission and precise detection. VLC offers high bandwidth, low latency, and strong resistance to electromagnetic interference, making it ideal for vehicle environments [3]. In addition, its easy deployment is facilitated by the widespread availability of visible-light illumination. Thus, the visible light spectrum is a valuable resource for ISAC system applications [4].",15,15,I. INTRODUCTION,,,wireless_vlc,vehicular;indoor_positioning,vehicular;indoor_positioning,automotive_transportation;indoor_environments,V2V scenario with mono-static sensing and bi-static sensing,Mono-static sensing;Bi-static sensing,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_003,7C,automotive_transportation,car,lexical,INDIRECT,"The concept of automotive transportation is related to the mention of V2V (Vehicle-to-Vehicle) scenarios, which implies a connection to automotive transportation, but it is not the primary focus of the text.","In this work, we aim to explore the VL-based ISAC channel characteristics under mono-static sensing and bi-static sensing modes by analyzing the signals from unilateral car taillights in a V2V scenario. First, we divide the ISAC channel into",19,19,I. INTRODUCTION,,,wireless_vlc,vehicular;indoor_positioning,vehicular;indoor_positioning,automotive_transportation;indoor_environments,V2V scenario with mono-static sensing and bi-static sensing,Mono-static sensing;Bi-static sensing,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
