source,query_id,execution_date,query_accepted,filters_used,on_screen_record_count,exported_row_count,export_filename,export_format,notes
Scopus,SCO-FINAL-S1A,2026-06-22,yes,2020-2026; English intended/applied in interface; Article/Conference Paper/Review intended,TBD_or_user_reported,41,SCO-FINAL-S1A_export_2026-06-22.csv,CSV,Exact O-ISAC Scopus final query; export readable.
Scopus,SCO-FINAL-S1B,2026-06-22,yes,2020-2026; English intended/applied in interface; Article/Conference Paper/Review intended,TBD_or_user_reported,1128,SCO-FINAL-S1B_export_2026-06-22.csv,CSV,High-recall broad core query; expect title/abstract screening noise.
Scopus,SCO-FINAL-S1F,2026-06-22,yes,2020-2026; English intended/applied in interface; Article/Conference Paper/Review intended,TBD_or_user_reported,104,SCO-FINAL-S1F_export_2026-06-22.csv,CSV,Photonic-THz/mmWave Scopus final query; export readable.
IEEE Xplore,IEEE-FINAL-S1A,2026-06-22,yes,2020-2026; Journals + Conferences; English if available,TBD_or_user_reported,31,IEEE-FINAL-S1A_export_2026-06-22.csv,CSV,Exact O-ISAC / optical ISAC IEEE final query; export readable.
IEEE Xplore,IEEE-FINAL-S1B,2026-06-22,yes,2020-2026; Journals + Conferences; English if available,TBD_or_user_reported,252,IEEE-FINAL-S1B_export_2026-06-22.csv,CSV,Controlled generic optical ISAC IEEE final query; broad/high-recall; screening noise expected.
IEEE Xplore,IEEE-FINAL-S1F,2026-06-22,yes,2020-2026; Journals + Conferences; English if available,TBD_or_user_reported,46,IEEE-FINAL-S1F_export_2026-06-22.csv,CSV,Photonic-THz/mmWave IEEE final query; export readable.
ScienceDirect,SD-FINAL-P1,2026-06-22,yes,2020-2026; Research/Review articles; English if available; Title/abstract/keywords if available,TBD_or_user_reported,9,SD-FINAL-P1_export_2026-06-22.txt,TXT,Exact O-ISAC ScienceDirect final query; generic filename mapped by audit.
ScienceDirect,SD-FINAL-P2D,2026-06-22,yes,2020-2026; Research/Review articles; English if available,TBD_or_user_reported,5,SD-FINAL-P2D_export_2026-06-22.txt,TXT,Photonic/THz inferred mapping; generic filename mapped by audit.
ScienceDirect,SD-FINAL-P2E,2026-06-22,yes,2020-2026; Research/Review articles; English if available,TBD_or_user_reported,10,SD-FINAL-P2E_export_2026-06-22.txt,TXT,Photonic-assisted/microwave photonic inferred mapping; generic filename mapped by audit.
SpringerLink,SPR-FINAL-P1B,2026-06-22,yes,2020-2026; Articles/Conference Papers/Reviews if available,TBD_or_user_reported,4,SPR-FINAL-P1B_export_2026-06-22.csv,CSV,Exact variant query; noisy.
SpringerLink,SPR-FINAL-P2C,2026-06-22,yes,2020-2026; Articles/Conference Papers/Reviews if available,TBD_or_user_reported,58,SPR-FINAL-P2C_export_2026-06-22.csv,CSV,Optical fiber focused final supplementary query.
SpringerLink,SPR-FINAL-P2D,2026-06-22,yes,2020-2026; Articles/Conference Papers/Reviews if available,TBD_or_user_reported,1,SPR-FINAL-P2D_export_2026-06-22.csv,CSV,Photonic THz focused final supplementary query.
SpringerLink,SPR-FINAL-P2E,2026-06-22,yes,2020-2026; Articles/Conference Papers/Reviews if available,TBD_or_user_reported,12,SPR-FINAL-P2E_export_2026-06-22.csv,CSV,Photonic-assisted/microwave photonic final supplementary query.
Wiley Online Library,WLY-FINAL-P1B,2026-06-22,yes,2020-2026; Journal articles/reviews if available,TBD_or_user_reported,5,WLY-FINAL-P1B_export_2026-06-22.bib,BibTeX,Optical ISAC exact/rescue query.
Wiley Online Library,WLY-FINAL-P2C,2026-06-22,yes,2020-2026; Journal articles/reviews if available,TBD_or_user_reported,19,WLY-FINAL-P2C_export_2026-06-22.bib,BibTeX,Optical fiber rescue query.
Wiley Online Library,WLY-FINAL-P2D,2026-06-22,yes,2020-2026; Journal articles/reviews if available,TBD_or_user_reported,3,WLY-FINAL-P2D_export_2026-06-22.bib,BibTeX,Photonic THz focused query.
Wiley Online Library,WLY-FINAL-P2E,2026-06-22,yes,2020-2026; Journal articles/reviews if available,TBD_or_user_reported,2,WLY-FINAL-P2E_export_2026-06-22.bib,BibTeX,Photonic-assisted/microwave photonic query.
Taylor & Francis Online,TF-FINAL-MAPPING-PENDING-1,2026-06-22,yes,2020-2026; Article; English if available,TBD_or_user_reported,1,TF-FINAL-MAPPING-PENDING-1_export_2026-06-22.bib,BibTeX,Low-yield Taylor export; query mapping pending; optional/tight-only.
Taylor & Francis Online,TF-FINAL-MAPPING-PENDING-2,2026-06-22,yes,2020-2026; Article; English if available,TBD_or_user_reported,2,TF-FINAL-MAPPING-PENDING-2_export_2026-06-22.bib,BibTeX,Low-yield Taylor export; query mapping pending; optional/tight-only.
