"conflict_type","concept","variant_A","variant_B","paper_A_id","paper_B_id","year_A","year_B","title_A","title_B","excerpt_A","excerpt_B","analysis","normalization_proposal","confidence"
"Terminology","Optical Fiber ISAC","optical ISAC","photonic ISAC","O_ISAC_005","O_ISAC_020","2024","2022","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber ","gain at the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from...","In this article, we propose the idea of photonic photonic ISAC and summarize the work on the photonic ISAC system...","Papers use different terms ('optical ISAC' vs 'photonic ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","O-ISAC","optical ISAC","O_ISAC_005","O_ISAC_005","2024","2024","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO...","gain at the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from...","Papers use different terms ('O-ISAC' vs 'optical ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","O-ISAC","fiber-ISAC","O_ISAC_005","O_ISAC_018","2024","2025","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Hau","the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO...","LFM carrier to achieve optical fiber ISAC in RoF systems [21]. This approach employs an MZM to generate a high-frequency...","Papers use different terms ('O-ISAC' vs 'fiber-ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","O-ISAC","photonic ISAC","O_ISAC_005","O_ISAC_020","2024","2022","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber ","the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO...","In this article, we propose the idea of photonic photonic ISAC and summarize the work on the photonic ISAC system...","Papers use different terms ('O-ISAC' vs 'photonic ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","ISAC-OF","optical ISAC","O_ISAC_006","O_ISAC_005","2024","2024","Recent Advancements and Challenges in Integrated Sensing and Communication in Op","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","to extensive fiber-optic networks[4-5]. The integrated sensing and communication in optical fiber (ISAC-OF) does not require the installation of additional...","gain at the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from...","Papers use different terms ('ISAC-OF' vs 'optical ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","ISAC-OF","O-ISAC","O_ISAC_006","O_ISAC_005","2024","2024","Recent Advancements and Challenges in Integrated Sensing and Communication in Op","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","to extensive fiber-optic networks[4-5]. The integrated sensing and communication in optical fiber (ISAC-OF) does not require the installation of additional...","the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO...","Papers use different terms ('ISAC-OF' vs 'O-ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","ISAC-OF","fiber-ISAC","O_ISAC_006","O_ISAC_018","2024","2025","Recent Advancements and Challenges in Integrated Sensing and Communication in Op","Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Hau","to extensive fiber-optic networks[4-5]. The integrated sensing and communication in optical fiber (ISAC-OF) does not require the installation of additional...","LFM carrier to achieve optical fiber ISAC in RoF systems [21]. This approach employs an MZM to generate a high-frequency...","Papers use different terms ('ISAC-OF' vs 'fiber-ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","ISAC-OF","photonic ISAC","O_ISAC_006","O_ISAC_020","2024","2022","Recent Advancements and Challenges in Integrated Sensing and Communication in Op","Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber ","to extensive fiber-optic networks[4-5]. The integrated sensing and communication in optical fiber (ISAC-OF) does not require the installation of additional...","In this article, we propose the idea of photonic photonic ISAC and summarize the work on the photonic ISAC system...","Papers use different terms ('ISAC-OF' vs 'photonic ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Visible Light ISAC","LiFi","VLC-ISAC","O_ISAC_015","O_ISAC_327","2024","2024","Movable Access Point-Aided Integrated Visible Light Communication and Sensing Ne","Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey","al., ""Modeling the random orientation of mobile devices: Measurement, analysis and LiFi use case,"" *IEEE Trans. Commun.*, vol. 67, no....","RIS link, the channel ![](_page_13_Picture_9.jpeg) Fig. 12. Depiction of VLC-ISAC channels. The interrupted paths are denoted by dashed lines. DC...","Papers use different terms ('LiFi' vs 'VLC-ISAC') for the same Visible Light ISAC concept.","Standardize to 'Visible Light ISAC'","0.9"
"Terminology","Optical Fiber ISAC","fiber-ISAC","optical ISAC","O_ISAC_018","O_ISAC_005","2025","2024","Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Hau","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FS","LFM carrier to achieve optical fiber ISAC in RoF systems [21]. This approach employs an MZM to generate a high-frequency...","gain at the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from...","Papers use different terms ('fiber-ISAC' vs 'optical ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Terminology","Optical Fiber ISAC","fiber-ISAC","photonic ISAC","O_ISAC_018","O_ISAC_020","2025","2022","Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Hau","Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber ","LFM carrier to achieve optical fiber ISAC in RoF systems [21]. This approach employs an MZM to generate a high-frequency...","In this article, we propose the idea of photonic photonic ISAC and summarize the work on the photonic ISAC system...","Papers use different terms ('fiber-ISAC' vs 'photonic ISAC') for the same Optical Fiber ISAC concept.","Standardize to 'Optical Fiber ISAC'","0.9"
"Metric","Ranging Accuracy","RMSE","CRB","O_ISAC_009","O_ISAC_034","2025","2023","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'CRB'.","Report both RMSE and CRB for comparability","0.85"
"Metric","Ranging Accuracy","RMSE","BCRB","O_ISAC_009","O_ISAC_056","2025","2024","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Optical ISAC: Fundamental Performance Limits and Transceiver Design","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'BCRB'.","Report both RMSE and BCRB for comparability","0.85"
"Metric","Ranging Accuracy","RMSE","localization error","O_ISAC_009","O_ISAC_009","2025","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Integrated Positioning and Communication Relying on Wireless Optical OFDM","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt =...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'localization error'.","Report both RMSE and localization error for comparability","0.85"
"Metric","Ranging Accuracy","RMSE","sensing accuracy","O_ISAC_009","O_ISAC_054","2025","2024","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Optical Integrated Sensing and Communication With Light-Emitting Diode","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","\tag{21}$$ We use the MSE of the coordinates to measure the sensing accuracy, giving $$MSE_P = \mathbb{E}\left\{\|\widehat{\boldsymbol{p}}_D - \boldsymbol{p}_D\|^2\right\}. \tag{22}$$...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'sensing accuracy'.","Report both RMSE and sensing accuracy for comparability","0.85"
"Metric","Ranging Accuracy","CRB","BCRB","O_ISAC_034","O_ISAC_056","2023","2024","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","Optical ISAC: Fundamental Performance Limits and Transceiver Design","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased...","Inconsistent Ranging Accuracy evaluation: 'CRB' vs 'BCRB'.","Report both CRB and BCRB for comparability","0.85"
"Metric","Ranging Accuracy","CRB","localization error","O_ISAC_034","O_ISAC_009","2023","2025","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","Integrated Positioning and Communication Relying on Wireless Optical OFDM","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt =...","Inconsistent Ranging Accuracy evaluation: 'CRB' vs 'localization error'.","Report both CRB and localization error for comparability","0.85"
"Metric","Ranging Accuracy","CRB","sensing accuracy","O_ISAC_034","O_ISAC_054","2023","2024","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","Optical Integrated Sensing and Communication With Light-Emitting Diode","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","\tag{21}$$ We use the MSE of the coordinates to measure the sensing accuracy, giving $$MSE_P = \mathbb{E}\left\{\|\widehat{\boldsymbol{p}}_D - \boldsymbol{p}_D\|^2\right\}. \tag{22}$$...","Inconsistent Ranging Accuracy evaluation: 'CRB' vs 'sensing accuracy'.","Report both CRB and sensing accuracy for comparability","0.85"
"Metric","Ranging Accuracy","BCRB","localization error","O_ISAC_056","O_ISAC_009","2024","2025","Optical ISAC: Fundamental Performance Limits and Transceiver Design","Integrated Positioning and Communication Relying on Wireless Optical OFDM","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased...","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt =...","Inconsistent Ranging Accuracy evaluation: 'BCRB' vs 'localization error'.","Report both BCRB and localization error for comparability","0.85"
