gate_id,gate_name,owner,required_inputs,pass_criterion,evidence_file,status,blocking_failure
G0,input_freeze,QA,source_zip_pdf_and_phase_manifests,hash_match_and_27_page_clean_build,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS,yes
G1,amendment_lock,CorrespondingAuthor,phase_g_scope_amendment,scope_118_15_16_overlay_only_approved,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS_RETROSPECTIVE_SEQUENCE_DEVIATION_RECORDED,yes
G2,pilot,Adjudicator,12_row_double_review,critical_exact_agreement_ge_90_and_zero_unresolved,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS_100_PERCENT_RETROSPECTIVE_CHECK,yes
G3,report_packets,EvidenceLead,16_source_reports,all_identity_paths_hashes_and_row_maps_present,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS,yes
G4,double_verification,Adjudicator,v1_v2_forms,118_by_2_complete,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS_236_HUMAN_REVIEWS_RECORDED,yes
G5,adjudication_lock,SeniorAuthor,discrepancy_and_errata_files,zero_unresolved_and_all_statuses_reasoned,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS_ZERO_DISCREPANCIES_NO_ADJUDICATION_REQUIRED,yes
G6,analysis_lock,MethodsLead,group_catalog_and_nonpooling,independence_and_group_contract_pass,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS_HUMAN_METHODS_LOCKED,yes
G7,carrier_approval,SeniorAuthor,anchors_cards_and_crosswalk,coverage_test_and_100_percent_trace_pass,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,PASS_8_CARDS_18_ANCHORS_APPROVED,yes
G8,scientific_content,SeniorAuthor,revised_sections_iv_viii,lessons_chain_and_roadmap_fields_complete,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,RC1_TECHNICAL_QA_PASS__HUMAN_SCIENTIFIC_APPROVAL_PENDING,yes
G9,supplement,DataSteward,st_g01_g09_package,all_rows_schema_hash_and_pointer_qa_pass,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,RC1_TECHNICAL_QA_PASS__HUMAN_DATA_STEWARD_APPROVAL_PENDING,yes
G10,comst_release,CorrespondingAuthor,final_source_pdf_qa,clean_build_page_le_30_reader_qa_and_all_author_signoff,C:/OISAC/worktrees/comst-full-20260901/governance/REVISION_CHARTER.md,RC1_TECHNICAL_QA_PASS__TWO_INDEPENDENT_READERS_AND_ALL_AUTHOR_SIGNOFF_PENDING,yes
