risk_id,risk,likelihood,impact,level,preventive_control,contingency,owner,status
BAL-R01,Wrong or stale 27-page baseline,medium,critical,critical,hash frozen source ZIP and rebuild before edits,stop and identify exact submitted source,QA,open
BAL-R02,Selection cherry-picking,medium,high,high,lock selection protocol strata and stop rule before outcomes,independent audit and publish exclusions with reasons,Adjudicator,open
BAL-R03,Condition mismatch creates false comparison,medium,critical,critical,exact comparison tuple and dual verification,split into unranked operating-point cards,EvidenceLead,open
BAL-R04,Modality imbalance is generalized,high,high,high,coverage matrix and explicit evidence-unavailable cells,restrict conclusions to represented modalities,SeniorAuthor,open
BAL-R05,Pending-human values enter manuscript,medium,critical,critical,evidence lock blocks writing,remove claim and rerun crosswalk,Adjudicator,open
BAL-R06,Companion reports are double counted,low,critical,high,study-report lineage and PDF hash check,adjudicate family and correct overlay,EvidenceLead,open
BAL-R07,New content exceeds 30 pages,high,high,high,page ledger and no-net-new-float design,compress duplicate prose and move detail to supplement,ManuscriptWriter,open
BAL-R08,Roadmap remains generic,medium,high,high,eight-field acceptance test per priority,return incomplete rows to section owner,SeniorAuthor,open
BAL-R09,Table becomes unreadable,medium,high,high,limit main text to 6-8 cards and render at final scale,use supplement atlas and redesign carrier,QA,open
BAL-R10,Old QA is reused after edits,medium,high,high,hash-bound stale-QA rule,rerun affected and full release QA,QA,open
BAL-R11,Two reviewer disagreement remains,medium,high,high,source-open adjudication for every field,exclude unresolved record from locked set,Adjudicator,open
BAL-R12,Recovery repository is mistaken for current source,medium,critical,critical,do not use recovery until exact ZIP import and hash proof,build a clean baseline repository from frozen package,QA,open

