paper_id,category,tag,status,evidence,full_reasoning
O_ISAC_029,Source,External Cavity Laser (ECL),USED (Experiment),The ISAC signal is generated in the CU/DU and then modulated onto the light emitted by external cavity laser-1 (ECL-1) via the IQM...,The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also utilize an in-phase and quadrature modulator (IQM) for generating ISAC signals and a balanced photodiode (BPD) for coherent homodyne photonic down-conversion.
O_ISAC_029,Modulation,"Coherent (MZM, IQ Modulators)",USED (Experiment),The IQM consists of two MZMs and an optical phase shifter... The TFLN-MZM is used to conduct full-photonic directly receiving and de-chirping of the D-band LFM echo signal.,The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also utilize an in-phase and quadrature modulator (IQM) for generating ISAC signals and a balanced photodiode (BPD) for coherent homodyne photonic down-conversion.
O_ISAC_029,Detector,Balanced PD,USED (Experiment),"By combining this approach with coherent homodyne photonic down-conversion using a BPD, the impact of the time-varying central frequency of D-band LFM signals on radar detection generated by the heterodyning of free-running lasers can be mitigated.",The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also utilize an in-phase and quadrature modulator (IQM) for generating ISAC signals and a balanced photodiode (BPD) for coherent homodyne photonic down-conversion.
O_ISAC_029,Beamforming,None,NOT USED,No beamforming techniques are mentioned in the text.,The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also utilize an in-phase and quadrature modulator (IQM) for generating ISAC signals and a balanced photodiode (BPD) for coherent homodyne photonic down-conversion.
O_ISAC_029,Impairments,Frequency Instability,MITIGATED,The use of TFLN-MZM for PDC eliminates the frequency drift issues caused by the frequency jitter of ECL-1.,The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also utilize an in-phase and quadrature modulator (IQM) for generating ISAC signals and a balanced photodiode (BPD) for coherent homodyne photonic down-conversion.
O_ISAC_029,Modulation,Direct LFM Reception and De-chirping,USED (Experiment),"At the radar receiver, a thin-film lithium niobate MZM (TFLN-MZM) is used to conduct full-photonic directly receiving and de-chirping of the D-band LFM echo signal.",The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also discuss the system's architecture and principles in Section II.
O_ISAC_029,Source,External Cavity Laser,USED (Experiment),The ISAC signal is generated in the CU/DU and then modulated onto the light emitted by external cavity laser-1 (ECL-1) via the IQM...,The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also discuss the system's architecture and principles in Section II.
O_ISAC_029,Detector,Photodiode (PD) and Balanced PD (BPD),USED (Experiment),"The downlink optical signal from the CU/DU, thus, acts as the light for receiving the echo, eliminating the need for an additional laser at the receiver end and enabling wavelength reuse... The de-chirped signal can then be transmitted back to the CU/DU for centralized processing via fibers, and then detected by a BPD.",The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also discuss the system's architecture and principles in Section II.
O_ISAC_029,Modulation,IQ Modulation,USED (Experiment),"The IQM consists of two MZMs and an optical phase shifter. The input laser is split into two beams by a 3 dB waveguide, which are used to modulate the I and Q channels of the electrical signal.",The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also discuss the system's architecture and principles in Section II.
O_ISAC_029,Impairments,Frequency Instability,MITIGATED,The use of TFLN-MZM for PDC eliminates the frequency drift issues caused by the frequency jitter of ECL-1.,The authors describe an experimental setup in Section III using a thin-film lithium niobate Mach-Zehnder modulator (TFLN-MZM) for direct reception and de-chirping of D-band LFM signals. They also discuss the system's architecture and principles in Section II.
O_ISAC_001,Source,Laser Diode,USED (Experiment),a directly modulated laser diode (Thorlabs L638P040),The authors describe an experimental setup in Section III using a directly modulated laser diode and an avalanche photodiode. They also discuss the suitability of CE-OFDM for localization in VLC systems.
O_ISAC_001,Detector,Avalanche Photodiode,USED (Experiment),detected using an avalanche photodiode with integrated amplification,The authors describe an experimental setup in Section III using a directly modulated laser diode and an avalanche photodiode. They also discuss the suitability of CE-OFDM for localization in VLC systems.
O_ISAC_001,Modulation,CE-OFDM,USED (Experiment and Simulation),The time continuous CE-OFDM bandpass signal can be written as: s(t) = Acos(2pi f_c t + phi(t)),The authors describe an experimental setup in Section III using a directly modulated laser diode and an avalanche photodiode. They also discuss the suitability of CE-OFDM for localization in VLC systems.
O_ISAC_001,Modulation,IM/DD,MENTIONED,compatibility with intensity modulation and direct detection (IM/DD),The authors describe an experimental setup in Section III using a directly modulated laser diode and an avalanche photodiode. They also discuss the suitability of CE-OFDM for localization in VLC systems.
O_ISAC_001,Source,Laser Diode,USED (Experiment),directly modulated laser diode (Thorlabs L638P040),The authors describe an experimental setup in Section III using a directly modulated laser diode (Thorlabs L638P040) and an avalanche photodiode with integrated amplification. They also discuss the implementation of CE-OFDM in VLC systems and its potential for localization.
O_ISAC_001,Detector,Avalanche Photodiode,USED (Experiment),avalanche photodiode with integrated amplification,The authors describe an experimental setup in Section III using a directly modulated laser diode (Thorlabs L638P040) and an avalanche photodiode with integrated amplification. They also discuss the implementation of CE-OFDM in VLC systems and its potential for localization.
O_ISAC_001,Modulation,CE-OFDM,USED (Experiment and Simulation Model),CE-OFDM signal was generated using 64 QAM-modulated subcarriers,The authors describe an experimental setup in Section III using a directly modulated laser diode (Thorlabs L638P040) and an avalanche photodiode with integrated amplification. They also discuss the implementation of CE-OFDM in VLC systems and its potential for localization.
O_ISAC_001,Modulation,IM/DD,MENTIONED,compatibility with intensity modulation and direct detection (IM/DD),The authors describe an experimental setup in Section III using a directly modulated laser diode (Thorlabs L638P040) and an avalanche photodiode with integrated amplification. They also discuss the implementation of CE-OFDM in VLC systems and its potential for localization.
O_ISAC_002,Source,Optical Frequency Comb,USED (Experiment),the system uses the optical frequency comb's coherence,"The authors describe an experimental setup and simulation models for photonic terahertz integrated sensing and communication (ISAC) systems, focusing on integrated waveform design, optical coherent fusion processing, and algorithms to enhance communication capabilities and sensing performance."
O_ISAC_002,Modulation,LFM-PSK,USED (Experiment),We have proposed a radar-centric waveform that combines linear frequency modulation (LFM) with phase shift keying (PSK),"The authors describe an experimental setup and simulation models for photonic terahertz integrated sensing and communication (ISAC) systems, focusing on integrated waveform design, optical coherent fusion processing, and algorithms to enhance communication capabilities and sensing performance."
O_ISAC_002,Modulation,QAM,USED (Experiment),a multichannel photonic THz-ISAC system has been developed that combines integrated LFM with quadrature amplitude modulation (QAM) waveforms,"The authors describe an experimental setup and simulation models for photonic terahertz integrated sensing and communication (ISAC) systems, focusing on integrated waveform design, optical coherent fusion processing, and algorithms to enhance communication capabilities and sensing performance."
O_ISAC_002,Detector,None,NOT MENTIONED,No specific detector is mentioned in the text,"The authors describe an experimental setup and simulation models for photonic terahertz integrated sensing and communication (ISAC) systems, focusing on integrated waveform design, optical coherent fusion processing, and algorithms to enhance communication capabilities and sensing performance."
O_ISAC_002,Beamforming,None,NOT MENTIONED,No specific beamforming technique is mentioned in the text,"The authors describe an experimental setup and simulation models for photonic terahertz integrated sensing and communication (ISAC) systems, focusing on integrated waveform design, optical coherent fusion processing, and algorithms to enhance communication capabilities and sensing performance."
O_ISAC_002,Impairments,Frequency-selective effects,MENTIONED,the system can effectively compensate for the frequency-selective effects of a 20-meter wireless channel,"The authors describe an experimental setup and simulation models for photonic terahertz integrated sensing and communication (ISAC) systems, focusing on integrated waveform design, optical coherent fusion processing, and algorithms to enhance communication capabilities and sensing performance."
