paper_id,title,doi
COMST_001,6G Communication New Paradigm: The Integration of Autonomous Aerial Vehicles and Intelligent Reflecting Surfaces,10.1109/COMST.2025.3526251
COMST_002,"A Comprehensive Survey on Full-Duplex Communication: Current Solutions, Future Trends, and Open Issues",10.1109/COMST.2023.3318198
COMST_003,"A Comprehensive Survey on Radio Resource Management in 5G HetNets: Current Solutions, Future Trends and Open Issues",10.1109/COMST.2022.3207967
COMST_004,A Survey and Comparison of Post-Quantum and Quantum Blockchains,10.1109/COMST.2023.3325761
COMST_005,A Survey of Beam Management for mmWave and THz Communications Towards 6G,10.1109/COMST.2024.3361991
COMST_006,A Survey of Important Issues in Quantum Computing and Communications,10.1109/COMST.2023.3254481
COMST_007,"A Survey of mmWave-Based Human Sensing: Technology, Platforms and Applications",10.1109/COMST.2023.3298300
COMST_008,A Survey of Quantum Internet Protocols From a Layered Perspective,10.1109/COMST.2024.3361662
COMST_009,"A Survey of Security in UAVs and FANETs: Issues, Threats, Analysis of Attacks, and Solutions",10.1109/COMST.2024.3515051
COMST_010,A Survey on Approximate Edge AI for Energy Efficient Autonomous Driving Services,10.1109/COMST.2023.3302474
COMST_011,A Survey on Beyond 5G Network Slicing for Smart Cities Applications,10.1109/COMST.2024.3410295
COMST_012,A Survey on Controller Area Network Reverse Engineering,10.1109/COMST.2023.3264928
COMST_013,A Survey on IEEE 802.11bn Wi-Fi 8: Advantages of Ultra High Reliability for Next Generation Wireless LANs,
COMST_014,"A Survey on Indoor Visible Light Positioning Systems: Fundamentals, Applications, and Challenges",10.1109/COMST.2024.3471950
COMST_015,"A Survey on Integrated Sensing, Communication, and Computation",10.1109/COMST.2024.3521498
COMST_016,A Survey on Integration of Network Communication into Vehicle Real-Time Motion Control,10.1109/COMST.2023.3295384
COMST_017,A Survey on IoT-Enabled Home Automation Systems: Attacks and Defenses,10.1109/COMST.2022.3201557
COMST_018,"A Survey on Mobility of Edge Computing Networks in IoT: State-of-the-Art, Architectures, and Challenges",10.1109/COMST.2022.3211462
COMST_019,"A Survey on Model-Based, Heuristic, and Machine Learning Optimization Approaches in RIS-Aided Wireless Networks",10.1109/COMST.2023.3340099
COMST_020,A Survey on Multi-AP Coordination Approaches Over Emerging WLANs: Future Directions and Open Challenges,10.1109/COMST.2023.3344167
COMST_021,A Survey on Nongeostationary Satellite Systems: The Communication Perspective,10.1109/COMST.2022.3197695
COMST_022,A Survey on Scheduling Techniques in Computing and Network Convergence,10.1109/COMST.2023.3329027
COMST_023,A Survey on Trust Models in Heterogeneous Networks,10.1109/COMST.2022.3192978
COMST_024,"A Systematic Review of Human Activity Recognition Based on Mobile Devices: Overview, Progress and Trends",10.1109/COMST.2024.3357591
COMST_025,"A Systematic Survey on Security in Anonymity Networks: Vulnerabilities, Attacks, Defenses, and Formalization",10.1109/COMST.2024.3350006
COMST_026,A Top-Down Survey on Optical Wireless Communications for the Internet of Things,10.1109/COMST.2022.3220504
COMST_027,"A Tutorial on Beyond-Diagonal Reconfigurable Intelligent Surfaces: Modeling, Architectures, System Design and Optimization, and Applications",
COMST_028,Active Reconfigurable Intelligent Surfaces: Expanding the Frontiers of Wireless Communication-A Survey,10.1109/COMST.2024.3423460
COMST_029,Advances in Machine Learning-Driven Cognitive Radio for Wireless Networks: A Survey,10.1109/COMST.2023.3345796
COMST_030,Aerospace Integrated Networks Innovation for Empowering 6G: A Survey and Future Challenges,10.1109/COMST.2023.3245614
COMST_032,An Overview on IEEE 802.11bf: WLAN Sensing,10.1109/COMST.2024.3408899
COMST_033,Beam Alignment in mmWave V2X Communications: A Survey,10.1109/COMST.2024.3383093
COMST_034,Computational Intelligence Algorithms for UAV Swarm Networking and Collaboration: A Comprehensive Survey and Future Directions,10.1109/COMST.2024.3395358
COMST_035,"Data and Model Poisoning Backdoor Attacks on Wireless Federated Learning, and the Defense Mechanisms: A Comprehensive Survey",10.1109/COMST.2024.3361451
COMST_036,Design Guidelines on Trust Management for Underwater Wireless Sensor Networks,10.1109/COMST.2024.3389728
COMST_037,Enabling Intelligent Connectivity: A Survey of Secure ISAC in 6G Networks,10.1109/COMST.2024.3432871
COMST_038,Evasion Attack and Defense on Machine Learning Models in Cyber-Physical Systems: A Survey,10.1109/COMST.2023.3344808
COMST_039,Evolution of Non-Terrestrial Networks From 5G to 6G: A Survey,10.1109/COMST.2022.3199901
COMST_040,"Holographic MIMO Communications: Theoretical Foundations, Enabling Technologies, and Future Directions",10.1109/COMST.2023.3309529
COMST_041,How Can Optical Communications Shape the Future of Deep Space Communications? A Survey,10.1109/COMST.2024.3403873
COMST_042,In-Network Machine Learning Using Programmable Network Devices: A Survey,10.1109/COMST.2023.3344351
COMST_043,"Integrated 5G and Time Sensitive Networking for Emerging Applications: A Survey of Advancements, Challenges, and Future Directions",
COMST_044,Integrated Sonar and Communication: A Survey,
