"search_id","search_date","database_or_source","search_stage","platform_or_modality","search_string","limits","raw_records","records_exported","file_name","notes"
"Scopus-S1","planned_2026-06-30","Scopus","primary","all optical modalities","TBD","English; 2020-01-01 to 2026-06-30; peer-reviewed journal articles; early-access journal articles; full-length conference papers; review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date"
"IEEE-S1","planned_2026-06-30","IEEE Xplore","primary","all optical modalities","TBD","English; 2020-01-01 to 2026-06-30; peer-reviewed journal articles; early-access journal articles; full-length conference papers; review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date"
"ScienceDirect-SUPP1","planned_2026-06-30","ScienceDirect","supplementary","all optical modalities","TBD","English; 2020-01-01 to 2026-06-30; peer-reviewed journal articles; early-access journal articles where available; review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date"
"SpringerLink-SUPP1","planned_2026-06-30","SpringerLink","supplementary","all optical modalities","TBD","English; 2020-01-01 to 2026-06-30; peer-reviewed journal articles; conference/proceedings papers where available; review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date"
"Wiley-SUPP1","planned_2026-06-30","Wiley Online Library","supplementary","all optical modalities","TBD","English; 2020-01-01 to 2026-06-30; peer-reviewed journal articles; early view where available; review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date"
"TaylorFrancis-SUPP1","planned_2026-06-30","Taylor & Francis Online","supplementary","all optical modalities","TBD","English; 2020-01-01 to 2026-06-30; peer-reviewed journal articles; review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date"
"Fiber-S2","planned_2026-06-30","Scopus; IEEE Xplore; ScienceDirect; SpringerLink; Wiley Online Library; Taylor & Francis Online","secondary","fiber","TBD","English; 2020-01-01 to 2026-06-30; selected source set; peer-reviewed primary evidence plus review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date if needed"
"FSO-S2","planned_2026-06-30","Scopus; IEEE Xplore; ScienceDirect; SpringerLink; Wiley Online Library; Taylor & Francis Online","secondary","FSO","TBD","English; 2020-01-01 to 2026-06-30; selected source set; peer-reviewed primary evidence plus review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date if needed"
"VLC-LiFi-S2","planned_2026-06-30","Scopus; IEEE Xplore; ScienceDirect; SpringerLink; Wiley Online Library; Taylor & Francis Online","secondary","VLC/LiFi","TBD","English; 2020-01-01 to 2026-06-30; selected source set; peer-reviewed primary evidence plus review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date if needed"
"Photonic-THz-S2","planned_2026-06-30","Scopus; IEEE Xplore; ScienceDirect; SpringerLink; Wiley Online Library; Taylor & Francis Online","secondary","photonic-THz","TBD","English; 2020-01-01 to 2026-06-30; selected source set; peer-reviewed primary evidence plus review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date if needed"
"Hybrid-S2","planned_2026-06-30","Scopus; IEEE Xplore; ScienceDirect; SpringerLink; Wiley Online Library; Taylor & Francis Online","secondary","hybrid optical systems","TBD","English; 2020-01-01 to 2026-06-30; selected source set; peer-reviewed primary evidence plus review/survey papers for contextual comparison only","TBD","TBD","TBD","to be executed after planned search freeze date if needed"
"IEEE-PILOT-S1A","2026-06-18","IEEE Xplore","pilot","exact O-ISAC phrase search","""All Metadata"":""O-ISAC"" OR ""All Metadata"":OISAC OR ""All Metadata"":""optical ISAC"" OR ""All Metadata"":""optical integrated sensing and communication"" OR ""All Metadata"":""integrated optical sensing and communication"" OR ""All Metadata"":""joint optical communication and sensing"" OR ""All Metadata"":""optical joint communication and sensing""","2020-2026; Journals + Conferences; English if available","31","31","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/IEEE-PILOT-S1A_export_2026-06-18.csv","candidate for final package; pilot only; not final PRISMA flow count; exact query recovered from chat log; canonical file created from mismatched source filename by 31-row count/content"
"IEEE-PILOT-S1B","2026-06-18","IEEE Xplore","pilot","All Metadata generic ISAC+optical","query_string_pending_from_chat_log_or_database_history","2020-2026; Journals + Conferences; English if available","1195","not_exported","not_exported","too broad; rejected in current form; pilot only; not final PRISMA flow count; exact query TODO"
"IEEE-PILOT-S1B-R1","2026-06-18","IEEE Xplore","pilot","refined All Metadata ISAC+optical+sensing","query_string_pending_from_chat_log_or_database_history","2020-2026; Journals + Conferences; English if available","780","not_exported","not_exported","too broad; rejected in current form; pilot only; not final PRISMA flow count; exact query TODO"
"IEEE-PILOT-S1B-R2","2026-06-18","IEEE Xplore","pilot","Document Title + Abstract controlled ISAC+optical","(""Document Title"":""integrated sensing and communication"" OR ""Document Title"":""integrated sensing and communications"" OR ""Document Title"":ISAC OR ""Document Title"":""joint sensing and communication"" OR ""Document Title"":""joint communication and sensing"" OR ""Document Title"":""sensing-communication"" OR ""Document Title"":""communication-sensing"" OR ""Abstract"":""integrated sensing and communication"" OR ""Abstract"":""integrated sensing and communications"" OR ""Abstract"":ISAC OR ""Abstract"":""joint sensing and communication"" OR ""Abstract"":""joint communication and sensing"" OR ""Abstract"":""sensing-communication"" OR ""Abstract"":""communication-sensing"") AND (""Document Title"":optical OR ""Document Title"":photonic OR ""Document Title"":""free-space optical"" OR ""Document Title"":FSO OR ""Document Title"":VLC OR ""Document Title"":LiFi OR ""Document Title"":""visible light communication"" OR ""Document Title"":""optical wireless"" OR ""Document Title"":""optical fiber"" OR ""Document Title"":""photonic THz"" OR ""Abstract"":optical OR ""Abstract"":photonic OR ""Abstract"":""free-space optical"" OR ""Abstract"":FSO OR ""Abstract"":VLC OR ""Abstract"":LiFi OR ""Abstract"":""visible light communication"" OR ""Abstract"":""optical wireless"" OR ""Abstract"":""optical fiber"" OR ""Abstract"":""photonic THz"")","2020-2026; Journals + Conferences; English if available","239","239","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/IEEE-PILOT-S1B-R2_export_2026-06-18.csv","candidate; needs inspection; pilot only; not final PRISMA flow count; exact query recovered from chat log; canonical file created from mismatched source filename by 239-row count/content"
"IEEE-PILOT-S1C-R1","2026-06-18","IEEE Xplore","pilot","VLC/LiFi broad","query_string_pending_from_chat_log_or_database_history","2020-2026; Journals + Conferences; English if available",">1000","not_exported","not_exported","too broad; rejected/refinement needed; pilot only; not final PRISMA flow count; exact query TODO"
"IEEE-PILOT-S1D-R1","2026-06-18","IEEE Xplore","pilot","FSO/OWC broad","query_string_pending_from_chat_log_or_database_history","2020-2026; Journals + Conferences; English if available","1000","not_exported","not_exported","too broad; rejected/refinement needed; pilot only; not final PRISMA flow count; exact query TODO"
"IEEE-PILOT-S1E-R1","2026-06-18","IEEE Xplore","pilot","fiber broad","query_string_pending_from_chat_log_or_database_history","2020-2026; Journals + Conferences; English if available",">3000","not_exported","not_exported","too broad; rejected/refinement needed; pilot only; not final PRISMA flow count; exact query TODO"
"IEEE-PILOT-S1F-R1","2026-06-18","IEEE Xplore","pilot","photonic-THz/microwave photonic","query_string_pending_from_chat_log_or_database_history","2020-2026; Journals + Conferences; English if available","110","110","systematic_review_workflow/02_arama/raw_exports/ieee_xplore/pilot_2026-06-18/ieee_pilot_s1b_R2export_2026_06_18.csv","valuable but noisy; replaced by S1F-R2; pilot only; not final PRISMA flow count; exact query TODO; source filename appears mismatched and was mapped by 110-row count/content"
"IEEE-PILOT-S1F-R2","2026-06-19","IEEE Xplore","pilot","photonic-THz/microwave photonic refined","(""Document Title"":""photonic THz"" OR ""Document Title"":""photonic terahertz"" OR ""Document Title"":""photonic mmWave"" OR ""Document Title"":""photonic millimeter wave"" OR ""Document Title"":""microwave photonic"" OR ""Document Title"":""THz-over-fiber"" OR ""Document Title"":""photonics-assisted"" OR ""Document Title"":""photonic-assisted"" OR ""Document Title"":""photonic-aided"" OR ""Abstract"":""photonic THz"" OR ""Abstract"":""photonic terahertz"" OR ""Abstract"":""photonic mmWave"" OR ""Abstract"":""photonic millimeter wave"" OR ""Abstract"":""microwave photonic"" OR ""Abstract"":""THz-over-fiber"" OR ""Abstract"":""photonics-assisted"" OR ""Abstract"":""photonic-assisted"" OR ""Abstract"":""photonic-aided"") AND (""Document Title"":""integrated sensing and communication"" OR ""Document Title"":""integrated sensing and communications"" OR ""Document Title"":ISAC OR ""Document Title"":""joint radar communication"" OR ""Document Title"":""joint radar-communication"" OR ""Document Title"":""joint radar and communication"" OR ""Document Title"":""joint communication and radar"" OR ""Abstract"":""integrated sensing and communication"" OR ""Abstract"":""integrated sensing and communications"" OR ""Abstract"":ISAC)","2020-2026; Journals + Conferences; English if available","45","45","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/IEEE-PILOT-S1F-R2_export_2026-06-19.csv","keep candidate; replaces IEEE-PILOT-S1F-R1; pilot only; not final PRISMA flow count; exact query recovered from chat log"
"SCO-PILOT-S1A","2026-06-19","Scopus","pilot","Scopus exact/core O-ISAC candidate","query_string_pending_from_scopus_history_or_user_confirmation","2020-2026; English if available; Scopus pilot export","40","40","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/SCO-PILOT-S1A_export_2026-06-19.csv","keep candidate; count matches; pilot only; not final PRISMA flow count; exact query TODO"
"SCO-PILOT-S1B","2026-06-19","Scopus","pilot","Scopus controlled ISAC+optical candidate","query_string_pending_from_scopus_history_or_user_confirmation","2020-2026; English if available; Scopus pilot export","35","60","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/SCO-PILOT-S1B_export_2026-06-19.csv","keep candidate but count mismatch reported/exported 35 vs 60; verify query/export settings; metadata-light export missing Year Source title Document type EID; pilot only; not final PRISMA flow count; exact query TODO"
"SCO-PILOT-S1F","2026-06-19","Scopus","pilot","Scopus photonic-THz/microwave photonic candidate","query_string_pending_from_scopus_history_or_user_confirmation","2020-2026; English if available; Scopus pilot export","103","104","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/SCO-PILOT-S1F_export_2026-06-19.csv","keep candidate but minor count mismatch reported/exported 103 vs 104; verify before final search; pilot only; not final PRISMA flow count; exact query TODO"
"SD-PILOT-P1","2026-06-19","ScienceDirect","pilot","ScienceDirect exact O-ISAC phrase","""optical integrated sensing and communication"" OR ""optical ISAC"" OR ""O-ISAC"" OR OISAC","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","9","9","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P1.txt; unique within query 9; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SD-PILOT-P2A","2026-06-19","ScienceDirect","pilot","ScienceDirect FSO/OWC modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""free-space optical"" OR ""optical wireless"" OR FSO OR OWC)","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","59","59","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P2A.txt; unique within query 59; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SD-PILOT-P2B","2026-06-19","ScienceDirect","pilot","ScienceDirect VLC/LiFi modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""visible light communication"" OR VLC OR LiFi)","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","67","67","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P2B.txt; unique within query 67; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SD-PILOT-P2C","2026-06-19","ScienceDirect","pilot","ScienceDirect fiber modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""optical fiber"" OR ""fiber optic"" OR ""optical fibre"")","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","89","89","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P2C.txt; unique within query 89; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SD-PILOT-P2D","2026-06-19","ScienceDirect","pilot","ScienceDirect photonic-THz modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""photonic THz"" OR ""photonic terahertz"" OR ""THz-over-fiber"")","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","5","5","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P2D.txt; unique within query 5; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SD-PILOT-P2E","2026-06-19","ScienceDirect","pilot","ScienceDirect photonic-assisted/microwave photonic pilot","(ISAC OR ""joint radar and communication"") AND (""photonic-assisted"" OR ""photonic-assisted"" OR ""microwave photonic"")","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","10","10","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P2E.txt; unique within query 10; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SD-PILOT-P3","2026-06-19","ScienceDirect","pilot","ScienceDirect optional tight pilot","query_string_pending_from_sciencedirect_raw_txt","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","11","11","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P3.txt; unique within query 11; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SD-PILOT-P4","2026-06-19","ScienceDirect","pilot","ScienceDirect optional modality pilot","query_string_pending_from_sciencedirect_raw_txt","2020-2026; ScienceDirect pilot package; English if available; article/review records require later corpus-role screening","100","100","systematic_review_workflow/02_arama/raw_exports/pilot_2026-06-19/sciencedirect/sciencedirect_pilot_all_rows_2026-06-19.csv","pilot only; not final PRISMA flow count; input file SD-PILOT-P4.txt; unique within query 100; preliminary relevance labels are not screening decisions; aggregate audit note: total_raw_rows=350; unique_records=172"
"SPR-PILOT-P1B","2026-06-21","SpringerLink","pilot","SpringerLink exact optical ISAC phrase","""optical ISAC"" OR ""O-ISAC"" OR OISAC","2020-2026; SpringerLink pilot export; English if available; article/conference records require later corpus-role screening; review/survey and chapter records contextual only","4","4","systematic_review_workflow/02_arama/raw_exports/springerlink/pilot_2026-06-21/SPR-PILOT-P1B.csv","pilot only; not final PRISMA flow count; noisy / false positives present; SPR-PILOT-P1A not present in uploaded export; aggregate audit note: raw_exported_rows=159; unique_records=126; duplicate_groups=29"
"SPR-PILOT-P2A","2026-06-21","SpringerLink","pilot","SpringerLink FSO/OWC modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""free-space optical"" OR ""optical wireless"")","2020-2026; SpringerLink pilot export; English if available; article/conference records require later corpus-role screening; review/survey and chapter records contextual only","44","44","systematic_review_workflow/02_arama/raw_exports/springerlink/pilot_2026-06-21/SPR-PILOT-P2A.csv","pilot only; not final PRISMA flow count; noisy / rescue query candidate; title/abstract screening required; aggregate audit note: raw_exported_rows=159; unique_records=126; duplicate_groups=29"
"SPR-PILOT-P2B","2026-06-21","SpringerLink","pilot","SpringerLink VLC/LiFi modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""visible light communication"" OR LiFi OR VLC)","2020-2026; SpringerLink pilot export; English if available; article/conference records require later corpus-role screening; review/survey and chapter records contextual only","40","40","systematic_review_workflow/02_arama/raw_exports/springerlink/pilot_2026-06-21/SPR-PILOT-P2B.csv","pilot only; not final PRISMA flow count; noisy / VLC-LiFi rescue query candidate; title/abstract screening required; aggregate audit note: raw_exported_rows=159; unique_records=126; duplicate_groups=29"
"SPR-PILOT-P2C","2026-06-21","SpringerLink","pilot","SpringerLink fiber modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""optical fiber"" OR ""fiber optic"")","2020-2026; SpringerLink pilot export; English if available; article/conference records require later corpus-role screening; review/survey and chapter records contextual only","58","58","systematic_review_workflow/02_arama/raw_exports/springerlink/pilot_2026-06-21/SPR-PILOT-P2C.csv","pilot only; not final PRISMA flow count; useful focused fiber/O-ISAC query candidate; chapters not primary evidence; aggregate audit note: raw_exported_rows=159; unique_records=126; duplicate_groups=29"
"SPR-PILOT-P2D","2026-06-21","SpringerLink","pilot","SpringerLink photonic-THz modality pilot","(""integrated sensing and communication"" OR ISAC) AND (""photonic THz"" OR ""photonic terahertz"" OR ""THz-over-fiber"")","2020-2026; SpringerLink pilot export; English if available; article/conference records require later corpus-role screening; review/survey and chapter records contextual only","1","1","systematic_review_workflow/02_arama/raw_exports/springerlink/pilot_2026-06-21/SPR-PILOT-P2D.csv","pilot only; not final PRISMA flow count; useful focused photonic-THz candidate; aggregate audit note: raw_exported_rows=159; unique_records=126; duplicate_groups=29"
"SPR-PILOT-P2E","2026-06-21","SpringerLink","pilot","SpringerLink photonic-assisted/microwave photonic pilot","(ISAC OR ""joint radar and communication"") AND (""photonic-assisted"" OR ""microwave photonic"")","2020-2026; SpringerLink pilot export; English if available; article/conference records require later corpus-role screening; review/survey and chapter records contextual only","12","12","systematic_review_workflow/02_arama/raw_exports/springerlink/pilot_2026-06-21/SPR-PILOT-P2E.csv","pilot only; not final PRISMA flow count; useful focused photonic-assisted/microwave photonic candidate; chapters not primary evidence; aggregate audit note: raw_exported_rows=159; unique_records=126; duplicate_groups=29"
"SPR-PILOT-P1A","2026-06-21","SpringerLink","pilot","SpringerLink missing exact pilot","query_export_pending_not_present_in_uploaded_export","2020-2026; SpringerLink pilot export expected but not present","TBD","TBD","not_present","pilot only; not final PRISMA flow count; export not present / pending; query/export will not be reconstructed"
"WLY-PILOT-P1A","2026-06-21","Wiley Online Library","pilot","Wiley exact O-ISAC phrase","""optical integrated sensing and communication""","2020-2026; Wiley Online Library pilot export; English if available; article/early-view records require later corpus-role screening; review/survey/chapter/contextual records contextual only","1","1","systematic_review_workflow/02_arama/raw_exports/wiley/ppilot_2026-06-21/wly_pilot_p1a.txt","pilot only; not final PRISMA flow count; likely false positive / deprioritize"
"WLY-PILOT-P1B","2026-06-21","Wiley Online Library","pilot","Wiley exact optical ISAC variants","""optical ISAC"" OR ""O-ISAC"" OR OISAC","2020-2026; Wiley online library pilot export; English if available; review/survey/chapter contextual only","5","5","systematic_review_workflow/02_arama/raw_exports/wiley/pilot_2026-06-21/wly_pilot_p1b.txt","pilot only; not final PRISMA flow count; noisy exact-variant query; rescue/sensitivity candidate"
