paper_id,source_type,source_path,md_path,section_key,concept_key,variant,match_type,quote,line_start,line_end,heading_path,context,label,strength,rationale,model_used
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,spatial resolution,lexical,"The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION," In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced rob",NONE,NONE,"The quote discusses 6G wireless systems, ISAC, and VLC systems, but does not provide explicit or indirect support for a specific fundamental concept in Section II.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,evm,lexical,"In addition to localization, the information embedded in reflected or transmitted optical signals can be used to infer the physical properties of materials. In [11], it was introduced a framework for material classification using features derived from OFDM-based OWC signals. Their setup involved measuring Error Vector Magnitude (EVM) and distance between the laser source and target material, which were then fed into machine learning models to classify objects as glass, plastic, or aluminum.",41,41,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,"including CE-OFDM and other low-complexity schemes, are being considered to optimize the trade-off between sensing accuracy and communication performance.

In addition to localization, the information embedded in reflected or transmitted optical signals can be used to infer the physical properties of materials. In [11], it was introduced a framework for material classification using features derived from OFDM-based OWC signals. Their setup involved measuring Error Vector Magnitude (EVM) and distance between the laser source and target material, which were then fed into machine learning models to classify objects as glass, plastic, or aluminum.

The remainder of this paper is organized as follows. Section II introduces the fundamental concepts of CE-OFDM and its implementation in VLC systems. Section III presents an experimental performance evaluation, comparing CE-OFDM with conventional ",INDIRECT,INDIRECT,"The quote mentions Error Vector Magnitude (EVM), which is related to signal quality and can be linked to performance metrics, but it does not directly discuss SNR or OSNR.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,evm,lexical,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal was digitized at 25 GSa/s and processed by a custom DSP chain implementing decimation, synchronization, digital filtering, phase demodulation and correction. The peak-to-peak amplitude of both the OFDM and CE-OFDM signals was kept at 1.8 V at the AWG. Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.",96,96,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"# III. VLC CE-OFDM PERFORMANCE ASSESSMENT

Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal ",INDIRECT,INDIRECT,"The text discusses the experimental performance evaluation of a VLC CE-OFDM system, including the generation and transmission of the signal, but does not explicitly mention SNR or ESNR. However, it provides context about the system's performance, which could be indirectly related to SNR or ESNR.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,evm,lexical,**Fig. 1** Measured EVM as a function of modulation index for OFDM and CE-OFDM signals.,102,102,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"![](_page_2_Figure_0.jpeg)

**Fig. 1** Measured EVM as a function of modulation index for OFDM and CE-OFDM signals.

As illustrated in Fig.1, the EVM performance of CE-OFDM was assessed as a function of the modulation index for three modulation orders: 4QAM, 16QAM, and 64QAM. The results clearly show that CE-OFDM achieves superior performance compared to conventional OFDM, particularly at moderate modulation indices where the EVM reaches its minimum. This behavior is attributed to the constant-envelope nature of the CE-OFDM waveform, which makes it more robust against the nonlinear distortions introduced by the directly modulated LD.",DIRECT,DIRECT,"The quote explicitly mentions the measurement of EVM as a function of modulation index for OFDM and CE-OFDM signals, directly supporting the concept of performance metrics in the context of VLC CE-OFDM performance assessment.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,evm,lexical,"As illustrated in Fig.1, the EVM performance of CE-OFDM was assessed as a function of the modulation index for three modulation orders: 4QAM, 16QAM, and 64QAM. The results clearly show that CE-OFDM achieves superior performance compared to conventional OFDM, particularly at moderate modulation indices where the EVM reaches its minimum. This behavior is attributed to the constant-envelope nature of the CE-OFDM waveform, which makes it more robust against the nonlinear distortions introduced by the directly modulated LD.",104,104,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"**Fig. 1** Measured EVM as a function of modulation index for OFDM and CE-OFDM signals.

As illustrated in Fig.1, the EVM performance of CE-OFDM was assessed as a function of the modulation index for three modulation orders: 4QAM, 16QAM, and 64QAM. The results clearly show that CE-OFDM achieves superior performance compared to conventional OFDM, particularly at moderate modulation indices where the EVM reaches its minimum. This behavior is attributed to the constant-envelope nature of the CE-OFDM waveform, which makes it more robust against the nonlinear distortions introduced by the directly modulated LD.

Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and ",DIRECT,DIRECT,"The context explicitly discusses EVM (Error Vector Magnitude) performance, which is a performance metric, directly supporting the concept of 'performance_metrics' in Section II fundamentals.",meta-llama/llama-4-scout-17b-16e-instruct
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,evm,lexical,"Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and the EVM improves until a critical point beyond which phase ambiguities, known as cycle slips, begin to dominate. To address this limitation, the phase correction (PC) algorithm proposed in [8] was introduced and experimentally validated. The dashed curves in Fig. 1 show the effect of applying the PC algorithm, which significantly reduces the EVM across all modulation orders, particularly at high modulation indices where the uncorrected system would otherwise suffer from cycle slip-induced degradation. Fig. 2 presents the power spectral density (PSD) of CE-OFDM",106,106,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"As illustrated in Fig.1, the EVM performance of CE-OFDM was assessed as a function of the modulation index for three modulation orders: 4QAM, 16QAM, and 64QAM. The results clearly show that CE-OFDM achieves superior performance compared to conventional OFDM, particularly at moderate modulation indices where the EVM reaches its minimum. This behavior is attributed to the constant-envelope nature of the CE-OFDM waveform, which makes it more robust against the nonlinear distortions introduced by the directly modulated LD.

Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and the EVM improves until a critical point beyond which phase ambiguities, known as cycle sl",DIRECT,DIRECT,"The quote explicitly discusses the trade-off between modulation index and system performance, specifically mentioning the impact on EVM, which is a key performance metric.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,spectral efficiency,lexical,"As the modulation index increases, the energy distribution across the spectrum becomes broader and more uniform. For low modulation indices (e.g., 2ℎ = 1), a significant portion of the signal power is concentrated around the carrier, resulting in a narrower bandwidth. This implies a less effective spreading of the OFDM subcarriers, which may degrade system performance in frequency-selective channels. Conversely, at higher modulation indices (e.g., 2ℎ = 4), the signal spectrum becomes broader and more evenly distributed around the carrier. This is a result of increased phase variation, which reduces the dominance of the carrier component and distributes power across more frequencies. However, this broader spectrum implies a trade-off, while the signal may become more robust to certain impairments (e.g., fading or nonlinearity), it does so at the cost of increased bandwidth, reducing spectral efficiency. The signal exhibits a flatter and more evenly distributed spectrum, indicating improved subcarrier orthogonality and better spectral shaping. The broader spectrum enhances robustness to system impairments and facilitates better separation of subcarriers at the receiver, collectively leading to improved system performance.",114,114,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,"signals centered at 300 MHz, evaluated for different modulation indices. A consistent feature across all curves is the spectral line at the carrier frequency (300 MHz), which is a characteristic of CE-OFDM due to its constant-envelope phase modulation structure. This line corresponds to the residual carrier component and remains dominant regardless of the modulation index.

As the modulation index increases, the energy distribution across the spectrum becomes broader and more uniform. For low modulation indices (e.g., 2ℎ = 1), a significant portion of the signal power is concentrated around the carrier, resulting in a narrower bandwidth. This implies a less effective spreading of the OFDM subcarriers, which may degrade system performance in frequency-selective channels. Conversely, at higher modulation indices (e.g., 2ℎ = 4), the signal spectrum becomes broader and more evenly distribute",INDIRECT,INDIRECT,"The quote discusses the impact of modulation index on energy distribution and bandwidth in OFDM, which is related to performance metrics, but does not directly mention a specific metric or value.",llama-3.3-70b-versatile
O_ISAC_001,markdown,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,spectral efficiency,lexical,"CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.",118,118,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,"## IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS

CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.

Furthermore, recent research has shown that CE-OFDM signals possess f",NONE,NONE,"The quote discusses the suitability of CE-OFDM for localization in VLC systems, focusing on its advantages in spectral efficiency, hardware compatibility, and resistance to distortion, but does not directly relate to Section II fundamentals or provide explicit support for a specific concept within that section.",llama-3.3-70b-versatile
O_ISAC_001,visual_analysis,data/proc_markdowns/O_ISAC_001/O_ISAC_001/visual_analysis.txt,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,evm,lexical,DESCRIPTION: Measured Error Vector Magnitude (EVM) as a function of modulation index (2*pi*h) for conventional OFDM and CE-OFDM across different QAM orders.,7,7,no_heading,"IMAGE: _page_2_Figure_0.jpeg
TYPE: Chart / Graph
DESCRIPTION: Measured Error Vector Magnitude (EVM) as a function of modulation index (2*pi*h) for conventional OFDM and CE-OFDM across different QAM orders.
X-AXIS: Modulation index (2*pi*h) [Range: 1 to 4].
Y-AXIS: Measured EVM (dB) [Range: -30 to -14].",DIRECT,DIRECT,"The quote explicitly mentions 'performance_metrics' in the context of 'EVM' and 'modulation index', which directly relates to the concept of performance metrics in Section II fundamentals.",llama-3.3-70b-versatile
O_ISAC_001,visual_analysis,data/proc_markdowns/O_ISAC_001/O_ISAC_001/visual_analysis.txt,data/proc_markdowns/O_ISAC_001/O_ISAC_001/O_ISAC_001.md,2D,performance_metrics,evm,lexical,Y-AXIS: Measured EVM (dB) [Range: -30 to -14].,9,9,no_heading,"DESCRIPTION: Measured Error Vector Magnitude (EVM) as a function of modulation index (2*pi*h) for conventional OFDM and CE-OFDM across different QAM orders.
X-AXIS: Modulation index (2*pi*h) [Range: 1 to 4].
Y-AXIS: Measured EVM (dB) [Range: -30 to -14].
LEGEND:
- CE-OFDM (Solid lines): 4QAM (blue circle), 16QAM (orange square), 64QAM (green diamond).",DIRECT,DIRECT,"The context explicitly mentions 'Measured Error Vector Magnitude (EVM)' which is a performance metric, directly supporting the concept of 'performance_metrics' in Section II fundamentals.",meta-llama/llama-4-scout-17b-16e-instruct
