Track_ID,Title,Decision,Reason,Confidence
O_ISAC_165,Design and modelling of InAs detection system on SOI via monolithic integration for mid-infrared integrated sensing and communication,Included,"The paper involves both sensing and communication functions integrated through optical technologies, meeting criteria 1, 2, and 3.",0.9
O_ISAC_166,An integrated sensing and communication solar skin for health monitoring and human–machine interaction,Included,"The paper involves integrated sensing and communication using optical technologies, meeting the inclusion criteria of dual-functionality and optical component requirement.",0.9
O_ISAC_167,Multi-service integrated sensing and communication system for industrial internet-of-things,Included,"The paper involves both sensing and communication and is categorized under fiber, indicating the use of optical technologies, meeting the inclusion criteria.",0.9
O_ISAC_168,"Space-Frequency Switching MIMO-OFDM ISAC Systems: Architecture, Radar Imaging Algorithm, and Testbed Experiments",Excluded,"The paper focuses on RF/Millimeter-wave technologies (MIMO-OFDM) without any optical/photonic component, violating exclusion criterion 1.",0.9
O_ISAC_169,Terahertz asynchronous twin-comb for prefiguring hypersensitivity beyond spectrum domain,Excluded,"The paper focuses on Terahertz technology, which is purely RF/Millimeter-wave/THz without any optical/photonic component, thus not meeting the inclusion criteria.",0.9
O_ISAC_170,Research on optical sideband signal wavefront damage repair technology in optical fibers,Excluded,"The paper focuses on optical sideband signal wavefront damage repair technology in optical fibers, which does not explicitly involve both sensing and communication functionalities as required by the inclusion criteria.",0.9
O_ISAC_171,Frequency-comb-steered ultrawideband quasi-true-time-delay beamformer for integrated sensing and communication,Included,"The paper involves both sensing and communication and utilizes optical technologies, meeting the inclusion criteria for integrated sensing and communication.",0.9
O_ISAC_172,Joint break-point localization sensing based on OFDR and non-disruptive communication fiber ISAC system,Included,"The paper involves both sensing and communication, utilizing optical technologies and integrating the two functions, meeting all inclusion criteria.",0.9
O_ISAC_173,Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing,Included,"The paper involves both 'sensing' and 'communication' and utilizes 'optical' technologies, meeting the inclusion criteria.",0.9
O_ISAC_174,A Unified OFDM-ISAC Signal Generation Architecture in W-Band via Photonics-Aided Frequency Multiplication and Phase Noise Mitigation,Excluded,"The paper focuses on W-Band, which implies RF/Millimeter-wave, and does not explicitly mention the integration of optical technologies for both sensing and communication as required by the inclusion criteria.",0.8
O_ISAC_175,Performance Analysis for Integrated Sensing and Communication Systems in Rainfall Scenarios,Excluded,"The paper does not explicitly mention the involvement of optical technologies, which is a crucial criterion for inclusion.",0.8
O_ISAC_176,Real-time integrated 1.74 cm range resolution and 16.14 Gbps bidirectional wireless communication in photonic-assisted terahertz band systems over 80 m,Excluded,"The paper focuses on terahertz band systems, which does not meet the inclusion criteria of involving optical technologies.",0.9
O_ISAC_177,Development of a Frequency Agile RF-Photonic Digital Transceiver,Excluded,The paper focuses on RF-photonic technology but does not explicitly integrate sensing and communication functionalities as required by the inclusion criteria.,0.8
O_ISAC_178,Review of 6G Wireless Communication System With Artificial Intelligence,Excluded,"The paper focuses on 6G wireless communication system with artificial intelligence, which does not explicitly involve optical technologies or integrated sensing and communication functionalities as per the inclusion criteria.",0.9
O_ISAC_179,Noninvasive sub-terahertz glucose monitoring using communication-inspired eye diagram analysis,Excluded,"The paper does not explicitly involve integrated optical sensing and communication, focusing instead on noninvasive glucose monitoring using communication-inspired analysis without clear dual-functionality.",0.8
O_ISAC_180,Integrated Terahertz FMCW Radar and FSK Communication Enabled by High-Speed Wavelength Tunable Lasers,Excluded,"The paper focuses on Terahertz FMCW Radar and FSK Communication, which does not meet the inclusion criteria of involving optical technologies as defined.",0.9
O_ISAC_181,End-to-End Constellation Mapping and Demapping for Integrated Sensing and Communications,Excluded,"The paper does not explicitly mention the involvement of optical technologies, which is a required criterion for inclusion.",0.8
O_ISAC_182,Research on period-one photonic microwave scheme for integrated communication and sensing system,Included,"The paper involves both 'sensing' and 'communication' and utilizes 'optical' technologies, meeting the inclusion criteria.",0.9
O_ISAC_183,Scalable AI-assisted optical radio environment map estimation for indoor visible light communication systems (AI-VLCmaps),Included,"The paper involves both 'Sensing' (environment map estimation) and 'Communication' (indoor visible light communication systems), meeting criteria 1 and 2.",0.9
O_ISAC_184,Photonics-aided integrated sensing and communication system in W-band using probabilistic shaping DMT waveform with full-frequency utilization,Included,"The paper involves both sensing and communication and utilizes optical technologies, meeting the inclusion criteria.",0.9
O_ISAC_185,Adaptive visible light integrated sensing and communication for cable-free virtual reality,Included,"The paper involves both sensing and communication using optical technologies, specifically visible light, and integrates these functions for a cable-free virtual reality application, meeting criteria 1, 2, and 3.",0.9
O_ISAC_186,Chaotic optoelectronic oscillators-based dual-function radar-communication system,Included,"The paper involves both sensing (radar) and communication, and utilizes optical technologies (optoelectronic oscillators) with integrated dual-functionality.",0.9
