paper_id,coupling_family,axis_x,axis_y,method,evidence,full_reasoning
O_ISAC_029,waveform_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is presented in the provided text.,"The authors propose a photonic-based THz ISAC system with full-photonic direct LFM reception and de-chirping for fiber-wireless networks. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s. However, no explicit trade-off formulation is presented in the provided text."
O_ISAC_029,waveform_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is presented in the provided text.,"The authors propose a photonic-based THz ISAC system with full-photonic direct LFM reception and de-chirping for fiber-wireless networks. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s. However, no explicit trade-off formulation is presented in the provided text."
O_ISAC_001,waveform_coupling,modulation_index,EVM,NONE,"The results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM.","The authors discuss the trade-off between modulation index and system performance in terms of EVM, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_001,waveform_coupling,modulation index,EVM,NONE,"The results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM.","The authors discuss the trade-off between modulation index and system performance in terms of EVM, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_002,waveform_coupling,NONE detected,NONE detected,NONE detected,"The photonic THz-ISAC system needs to effectively balance target sensing and information transmission, each imposing distinct requirements on waveform modulation, transmission power, and bandwidth.","The authors discuss the integration of sensing and communication in photonic terahertz systems, but do not explicitly formulate a trade-off between communication and sensing metrics. However, they mention the need to balance target sensing and information transmission, each imposing distinct requirements on waveform modulation, transmission power, and bandwidth."
O_ISAC_002,resource_coupling,NONE detected,NONE detected,NONE detected,Waveform design must integrate these considerations.,"The authors discuss the integration of sensing and communication in photonic terahertz systems, but do not explicitly formulate a trade-off between communication and sensing metrics. However, they mention the need to balance target sensing and information transmission, each imposing distinct requirements on waveform modulation, transmission power, and bandwidth."
O_ISAC_002,waveform_coupling,NONE detected,NONE detected,NONE detected,"The paper focuses on integrated waveform design, optical coherent fusion processing, and algorithms to enhance communication capabilities and sensing performance, but does not provide an explicit trade-off formulation.","The authors discuss the integration of sensing and communication in photonic terahertz systems, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_003,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is found in the provided text.,"The authors analyze the visible light-based integrated sensing and communication channel characteristics in a vehicle-to-vehicle scenario, focusing on monostatic sensing and bi-static sensing modes. However, no explicit trade-off formulation is detected between communication and sensing metrics."
O_ISAC_003,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is found in the provided text.,"The authors analyze the channel characteristics of visible light-based ISAC in a V2V scenario, focusing on mono-static and bi-static sensing modes. They investigate the channel impulse response, path loss, and RMS delay spread, but do not formulate an explicit trade-off between communication and sensing metrics."
O_ISAC_004,hardware_coupling,NONE detected,NONE detected,NONE detected,"The system integrates optical fiber sensing and telecommunication using the same optical fiber infrastructure, but no explicit trade-off is formulated.","The authors demonstrate an adiabatic-tapered few-mode-fiber-based system for integrating sensing and telecommunication. However, no explicit trade-off formulation is provided between communication and sensing metrics."
O_ISAC_004,hardware_coupling,NONE detected,NONE detected,NONE detected,The system integrates optical fiber sensing and telecommunication using the same optical fiber infrastructure.,"The authors propose an adiabatic-tapered few-mode-fiber-based system for integrating sensing and telecommunication functions. However, no explicit trade-off formulation is presented, and the performance metrics of sensing (salinity sensitivity) and telecommunication (transmission rate) are reported separately without a direct comparison or optimization."
O_ISAC_005,resource_coupling,UAV's sum-throughput,FSO backhaul capacity,reinforcement learning,"The optimization problem is formulated to enhance the edge users' total network capacity as follows (P0): maxΛm,Ωm Φm(Ωm, Λm) + ΦgE(Λm)","The authors formulate a joint optimization in Section III, trading off the UAV's sum-throughput against the FSO backhaul capacity using reinforcement learning."
O_ISAC_005,algorithmic_coupling,UAV's directional antenna beamwidth,bandwidth allocation,reinforcement learning,"The UAV agent uses this method to iteratively adjust its beamwidth and bandwidth allocation by updating the Q values using Q(s_t, a_t) ← Q(s_t, a_t) + α [r_t+1 + ν max_a Q(s_t', a_t') - Q(s_t, a_t)]","The authors formulate a joint optimization in Section III, trading off the UAV's sum-throughput against the FSO backhaul capacity using reinforcement learning."
O_ISAC_005,resource_coupling,UAV's sum-throughput,FSO backhaul capacity,reinforcement_learning,"The optimization problem is formulated to enhance the edge users' total network capacity as follows (P0): max_{Λ_m,Ω_m} Φ_m(Ω_m,Λ_m) + Φ_gE(Λ_m)","The authors formulate a joint optimization in Section III, trading off the UAV's sum-throughput against the FSO backhaul capacity using reinforcement learning."
O_ISAC_005,algorithmic_coupling,UAV's directional antenna beamwidth,bandwidth allocation,reinforcement_learning,"The UAV agent uses this method to iteratively adjust its beamwidth and bandwidth allocation by updating the Q values using Q(s_{t+1}, a_{t+1}) ← Q(s_t, a_t) + α [r_{t+1} + ν max_a Q(s'_t, a'_t)]","The authors formulate a joint optimization in Section III, trading off the UAV's sum-throughput against the FSO backhaul capacity using reinforcement learning."
O_ISAC_022,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a joint visible light communication and sensing system, but do not provide an explicit trade-off formulation.","The authors propose a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. However, they do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_022,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a joint visible light communication and sensing system, but no explicit trade-off formulation is provided.","The authors propose a joint visible light communication and sensing system using m-CAP modulation and RSS-based trilateration. However, no explicit trade-off formulation is provided in the given text."
O_ISAC_025,resource_coupling,NONE detected,NONE detected,NONE detected,"The paper discusses the optimization of the optical transport network for ISAC services, but does not provide an explicit trade-off formulation between communication and sensing metrics.","The authors propose an architecture for Integrated Sensing and Communication (ISAC) services using an optical transport network. They formulate an optimization problem to minimize network links and identify optimal routing and capacity allocation policies under communication and sensing traffic requests. However, no explicit trade-off formulation between communication and sensing metrics is provided."
O_ISAC_025,resource_coupling,NONE detected,NONE detected,NONE detected,"The authors optimize network utilization and sensing accuracy, but do not explicitly formulate a trade-off between communication and sensing metrics.","The authors propose an architecture for Integrated Sensing and Communication (ISAC) services using an optical transport network. They formulate an optimization problem to minimize network links and identify optimal routing and capacity allocation policies under communication and sensing traffic requests. However, no explicit trade-off formulation is provided."
O_ISAC_048,resource_coupling,spectral_efficiency,Fisher_information,iterative_algorithm,"The optimization problem is formulated as (P1): max_{b,\tilde{P}(k)} C(b,\tilde{P}(k)) s.t. I(b,\tilde{P}(k)) \ge \varsigma^2","The authors formulate a joint optimization in Section III, trading off spectral efficiency against Fisher information using an iterative algorithm. The optimization problem is decomposed into two sub-problems to obtain a concise solution."
O_ISAC_048,multi_objective,spectral_efficiency,Fisher_information,weighted_sum,"The objective of (P1-2) is a concave function of \tilde{P}(k), while the constraints are affine functions of \tilde{P}(k)","The authors formulate a joint optimization in Section III, trading off spectral efficiency against Fisher information using an iterative algorithm. The optimization problem is decomposed into two sub-problems to obtain a concise solution."
O_ISAC_048,multi_objective,spectral_efficiency,Fisher_information,iterative_algorithm,"The optimization problem (P1) is formulated as a maximization of spectral efficiency and a minimization of the negative Fisher information, which is solved using an iterative algorithm.","The authors formulate a joint optimization in Section III, trading off spectral efficiency against Fisher information using an iterative algorithm. The optimization problem (P1) is decomposed into two sub-problems (P1-1) and (P1-2) to obtain a concise solution."
O_ISAC_023,algorithmic_coupling,spectral_efficiency,sensing_precision,block_coordinate_descent,"To solve the complicated problem of (P1), we adopt a BCD algorithm as follows.","The authors formulate a joint optimization in Section III, trading off spectral efficiency against sensing precision using a block coordinate descent algorithm. However, the explicit trade-off formulation between communication and sensing metrics is not provided. Instead, the optimization problem (P1) is defined with a communication-centric objective and a sensing-centric constraint."
O_ISAC_023,multi_objective,spectral_efficiency,Fisher_information,block_coordinate_descent,"We adopt a BCD algorithm to solve the joint power allocation problem, which alternately solves the subproblems for DC bias and power allocation on subcarriers.","The authors formulate a joint optimization in Section III, trading off spectral efficiency against Fisher information using a block coordinate descent algorithm."
O_ISAC_024,resource_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is presented in the paper.,"The authors propose an ISAC scheme that leverages forward communication to capture probe distortion, followed by precompensation at the sensing transmission end. However, no explicit trade-off formulation is presented, and the impact of sensing on communication is only discussed in terms of the sensing-to-telecom power ratio (STPR) on the sensing and communication performance."
O_ISAC_024,resource_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is presented in the paper.,"The authors propose an ISAC scheme that leverages forward communication to capture probe distortion, followed by pre-compensation at the sensing transmission end. However, no explicit trade-off formulation is presented, and the impact of sensing on communication is only discussed in terms of bit error rate (BER) and signal-to-noise ratio (SNR) improvements."
O_ISAC_012,waveform_coupling,NONE detected,NONE detected,NONE detected,"The scheme uses phase-coded FMCW for both sensing and communication, but no explicit trade-off is formulated.","The authors propose a phase-coded FMCW scheme for optical integrated sensing and communication. However, there is no explicit trade-off formulation between communication and sensing metrics."
O_ISAC_012,waveform_coupling,NONE detected,NONE detected,NONE detected,"The scheme uses phase-coded FMCW for both sensing and communication, but no explicit trade-off is formulated.","The authors propose a phase-coded FMCW scheme for optical integrated sensing and communication. However, there is no explicit trade-off formulation between communication and sensing metrics."
O_ISAC_015,multi_objective,sum_rate,mutual_information,weighted_sum,Figure 5 shows the trade-off between MI and sum rate for different user priorities.,"The authors formulate a joint optimization in Section III, trading off aggregate sum rate against sensing mutual information using a weighted sum approach implicitly through the maximization of the sum of data rate and MI. The trade-off is explicitly shown in Figure 5, where the priority of communication users is varied, and the performance of sensing (MI) and communication (sum rate) is evaluated."
O_ISAC_015,multi_objective,sum_rate,mutual_information,weighted_sum,Fig. 5 shows the trade-off between MI and sum rate for different user priorities.,"The authors formulate a joint optimization in Section III, trading off aggregate sum rate against sensing mutual information using a weighted sum approach implicitly through the priority of communication users."
O_ISAC_030,waveform_coupling,NONE detected,NONE detected,NONE detected,"The system uses a multi-carrier design to embed spatial information into the VLC data stream, but no explicit trade-off formulation is presented.","The authors propose ReflexGest, a system that integrates hand gesture recognition (HGR) and visible light communication (VLC) using a VLC-capable lamp. The system uses a photodiode (PD) to capture the reflected light intensity and a multi-carrier design to embed spatial information into the VLC data stream. Two HGR algorithm designs are proposed: bReflexGest, which uses a hardware trick with a dark pad to avoid the cross-scene problem, and cReflexGest, which uses an adversarial domain adaptation scheme to handle the cross-scene problem. However, no explicit trade-off formulation is presented in the provided text."
O_ISAC_030,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a multi-carrier design to embed spatial information into VLC data stream, but do not explicitly formulate a trade-off between communication and sensing metrics.","The authors propose ReflexGest, a system that integrates hand gesture recognition (HGR) with visible light communication (VLC) using a VLC-capable lamp. The system uses a photodiode (PD) to capture the reflected light intensity, which is then processed to extract hand gesture features. The authors evaluate the performance of ReflexGest under different experiment setups and demonstrate its ability to recognize hand gestures accurately. However, the text does not explicitly formulate a trade-off between communication and sensing metrics, such as rate vs CRB or BER vs Pd."
O_ISAC_008,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a QPSK-FMCW joint waveform design, but do not formulate an explicit trade-off between communication and sensing metrics.","The authors propose a joint waveform design and a thinned ring antenna array for an integrated sensing and communication Lidar system. However, no explicit trade-off formulation is presented in the provided text."
O_ISAC_008,hardware_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a thinned ring antenna array design, but do not formulate an explicit trade-off between communication and sensing metrics.","The authors propose a joint waveform design and a thinned ring antenna array for an integrated sensing and communication Lidar system. However, no explicit trade-off formulation is presented in the provided text."
O_ISAC_008,waveform_coupling,NONE detected,NONE detected,NONE detected,The QPSK-FMCW joint waveform design is proposed to implement simultaneous sensing and communication.,"The authors propose a joint waveform design for ISAC, but do not explicitly formulate a trade-off between communication and sensing metrics. However, the design of the QPSK-FMCW joint waveform and the thinned ring antenna array can be seen as a form of implicit trade-off between communication rate, sensing accuracy, and steering range."
O_ISAC_008,hardware_coupling,NONE detected,NONE detected,NONE detected,The thinned ring antenna array with blazed grating structure is adopted to improve the steering range of the OPA-based Lidar system.,"The authors propose a joint waveform design for ISAC, but do not explicitly formulate a trade-off between communication and sensing metrics. However, the design of the QPSK-FMCW joint waveform and the thinned ring antenna array can be seen as a form of implicit trade-off between communication rate, sensing accuracy, and steering range."
O_ISAC_006,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation found in the text.,"The authors discuss various integrated sensing and communication (ISAC) schemes in optical fiber, including those based on forward transmitted light and backscattered light. However, they do not explicitly formulate trade-offs between communication and sensing metrics."
O_ISAC_006,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is found in the provided text.,"The authors discuss various integrated sensing and communication (ISAC) schemes in optical fiber, including those based on forward transmitted light and backscattered light. However, they do not explicitly formulate trade-offs between communication and sensing metrics."
O_ISAC_009,waveform_coupling,NONE detected,NONE detected,NONE detected,"The paper proposes a joint design of Visible Light Positioning and Communication (VLPC) using DCO-OFDM, but does not formulate an explicit trade-off between communication and sensing metrics.","The authors propose a new VLPC scheme using DCO-OFDM, where OFDM radar is applied to improve the resolution and quality of estimated Channel Impulse Response (CIRs). However, there is no explicit trade-off formulation between communication and sensing metrics."
O_ISAC_009,waveform_coupling,NONE detected,NONE detected,NONE detected,"The authors propose a joint design of Visible Light Positioning and Communication (VLPC) using DCO-OFDM, but do not formulate an explicit trade-off between communication and sensing metrics.","The authors propose a new VLPC scheme using DCO-OFDM, where OFDM radar is applied to improve the resolution and quality of estimated Channel Impulse Response (CIRs). However, there is no explicit trade-off formulation between communication and sensing metrics."
O_ISAC_010,hardware_coupling,NONE detected,NONE detected,NONE detected,"The paper focuses on the experimental demonstration of high-speed DMT signal and power-over-fiber simultaneous transmission, without explicitly formulating trade-offs between communication and sensing metrics.","The authors demonstrate the simultaneous transmission of 60 W PoF signal with 117 Gbit/s and 140 Gbit/s high-speed DMT signal in an IM-DD system over 1 km 7-core multicore fiber. However, no explicit trade-off formulation is provided between communication and sensing metrics."
O_ISAC_010,hardware_coupling,NONE detected,NONE detected,NONE detected,"The paper focuses on the experimental demonstration of high-speed signal light and high-power energy light co-transmission system using a 1-km 7-core MCF, but does not formulate an explicit trade-off between communication and sensing metrics.","The authors demonstrate the simultaneous transmission of 60 W PoF signal with 117 Gbit/s and 140 Gbit/s high-speed DMT signal in an IM-DD system over 1 km 7-core multicore fiber. However, no explicit trade-off formulation is provided between communication and sensing metrics."
O_ISAC_028,algorithmic_coupling,BER,OSNR,NONE,"The authors demonstrate an OSNR gain of 1.5 dB at the 7% HD-FEC threshold compared to the conventional method, but do not explicitly formulate a trade-off between BER and OSNR.",The authors propose a pairwise coding (PWC) scheme to improve the sensitivity of a symmetric carrier-assisted differential detection (S-CADD) receiver. The PWC scheme pairs subcarriers with different SNRs to alleviate the color SNR effect caused by the intrinsic transfer function of the S-CADD receiver. The authors simulate the transmission of a 256 Gb/s 64 Gbaud 16-ary quadrature amplitude modulation (16-QAM) orthogonal frequency division multiplexing (OFDM) signal over 80 km standard single mode fiber (SSMF) and demonstrate an OSNR gain of 1.5 dB at the 7% HD-FEC threshold compared to the conventional method.
O_ISAC_028,algorithmic_coupling,BER,OSNR,pairwise_coding,The PWC scheme can achieve a lower BER and an OSNR gain of 1.5 dB at the 7% HD-FEC threshold compared to the conventional method.,The authors propose a pairwise coding (PWC) scheme to improve the sensitivity of a symmetric carrier-assisted differential detection (S-CADD) receiver. The PWC scheme pairs subcarriers with different SNRs to alleviate the color SNR effect caused by the intrinsic transfer function of the S-CADD receiver. The authors simulate the transmission of a 256 Gb/s 64 Gbaud 16-ary quadrature amplitude modulation (16-QAM) orthogonal frequency division multiplexing (OFDM) signal over 80 km standard single mode fiber (SSMF) and demonstrate an OSNR gain of 1.5 dB at the 7% HD-FEC threshold compared to the conventional method.
O_ISAC_021,resource_coupling,DC bias,power allocation for subcarriers,NONE detected,A trade-off exists between the DC bias and the power on other subcarriers under the total power constraint.,"The authors discuss the trade-off between communication and sensing performances in the context of O-ISAC, but do not provide an explicit trade-off formulation. However, they mention the trade-off between DC bias and power allocation for subcarriers in DCO-OFDM, and the trade-off between communication and sensing functionalities in the power allocation for subcarriers."
O_ISAC_021,resource_coupling,communication,sensing,NONE detected,The power allocation on other subcarriers also embodies the trade-off between communication and sensing functionalities.,"The authors discuss the trade-off between communication and sensing performances in the context of O-ISAC, but do not provide an explicit trade-off formulation. However, they mention the trade-off between DC bias and power allocation for subcarriers in DCO-OFDM, and the trade-off between communication and sensing functionalities in the power allocation for subcarriers."
O_ISAC_021,waveform_coupling,BER,RMSE for target distance,NONE detected,"Figure 4 indicates that the BER is affected by both the DC bias and the noise at the receiver, while the RMSE can converge to an asymptotic region.","The authors discuss the trade-off between communication and sensing performances in the context of O-ISAC, but do not provide an explicit trade-off formulation. However, they mention the trade-off between DC bias and power allocation for subcarriers in DCO-OFDM, and the trade-off between communication and sensing functionalities in the power allocation for subcarriers."
O_ISAC_021,resource_coupling,communication_rate,sensing_precision,trade-off_formulation,"The optical band provides even narrower beams than the millimeter-wave with the same aperture, and therefore different user devices and access points can be separated finely in the spatial domain.",The authors discuss the trade-off between communication and sensing in the context of Optical Integrated Sensing and Communication (O-ISAC). They highlight the importance of waveform design and resource allocation in achieving a balance between communication rate and sensing precision. The trade-off is formulated in terms of the bit error rate (BER) and the root mean square error (RMSE) for target distance estimation.
O_ISAC_021,waveform_coupling,BER,RMSE,joint_optimization,A joint optimization problem can be formulated to optimize the DC bias and the power allocation for subcarriers simultaneously.,The authors discuss the trade-off between communication and sensing in the context of Optical Integrated Sensing and Communication (O-ISAC). They highlight the importance of waveform design and resource allocation in achieving a balance between communication rate and sensing precision. The trade-off is formulated in terms of the bit error rate (BER) and the root mean square error (RMSE) for target distance estimation.
O_ISAC_021,multi_objective,communication_performance,sensing_performance,Pareto_optimization,"The optimal values of chirp rate and modulation index are restricted on an ellipse determined by the sensing constraint, and an elliptical search algorithm is proposed to obtain these optimal values.",The authors discuss the trade-off between communication and sensing in the context of Optical Integrated Sensing and Communication (O-ISAC). They highlight the importance of waveform design and resource allocation in achieving a balance between communication rate and sensing precision. The trade-off is formulated in terms of the bit error rate (BER) and the root mean square error (RMSE) for target distance estimation.
O_ISAC_019,waveform_coupling,NONE detected,NONE detected,NONE detected,The system employs phase modulation for downlink transmission and intensity modulation for uplink transmission.,"The authors propose a full-duplex ISAC system based on microwave photonics, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_019,hardware_coupling,NONE detected,NONE detected,NONE detected,The system uses a shared optical carrier for both downlink and uplink transmissions.,"The authors propose a full-duplex ISAC system based on microwave photonics, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_019,waveform_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is mentioned in the text.,"The authors propose a microwave photonics-based full-duplex ISAC system architecture. However, no explicit trade-off formulation is detected in the provided text."
O_ISAC_027,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation between communication and sensing metrics is found in the paper.,"The authors propose an all-optical fiber sensor for seawater salinity monitoring, but do not explicitly formulate a trade-off between communication and sensing metrics. However, the paper discusses the sensor's performance in terms of refractive index sensitivity and salinity sensitivity, which could be related to communication metrics such as signal-to-noise ratio or bandwidth."
O_ISAC_027,NONE detected,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation between communication and sensing metrics is found in the provided text.,"The authors propose an all-optical fiber sensor for seawater salinity monitoring, but do not explicitly formulate a trade-off between communication and sensing metrics. However, they do mention the potential for further development to enable the mixture of communication and sensing."
O_ISAC_026,waveform_coupling,NONE detected,NONE detected,NONE detected,"The system combines SCM and LFM signals by frequency division multiplexing, but does not explicitly trade off communication and sensing performance.","The authors propose a photonic-based MMW fiber-wireless ISAC system at W-band with an integrated waveform, but do not explicitly formulate a trade-off between communication and sensing metrics."
O_ISAC_026,waveform_coupling,NONE detected,NONE detected,NONE detected,"The system combines SCM and LFM signals using frequency division multiplexing, but does not explicitly formulate a trade-off between communication and sensing metrics.","The authors propose a photonic-based ISAC system with an integrated waveform, but do not explicitly formulate a trade-off between communication and sensing metrics. However, they mention the possibility of adapting a flexible waveform to realize the trade-off between sensing and communication in future work."
O_ISAC_018,waveform_coupling,NONE detected,NONE detected,NONE detected,"The system integrates distributed sensing and RoF communication using a continuous low-frequency LFM carrier, but no explicit trade-off is formulated.","The authors propose an ultra-simple RoF system that achieves the coexistence of distributed sensing and telecommunication. However, there is no explicit trade-off formulation between communication and sensing metrics in the provided text."
O_ISAC_018,waveform_coupling,NONE detected,NONE detected,NONE detected,The system integrates distributed sensing and RoF communication using a single laser and a commercially available coherent driver module (CDM).,"The authors propose an ultra-simple RoF system that integrates distributed sensing and RoF communication. However, there is no explicit trade-off formulation between communication and sensing metrics in the provided text."
O_ISAC_016,waveform_coupling,NONE detected,NONE detected,NONE detected,The system integrates high-speed real-time communication and high-resolution offline sensing using a photonic sub-THz ISAC transmitter and separate receivers for communication and radar.,"The authors demonstrate a photonic sub-THz ISAC system with real-time 251.03-Gbps communication rate and offline 2.5-cm sensing resolution. However, no explicit trade-off formulation is provided between communication and sensing metrics."
O_ISAC_016,resource_coupling,NONE detected,NONE detected,NONE detected,No explicit trade-off formulation is provided in the text.,"The authors demonstrate a photonic sub-THz ISAC system with real-time 251.03-Gbps communication rate and offline 2.5-cm sensing resolution. However, no explicit trade-off formulation is provided between communication and sensing metrics."
