study_id,citation,dimension,score_before_cap,score_final,cap_codes,inputs_json,record_trace_json,method_version,source_workbook_sha256
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,technical_relevance,2,2,,"{""modality"":""VLC_LiFi"",""communication_present"":1,""sensing_present"":1,""integration_mechanisms"":[""shared_hardware"",""shared_application_scenario""],""strong_shared_mechanism"":true,""six_g_relevance"":""inferred""}","[{""record_id"":""EVI-B20-SCR00001-002"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=2; section_heading=1. Materials Synthesis and Characterizations; figure_id=Figure 1a""},{""record_id"":""EVI-B20-SCR00001-006"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=2. High-Sensitivity NIR OPDs for Photoplethysmography Measurement; figure_id=Figure 2h-i; equation_id=Equation 5""},{""record_id"":""EVI-B20-SCR00001-007"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a-b""},{""record_id"":""EVI-B20-SCR00001-008"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3d-f""},{""record_id"":""EVI-B20-SCR00001-009"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance of Flexible O-ISAC; figure_id=Figure 4a-b""},{""record_id"":""EVI-B20-SCR00001-011"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=7; section_heading=5. Applications of Flexible O-ISAC System; figure_id=Figure 5a-e""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,metric_clarity,2,2,,"{""domains"":{""communication"":{""rows"":4,""reported_rows"":3,""operational_rows"":3,""complete_rows"":3,""complete_ratio"":0.75,""unresolved_conflicts"":0},""sensing"":{""rows"":8,""reported_rows"":7,""operational_rows"":7,""complete_rows"":7,""complete_ratio"":0.875,""unresolved_conflicts"":0}},""both_domains"":true,""minimum_domain_complete_ratio"":0.75,""quarantined_metric_claims"":0}","[{""record_id"":""MET-B20-SCR00001-005"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a""},{""record_id"":""MET-B20-SCR00001-006"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3b""},{""record_id"":""MET-B20-SCR00001-007"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4e""},{""record_id"":""MET-B20-SCR00001-009"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6;8; section_heading=4. Device Architecture; 6. Conclusion""},{""record_id"":""MET-B20-SCR00001-001"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=3; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2c""},{""record_id"":""MET-B20-SCR00001-002"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=4; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2d""},{""record_id"":""MET-B20-SCR00001-003"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=4; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2e""},{""record_id"":""MET-B20-SCR00001-004"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2h-i; equation_id=Equation 5""},{""record_id"":""MET-B20-SCR00001-005"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a""},{""record_id"":""MET-B20-SCR00001-007"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4e""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,reporting_completeness,3,3,,"{""components"":{""modality_and_integration"":1,""shared_resource_and_functions"":1,""waveform_and_front_end"":1,""context"":1,""channel_and_hardware"":0.5,""dsp_and_design"":1,""validation"":1,""outcome_provenance"":1},""composite"":0.9375,""metric_locator_rows"":12}","[{""record_id"":""MET-B20-SCR00001-005"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a""},{""record_id"":""MET-B20-SCR00001-006"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3b""},{""record_id"":""MET-B20-SCR00001-007"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4e""},{""record_id"":""MET-B20-SCR00001-009"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6;8; section_heading=4. Device Architecture; 6. Conclusion""},{""record_id"":""MET-B20-SCR00001-001"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=3; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2c""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,validation_maturity,2,2,,"{""canonical_maturity_max"":5,""canonical_categories"":[""controlled_prototype"",""laboratory_experiment""],""field_or_deployment_outcome_by_domain"":{""communication"":false,""sensing"":false},""strong_requires_both_functions"":true}","[{""record_id"":""MET-B20-SCR00001-005"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a""},{""record_id"":""MET-B20-SCR00001-006"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3b""},{""record_id"":""MET-B20-SCR00001-007"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4e""},{""record_id"":""MET-B20-SCR00001-009"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6;8; section_heading=4. Device Architecture; 6. Conclusion""},{""record_id"":""MET-B20-SCR00001-001"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=3; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2c""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,reproducibility,2,2,,"{""P_repeatable_parameters"":0.5,""D_dataset"":1,""C_code_or_model"":0,""S_setup"":0.8333,""V_protocol_and_locator"":1,""composite"":0.6667}","[{""record_id"":""EVI-B20-SCR00001-014"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=9; section_heading=Data Availability Statement""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,benchmark_readiness,2,2,,"{""B_baseline"":1,""baseline_class"":""external_or_common"",""A_open_artifact"":1,""Pr_protocol"":0.7778,""M_comparison"":0.3333,""V_validation"":0.6667,""composite"":0.7556,""strong_guard_pass"":false}","[{""record_id"":""EVI-B20-SCR00001-014"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=9; section_heading=Data Availability Statement""},{""record_id"":""MET-B20-SCR00001-002"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=4; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2d""},{""record_id"":""MET-B20-SCR00001-008"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=7; section_heading=5. Applications of Flexible O-ISAC System; figure_id=Figure 5d""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,comparison_admissibility,1,1,phase_d_survey_use_descriptive_only_cap_1,"{""domain_counts"":{""communication"":{""direct"":0,""conditional"":0,""descriptive_or_operational"":3,""legacy_insufficient"":4},""sensing"":{""direct"":0,""conditional"":0,""descriptive_or_operational"":7,""legacy_insufficient"":8}},""survey_use_class"":""descriptive_only"",""legacy_blank_resolution"":""insufficient_information_due_legacy_extraction""}","[{""record_id"":""MET-B20-SCR00001-005"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a""},{""record_id"":""MET-B20-SCR00001-006"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3b""},{""record_id"":""MET-B20-SCR00001-007"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4e""},{""record_id"":""MET-B20-SCR00001-009"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6;8; section_heading=4. Device Architecture; 6. Conclusion""},{""record_id"":""MET-B20-SCR00001-001"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=3; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2c""},{""record_id"":""MET-B20-SCR00001-002"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=4; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2d""},{""record_id"":""MET-B20-SCR00001-003"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=4; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2e""},{""record_id"":""MET-B20-SCR00001-004"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=2. High-Sensitivity NIR OPDs; figure_id=Figure 2h-i; equation_id=Equation 5""},{""record_id"":""MET-B20-SCR00001-005"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=5; section_heading=3. High-Speed NIR OPDs for Optical Wireless Communication; figure_id=Figure 3a""},{""record_id"":""MET-B20-SCR00001-007"",""record_type"":""metric"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4e""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,limitation_transparency,2,1,author_origin_limitation_required_cap_1,"{""L_author_limitations"":0,""G_author_gaps"":1,""A_assumptions"":1,""V_validation_boundary"":0,""T_tradeoff_transparency"":1,""composite"":0.6}","[{""record_id"":""TRD-B20-SCR00001-001"",""record_type"":""tradeoff"",""source_screening_record_id"":""SCR-00001"",""locator"":""pdf_page=6; section_heading=4. Device Architecture and Optoelectronic Performance; figure_id=Figure 4c""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00001,Xia Y.; Zhang J.; Guo T.; Wang H.; Geng C.; Zhu Y.; Han R.; Yang Y.; Song G.; Wan X.; Li G.; Chen Y.. 2025. High-Speed Flexible Near-Infrared Organic Photodetectors for Self-Powered Optical Integrated Sensing and Communications,overall_evidence_contribution,2,2,,"{""dimension_scores"":{""technical_relevance"":2,""metric_clarity"":2,""reporting_completeness"":3,""validation_maturity"":2,""reproducibility"":2,""benchmark_readiness"":2,""comparison_admissibility"":1,""limitation_transparency"":1},""arithmetic_mean"":1.875,""quarantined_claims"":0,""unresolved_conflict_register_rows"":0}",[],phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
STC-SINGLETON-SCR-00002,Ou X.; Qiu Y.; Luo M.; Li J.; He X.; Gao J.; Sun F.; Zhang P.; Yang G.; Du A.; Li B.; Liu Z.; Li Z.; Xie L.; Xiao X.; Luo J.; Wang W.; Tao J.; Yang Y.. 2024. Integrated Optical Sensing and Communication (IOSAC) System Based on Hybrid-Waveguide Structures,technical_relevance,2,2,,"{""modality"":""fiber"",""communication_present"":1,""sensing_present"":1,""integration_mechanisms"":[""shared_hardware"",""shared_optical_carrier"",""shared_link_or_channel"",""joint_design_or_optimization""],""strong_shared_mechanism"":true,""six_g_relevance"":""inferred""}","[{""record_id"":""EVI-B20-SCR00002-002"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00002"",""locator"":""pdf_page=2; section_heading=1. Introduction; 2. Results and Discussion; figure_id=Figure 1""},{""record_id"":""EVI-B20-SCR00002-007"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00002"",""locator"":""pdf_page=5; section_heading=2. Results and Discussion; figure_id=Figure 5a""},{""record_id"":""EVI-B20-SCR00002-008"",""record_type"":""evidence"",""source_screening_record_id"":""SCR-00002"",""locator"":""pdf_page=5; section_heading=2. Results and Discussion; figure_id=Figure 5b-d""}]",phase_e_tqaf_deterministic_v1.0_2026-08-04,c1b3b89789c6ed3e20da5a6283e480875c1913e21af88ff59ac747a6aa949348
