item,topic,overall_status,manuscript_text_state,active_tex_carrier_state,remaining_gate
1,Title,READY,PRESENT,ACTIVE,None.
2,Abstract,READY,PRESENT,ACTIVE,None.
3,Rationale,READY,PRESENT,ACTIVE,None.
4,Objectives,READY,PRESENT,ACTIVE,None.
5,Eligibility criteria,READY,PRESENT,ACTIVE,None.
6,Information sources,READY,PRESENT,ACTIVE,None; retain the disclosed Taylor & Francis mapping limitation.
7,Search strategy,READY,PRESENT,ACTIVE,None; do not invent the two unreconstructed mappings.
8,Selection process,READY,PRESENT,ACTIVE,None.
9,Data collection process,READY,PRESENT,ACTIVE,None.
10a,Data items: outcomes,READY,PRESENT,ACTIVE,None.
10b,Data items: other variables,READY,PRESENT,ACTIVE,None.
11,Study risk-of-bias assessment,JUSTIFIED_NA,EXPLICIT_NONPERFORMANCE,ACTIVE,"None, provided TQAF is never relabelled as risk of bias."
12,Effect measures,READY,PRESENT,ACTIVE,None.
13a,Synthesis eligibility,READY,PRESENT,ACTIVE,None.
13b,Data preparation for synthesis,READY,PRESENT,ACTIVE,None.
13c,Tabulation and visual display methods,PARTIAL,PRESENT,PARTIAL,Materialize Figures 1--8 and rerun rendered/page-budget QA.
13d,Synthesis methods,READY,PRESENT,ACTIVE,None.
13e,Exploration of heterogeneity,READY,PRESENT,ACTIVE,None.
13f,Sensitivity analysis methods,JUSTIFIED_NA,EXPLICIT_NONPERFORMANCE,ACTIVE,None.
14,Assessment of missing-results bias,JUSTIFIED_NA,EXPLICIT_NONPERFORMANCE,ACTIVE,None; retain that bias cannot be excluded.
15,Certainty assessment methods,READY,PRESENT,ACTIVE,None; never call these GRADE ratings.
16a,Study selection results,PARTIAL,PRESENT,PARTIAL,"Materialize Figure 3 with records, reports, and studies distinct."
16b,Excluded studies,READY,PRESENT,ACTIVE,None for local submission packaging.
17,Included study characteristics,READY,PRESENT,ACTIVE,None.
18,Risk of bias in studies,JUSTIFIED_NA,EXPLICIT_NONPERFORMANCE,ACTIVE,None; retain explicit nonapplicability and do not claim RoB results.
19,Individual study results,READY,PRESENT,ACTIVE,None for local submission packaging.
20a,Contributing-study characteristics,READY,PRESENT,ACTIVE,None for structured narrative synthesis; conventional RoB remains explicitly not assessed.
20b,Statistical synthesis results,JUSTIFIED_NA,EXPLICIT_NONPERFORMANCE,ACTIVE,None.
20c,Investigations of heterogeneity,READY,PRESENT,ACTIVE,None; interpret patterns descriptively rather than causally.
20d,Sensitivity-analysis results,JUSTIFIED_NA,EXPLICIT_NONPERFORMANCE,ACTIVE,None.
21,Reporting-bias assessment results,JUSTIFIED_NA,EXPLICIT_NONPERFORMANCE,ACTIVE,None; retain the limitation that bias cannot be excluded.
22,Certainty of evidence,READY,PRESENT,ACTIVE,None; preserve review-specific/non-GRADE language.
23a,Interpretation in context,READY,PRESENT,ACTIVE,None.
23b,Limitations of evidence,READY,PRESENT,ACTIVE,None.
23c,Limitations of review processes,READY,PRESENT,ACTIVE,None.
23d,Implications,READY,PRESENT,ACTIVE,None.
24a,Registration,READY,PRESENT,ACTIVE,None.
24b,Protocol access,READY,PRESENT,ACTIVE,None for local submission packaging; public deposition remains an Item 27 release gate.
24c,Protocol amendments,READY,PRESENT,ACTIVE,None for local submission packaging.
25,Support,READY,PRESENT,ACTIVE,Integrate the longer role statement in final front matter when the driver is assembled; the PRISMA content itself is complete.
26,Competing interests,READY,PRESENT,ACTIVE,None.
27,"Availability of data, code, and materials",READY,PRESENT,ACTIVE,None for submission package; public repository release is optional and external.
