"conflict_type","concept","variant_A","variant_B","paper_A_id","paper_B_id","year_A","year_B","title_A","title_B","excerpt_A","excerpt_B","analysis","normalization_proposal","confidence","relevance_score","combined_score"
"Fragmentation","Performance Metric","Fiber spatial resolution (m)","FSO range resolution (m)","O_ISAC_013","O_ISAC_035","2025","2025","Distributed Vibration Sensor","OCDM-Based FMCW for FSO","Spatial resolution of 10m","Range resolution of 1.5cm","Same concept, different terminology across modalities.","Standardize to unified sensing resolution metric","0.85","0.4","1.25"
"Fragmentation","SNR Definition","Optical SNR (OSNR)","Electrical SNR","O_ISAC_028","O_ISAC_009","2023","2025","SCADD Receiver","VLC OFDM Positioning","OSNR = 32dB","Electrical SNR","Inconsistent SNR definitions across domains.","Standardize optical vs electrical SNR reporting","0.85","0.4","1.25"
"Metric","Ranging Accuracy","RMSE","CRB","O_ISAC_009","O_ISAC_034","2025","2023","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'CRB'.","Report both RMSE and CRB for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","RMSE","BCRB","O_ISAC_009","O_ISAC_056","2025","2024","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Optical ISAC: Fundamental Performance Limits and Transceiver Design","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'BCRB'.","Report both RMSE and BCRB for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","RMSE","localization error","O_ISAC_009","O_ISAC_009","2025","2025","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Integrated Positioning and Communication Relying on Wireless Optical OFDM","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt =...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'localization error'.","Report both RMSE and localization error for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","RMSE","sensing accuracy","O_ISAC_009","O_ISAC_054","2025","2024","Integrated Positioning and Communication Relying on Wireless Optical OFDM","Optical Integrated Sensing and Communication With Light-Emitting Diode","functionality (LoS scenario): Ranging RMSE of VLPC-D-CO-OFDM for LED-User Pair A in LoS-only scenario. The subfigures are (a) M =...","\tag{21}$$ We use the MSE of the coordinates to measure the sensing accuracy, giving $$MSE_P = \mathbb{E}\left\{\|\widehat{\boldsymbol{p}}_D - \boldsymbol{p}_D\|^2\right\}. \tag{22}$$...","Inconsistent Ranging Accuracy evaluation: 'RMSE' vs 'sensing accuracy'.","Report both RMSE and sensing accuracy for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","CRB","BCRB","O_ISAC_034","O_ISAC_056","2023","2024","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","Optical ISAC: Fundamental Performance Limits and Transceiver Design","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased...","Inconsistent Ranging Accuracy evaluation: 'CRB' vs 'BCRB'.","Report both CRB and BCRB for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","CRB","localization error","O_ISAC_034","O_ISAC_009","2023","2025","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","Integrated Positioning and Communication Relying on Wireless Optical OFDM","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt =...","Inconsistent Ranging Accuracy evaluation: 'CRB' vs 'localization error'.","Report both CRB and localization error for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","CRB","sensing accuracy","O_ISAC_034","O_ISAC_054","2023","2024","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sens","Optical Integrated Sensing and Communication With Light-Emitting Diode","sensing performance of MLE with enough sampling points. If sR (t) is sampled at the rate of Rs, the CRB...","\tag{21}$$ We use the MSE of the coordinates to measure the sensing accuracy, giving $$MSE_P = \mathbb{E}\left\{\|\widehat{\boldsymbol{p}}_D - \boldsymbol{p}_D\|^2\right\}. \tag{22}$$...","Inconsistent Ranging Accuracy evaluation: 'CRB' vs 'sensing accuracy'.","Report both CRB and sensing accuracy for comparability","0.85","0.2","1.05"
"Metric","Ranging Accuracy","BCRB","localization error","O_ISAC_056","O_ISAC_009","2024","2025","Optical ISAC: Fundamental Performance Limits and Transceiver Design","Integrated Positioning and Communication Relying on Wireless Optical OFDM","an least squares (LS) problem with an analytical solution [21]. C. BCRB-Based Approach: OB **Theorem 3.** BCRB for any unbiased...","m2 area. ![](_page_13_Figure_6.jpeg) Fig. 18. Positioning functionality: Average localization error of VLPC-DCO-OFDM in multipath scenario, where we have Pt =...","Inconsistent Ranging Accuracy evaluation: 'BCRB' vs 'localization error'.","Report both BCRB and localization error for comparability","0.85","0.2","1.05"
