duplicate_group_id,match_type,doi,title,source_a_file,source_a_row,source_a_path,source_b_file,source_b_row,source_b_path,evidence_scope
RAWDOI_001,doi_match,10.1109/access.2023.3319083,Qualitative Survey on Artificial Intelligence Integrated Blockchain Approach for 6G and Beyond,export2025_ieee_like,22,data/srch_logs/export2025.12.28-05.30.23.csv,scopus_export,334,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_002,doi_match,10.1109/lpt.2025.3593343,Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network,export2025_ieee_like,9,data/srch_logs/export2025.12.28-05.30.23.csv,scopus_export,136,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_003,doi_match,10.1109/ojcoms.2020.3010270,"6G Wireless Communication Systems: Applications, Requirements, Technologies, Challenges, and Research Directions",export2025_ieee_like,27,data/srch_logs/export2025.12.28-05.30.23.csv,scopus_export,371,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_004,doi_match,10.1109/ojcoms.2025.3545896,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,export2025_ieee_like,6,data/srch_logs/export2025.12.28-05.30.23.csv,scopus_export,172,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_005,doi_match,10.1109/tsp.2024.3383285,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits,export2025_ieee_like,7,data/srch_logs/export2025.12.28-05.30.23.csv,scopus_export,275,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_006,doi_match,10.1364/ofc.2025.th2a.23,Photonic THz Sensing-assisted Multipath Channel Estimation for ISAC,scopus_export,140,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,scopus_export,160,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_007,doi_match,10.1364/ofc.2025.th2a.27,Photonics-Aided THz ISAC System Based on A Spectral Overlapping Multi-Carrier 16QAM-LFM Waveform,scopus_export,144,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,scopus_export,158,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_008,doi_match,10.1364/ofc.2025.tu2k.4,Integrated Sensing and Communications using External Cavity Laser with Laser Frequency Comb,scopus_export,147,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,scopus_export,156,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_009,doi_match,10.1364/ofc.2025.tu3c.3,Integrated Sensing and Communications for Metropolitan Environments,scopus_export,141,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,scopus_export,157,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_010,doi_match,10.1364/ofc.2025.w1h.2,Reconfigurable Networks for Indoor Optical Wireless Communications using Polarization-Controlled Dual-Function Metasurfaces,scopus_export,143,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,scopus_export,159,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_011,doi_match,10.1364/ofc.2025.w2a.48,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,scopus_export,142,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,scopus_export,161,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
RAWDOI_012,doi_match,10.1364/ofc.2025.w4f.6,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,scopus_export,145,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,scopus_export,162,data/srch_logs/scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,available_raw_exports_only
