paper_id,subdomain_label,addresses_G1,addresses_G2,addresses_G3,addresses_G4,addresses_G5,addresses_G6,addresses_G7,evidence_excerpt,locator
O_ISAC_003,VLC_positioning,No,Yes,Yes,No,Yes,Yes,No,RMS DS Another fundamental channel characteristic is the root mean square delay spread which is a me,II. SIMULATION SETUP > A. Simulation Scenario Set Up > D. RMS DS (L124)
O_ISAC_006,DFOS_DAS,No,Yes,Yes,No,Yes,Yes,No,[19] further compared the performance of these two approaches in different environmental settings.,A. Solution based on SOP > Solution based on optical phases (L65)
O_ISAC_009,VLC_positioning,Yes,Yes,Yes,No,No,Yes,No,"Therefore, in this work, an indoor LED/PD-based visible light system is considered, TABLE II NOMENCL","<span id=""page-2-0""></span>A. Scenarios and System Description (L73)"
O_ISAC_013,DFOS_DAS,No,Yes,Yes,No,No,Yes,No,"TH is defined as the RMSE of the Pearson-CC, it is commonly used to characterize the noise level and",Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson C > II. PRINCIPLE > E. Steps of PELT (L162)
O_ISAC_016,Optical_transmission,No,Yes,Yes,No,No,Yes,No,"According to the figure, the received ISAC signals have a favorable signal-tonoise ratio (SNR).",II. SYSTEM DESCRIPTION AND PRINCIPLE > A. Photonics-aided sub-THz ISAC transmitter > B. Communication receiver (L55)
O_ISAC_021,FSO_channel,No,Yes,No,No,Yes,Yes,No,"On the other hand, once the Cramèr-Rao Bound (CRB) is selected as the performance metric, the optima",Enhancing Sensing Precision > CONSTANT-MODULUS WAVEFORM > RESOURCE ALLOCATION AND WAVEFORM OPTIMIZATION (L163)
O_ISAC_022,VLC_positioning,No,Yes,Yes,Yes,No,Yes,No,"In this case, the spatial distribution of BER is also such that this metric is ![](_page_9_Figure_8.","<span id=""page-8-0""></span>C. Communication Performance (L389)"
O_ISAC_031,VLC_positioning,No,Yes,Yes,No,No,No,No,"Notably, optical-domain RF SICs offer several advantages, including resistance to electromagnetic in",Photonics-enabled full-duplex millimeter-wave integrated sensing and communicati > I. INTRODUCTION (L44)
O_ISAC_035,FSO_channel,No,Yes,Yes,No,Yes,Yes,No,The R-squared value of a linear fit is a metric that quantifies the proportion of variation in the d,B. FSO Channel > A. Ranging (L206)
O_ISAC_041,DFOS_DAS,No,Yes,Yes,Yes,Yes,Yes,No,"Mumtaz, ""Finite SNR diversity-multiplexing trade-off in hybrid ABCom/RComassisted NOMA systems,"" *IE",REFERENCES (L442)
