paper_id,section,category,severity,reason,evidence
O_ISAC_014,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_135,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_140,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_146,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_147,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_149,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_154,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_248,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_276,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_340,2A,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_028,2A,METRIC_PLANE,MAJOR,osnr/snr co-mention,"abstract-driven by emerging applications originated from the internet technologies, artificial intelligence (ai), big data and so on, high-speed short-reach optical transmission so"
O_ISAC_080,2A,METRIC_PLANE,MAJOR,osnr/snr co-mention,*abstract***—we have proposed and experimentally validated an integrated scheme of in-band spectrum polarization sensing and standard coherent communication via fraction-division n
O_ISAC_001,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_006,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_007,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_008,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_014,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_017,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_019,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_021,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_025,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_026,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_028,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_032,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_033,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_036,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_037,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_043,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_044,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_045,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_047,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_048,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_053,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_057,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_058,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_066,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_071,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_072,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_073,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_075,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_076,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_081,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_084,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_085,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_088,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_090,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_097,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_099,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_100,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_102,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_104,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_106,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_110,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_111,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_113,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_119,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_120,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_122,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_123,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_124,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_126,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_135,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_137,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_141,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_144,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_145,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_146,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_147,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_148,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_149,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_150,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_152,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_153,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_154,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_157,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_158,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
O_ISAC_164,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=0
O_ISAC_167,2B,EVIDENCE_WEAK,MINOR,support gate failed,direct=0; indirect=1
