paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,4B,fso,optical wireless,lexical,NONE,The text does not mention the concept of fso.,# Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,5,5,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,fso,optical wireless,lexical,INDIRECT,"The text mentions 'infrared free space optics' which is related to fso, but does not explicitly mention it.","*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**",13,13,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,fso,free space optical,fuzzy:88.88888888888889,DIRECT,The text explicitly mentions 'infrared free space optics (FSO)' which is the concept of interest.,"The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by enabling ubiquitous connectivity, extreme reliability, ultra-low latency, and integration with sensing and intelligence. Optical Wireless Communication (OWC), which includes free-space communications mainly in visible light (VLC) or infrared free space optics (FSO), is gaining recognition as a complementary technology to traditional radio frequency (RF) communication [1]. OWC offers several advantages, including ultra-large unlicensed bandwidth, immunity to electromagnetic interference, and enhanced physical layer security due to its spatial confinement [2].",19,19,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_001,4B,fso,FSO communication,fuzzy:86.66666666666667,NONE,The text does not mention the concept of fso.,communication and sensing in 6G opens up new possibilities for designing waveforms that serve both purposes [3].,31,31,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,fso,FSO communication,fuzzy:88.23529411764706,NONE,"The provided snippet does not mention 'fso' (free space optics) explicitly, and the context revolves around VLC (Visible Light Communication) systems, OFDM modulation schemes, and techniques to mitigate high peak-to-average power ratio (PAPR), without any direct or indirect reference to 'fso'.","In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4B,vlc,visible light,lexical,INDIRECT,"The concept 'vlc' is mentioned in the keywords section, but it is not the main focus of the context.","*Keywords—Visible Light Communication (VLC), Constant envelope orthogonal frequency division multiplexing (CE-OFDM), Integrated Sensing and Communication (ISAC)*",15,15,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,vlc,visible light,lexical,INDIRECT,"The concept 'vlc' is mentioned as part of Optical Wireless Communication (OWC), but the context is discussing OWC in general, not focusing specifically on VLC.","The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by enabling ubiquitous connectivity, extreme reliability, ultra-low latency, and integration with sensing and intelligence. Optical Wireless Communication (OWC), which includes free-space communications mainly in visible light (VLC) or infrared free space optics (FSO), is gaining recognition as a complementary technology to traditional radio frequency (RF) communication [1]. OWC offers several advantages, including ultra-large unlicensed bandwidth, immunity to electromagnetic interference, and enhanced physical layer security due to its spatial confinement [2].",19,19,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,vlc,light,lexical,INDIRECT,"The concept 'vlc' is mentioned as part of Optical Wireless Communication (OWC), similar to the previous snippet, and the context is discussing OWC in general, not focusing specifically on VLC.","However, OWC systems face unique challenges, including sensitivity to ambient light interference, alignment issues, and nonlinearities in light-emitting components such as light-emitting diodes (LEDs) and laser diodes (LDs). To address these issues, advanced modulation techniques are being investigated. Moreover, the push for integration of",21,21,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4B,vlc,visible light,lexical,DIRECT,"This snippet directly discusses VLC systems, mentioning 'In VLC systems, OFDM-based modulation schemes' and 'CE-OFDM has been successfully applied to visible light communication (VLC) systems', making it directly related to the concept of VLC.","In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_001,4B,vlc,light,lexical,INDIRECT,"The concept 'vlc' is mentioned throughout the snippet, but it is not the primary focus. The text discusses various topics such as material classification, OFDM-based OWC signals, and CE-OFDM, with VLC being a related system or technology.","The remainder of this paper is organized as follows. Section II introduces the fundamental concepts of CE-OFDM and its implementation in VLC systems. Section III presents an experimental performance evaluation, comparing CE-OFDM with conventional OFDM under various modulation indices. Section IV explores the suitability of CE-OFDM for localization, highlighting its potential for ISAC. Finally, Section V concludes the paper and outlines potential directions for future research.",43,43,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
