paper_id,year,title,tier,subdomain_label,modality_coverage,scope_excerpt,scope_locator,limitations_excerpt,limitations_locator,source_path,confidence,feeder_strength,is_core
O_ISAC_161,2025,"ISAC Transceiver Hardware Architectures, Technologies, and Trends",2,VLC_positioning,Photo-THz,"ABSTRACT Integrated sensing and communication (ISAC)—also known as radar-communication (RadCom), joint radar-communication (JRC), and other related va",Integrated Sensing and Communication (ISAC) Transceiver: Har (L17),Future research perspective for hardware ISAC developments.,CHALLENGES AND FUTURE RESEARCH DIRECTIONS > Hardware Miniaturization and Cost (L574),c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_161\O_ISAC_161.md,0.75,10,1
O_ISAC_068,2023,Joint Communication and Sensing Prospects: Potential Through Visible Light,2,VLC_positioning,Multi,"Joint Communication and Sensing (JCS), also known as Integrated Sensing And Communication (ISAC), Sensing-Communication Integration (SCI) or Cooperati",Joint Communication and Sensing Prospects: Potential Through > I. INTRODUCTION (L15),"However, several challenges, including spectrum scarcity, interference management and hardware limitations, need to be addressed to fully realize the ",IV. OUTLOOK AND CONCLUSIONS (L143),c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md,0.75,8,1
O_ISAC_327,2024,Channel Characterization and Modeling for VLC-IoE Applications in 6G: A Survey,2,VLC_positioning,VLC/LiFi,"Pan Tang, Yue Yin, Yu Tong, Shuo Liu, and Linchao Li are with the Beijing University of Posts and Telecommunications, Beijing 100876, China (e-mail: t","span id=""page-0-2""/spanI. INTRODUCTION > span id=""page-0-0""/spanA. Overview of I (L17)",future research directions are discussed in each part.,VI. CONCLUSION (L679),c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_327\O_ISAC_327.md,0.75,8,1
O_ISAC_044,2024,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time-Frequency Divis,2,VLC_positioning,Multi,this paper provides a detailed analysis of the causes of system distance error and corresponding solutions.,Photonic-Based W-Band Integrated Sensing and Communication S (L23),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_044\O_ISAC_044.md,0.75,6,1
O_ISAC_062,2024,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algori,2,VLC_positioning,VLC/LiFi,"Bingpeng Zhou , Member, IEEE, Xin Wang, Student Member, IEEE, Yuan Shen, Senior Member, IEEE, and Pingzhi Fan, Fellow, IEEE Abstract—Visible light com",6-DoF Location-and-Pose Estimation Toward Integrated Visible (L3),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,0.75,5,1
O_ISAC_006,2024,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,2,DFOS_DAS,Multi,Abstract—This paper tends to introduce the current development status of integrated sensing and communication in optical fiber by presenting several o,Recent Advancements and Challenges in Integrated Sensing and (L17),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md,0.75,4,1
O_ISAC_041,2024,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G ,2,DFOS_DAS,Fiber,Optical time-domain reflectometers (OTDRs) are commonly used for fiber detection [\[14\]](#page-9-13).,"span id=""page-0-2""/spanspan id=""page-0-1""/spanspan id=""page- (L31)",,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md,0.75,4,1
O_ISAC_090,2025,Demonstration of High Sensitivity Detection and High Precision Localization of Vibrations in Bidirec,2,DFOS_DAS,Multi,"Index Terms—Fiber sensing, integrated sensing and communication, laser phase noise, optical communication.",Demonstration of High Sensitivity Detection and High Precisi (L7),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_090\O_ISAC_090.md,0.75,4,1
O_ISAC_189,2025,Integrated Ultra-Large Dynamic Vibration Sensing with Fronthaul Analog Radio-over-Fiber Transmission,2,DFOS_DAS,Multi,"In the era of 5G and beyond, massive wireless data traffic is transmitted between user equipment (UE) and network operators, predominantly over optica",Integrated ultra-large dynamic vibration sensing with fronth > 1. INTRODUCTION (L21),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_189\O_ISAC_189.md,0.75,4,1
O_ISAC_021,2023,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",2,FSO_channel,FSO,"Yunfeng Wen, Fang Yang, Jian Song, and Zhu Han ## ABSTRACT Integrated sensing and communication (ISAC) is viewed as a crucial component of future mobi","Optical Integrated Sensing and Communication: Architectures, (L3)",future research of O-ISAC.,FUTURE TRENDS AND CHALLENGES FOR O-ISAC > ADVANCED HARDWARE FOR O-ISAC > Perform (L177),c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md,0.75,8,1
O_ISAC_199,2025,Integrated Sensing and Communication System - MIMO FSO with FBG Sensors for 6G IoT Applications,2,FSO_channel,Multi,Free-space optical (FSO) communication is an advanced wireless optical communication technology that provides high-speed data services for 6th-generat,"Engineering Science and Technology, an International Journal > ABSTRACT (L27)",,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_199\O_ISAC_199.md,0.75,5,1
O_ISAC_035,2025,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,2,FSO_channel,Multi,"Zhengchao Ban , Jingbo Tang , Qijie Xie , and Yichuan Li Abstract—The integrated sensing and communication (ISAC) is emerging as a crucial technology ",OCDM-Based FMCW Waveform Design for FSO Integrated Sensing a (L3),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_035\O_ISAC_035.md,0.75,4,1
O_ISAC_058,2024,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capabil,2,FSO_channel,Multi,"Abstract—In the impending 6G era, the integration of sensing and communication (ISAC) systems in the millimeter-wave (MMW) band will assume a pivotal ",Photonic-Based Flexible Integrated Sensing and Communication (L5),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md,0.75,4,1
