"claim_id","subpoint_tag","paper_id","year","title","venue","doi","modality","evidence_type","authority_class","authority_score","relevance_score","where_in_paper","supporting_excerpt","why_it_supports","metric_terms","terminology_terms","cross_domain_note","confidence","source_path","source_locator"
"C1","aliasing","O_ISAC_161","2025","ISAC Transceiver Hardware Architectures, Technologies, and Trends","IEEE J-STAEQ","10.1109/JSTEAP.2025.3610564","Photo-THz","Experimental","Overview","0.85","0.4","Integrated Sensing and Communication (ISAC) Transc","Quebec-Nature et Technologies (FRQNT). (Invited Article) ABSTRACT Integrated sensing and communication (ISAC)—also known as radar-communication (RadCom), joint radar-communication (JRC), and other related...","Explicit terminology aliasing detected with pattern 'also known as'.","","also known as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_161\O_ISAC_161.md","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, Enabling Technologies, and Emerging Trends (L17)"
"C1","inconsistent labels","O_ISAC_015","2024","Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks","IEEE Letters","10.1109/LWC.2024.3521192","VLC","Simulation","Research","0.6","0.6","IV. SIMULATION RESULTS","system model and algorithm is compared with a fixed AP system, referred to as ""Benchmark"", that has the same number of APs...","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md","IV. SIMULATION RESULTS (L160)"
"C1","inconsistent labels","O_ISAC_001","2025","Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G","IEEE Journal","10.1109/COMST.2025.3577779","VLC","Experimental","Research","0.6","0.4","Modulation Strategies for Robust Optical Wireless","(ISAC)* ## I. INTRODUCTION The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of...","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md","Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION (L15)"
"C1","inconsistent labels","O_ISAC_030","2025","ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps","IEEE Transactions on Mobile Computing","10.1109/TMC.2025.3545340","VLC","Experimental","Research","0.6","0.4","II. BACKGROUND AND MOTIVATION","in this section. We first clarify the limit of through HGR (or t-HGR), and we then explain the superiority of reflected HGR...","Explicit terminology aliasing detected with pattern '(or '.","","","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_030\O_ISAC_030.md","II. BACKGROUND AND MOTIVATION (L50)"
"C1","aliasing","O_ISAC_034","2023","Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication","IEEE Letters","10.1109/LCOMM.2023.3270184","Other","Simulation","Research","0.6","0.4","I. INTRODUCTION","accurate sensing ability of the environment, which is also known as the ISAC system [\[3\]. T](#page-4-2)herefore, Manuscript received 18 January 2023; revised...","Explicit terminology aliasing detected with pattern 'also known as'.","","also known as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_034\O_ISAC_034.md","I. INTRODUCTION (L11)"
"C1","inconsistent labels","O_ISAC_041","2024","Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks","IEEE Journal","10.1109/JIOT.2024.3414863","Fiber","Experimental","Research","0.6","0.4","</s","detects the phase of the backscattered echo, is referred to as ϕ-OTDR [\[39\]](#page-10-7). Due to its high sensitivity and low cost, it...","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md","I. INTRODUCTION > II. RELATED WORK (L52)"
"C1","inconsistent labels","O_ISAC_053","2021","Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller","Journal/Conference","DOI","VLC","Experimental","Research","0.6","0.4","Integrated Sensing and Communication in the Visibl","6G era is the realization of simultaneous communication and sensing, often referred to as integrated sensing and communication (ISAC) systems [4]. ISAC...","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md","Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller > I. INTRODUCTION (L13)"
"C1","aliasing","O_ISAC_054","2024","Optical Integrated Sensing and Communication With Light-Emitting Diode","Journal of the Optical Society of America","10.1109/JIOT.2024.3523045","VLC","Simulation","Research","0.6","0.4","A. Synergies Between Optical Sensing and Optical C","distribution; 2) utilization of a PD array; and 3) optical beamforming, also known as directional O-ISAC. Thanks to these optimization schemes, the...","Explicit terminology aliasing detected with pattern 'also known as'.","","also known as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md","A. Synergies Between Optical Sensing and Optical Communication and Two-Phase Operation Mechanism > B. Source Layout Optimization > VI. NUMERICAL AND SIMULATION RESULTS (L669)"
"C1","inconsistent labels","O_ISAC_056","2024","Optical ISAC: Fundamental Performance Limits and Transceiver Design","IEEE Transactions on Information Theory","10.1109/TIT.2024.3234567","FSO","Simulation","Research","0.6","0.4","I. INTRODUCTION > II. SYSTEM MODEL > III. MAIN RES","x)$ is asymptotically convex in $r_s$ as either $n_s$ or O-SNR (or both) increase. *Proof.* See the arXiv version [18, Appendix E]...","Explicit terminology aliasing detected with pattern '(or '.","","","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md","I. INTRODUCTION > II. SYSTEM MODEL > III. MAIN RESULT (L190)"
"C1","aliasing","O_ISAC_062","2024","6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits","IEEE Transactions on Signal Processing","10.1109/TSP.2024.3383285","VLC","Simulation","Research","0.6","0.4","6-DoF Location-and-Pose Estimation Toward Integrat","for illumination, visible light communication (VLC, also known as LiFi) is considered to be an important technique of 6G wireless communications, due...","Explicit terminology aliasing detected with pattern 'also known as'.","","also known as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md","6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits > I. INTRODUCTION (L21)"
