paper_id,section,challenge_domain,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,has_section5_signal,has_section6_signal,has_section7_signal,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_vlc,True,True,True,bridge,INDIRECT,,,False
O_ISAC_002,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_003,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_vlc,True,True,True,bridge,INDIRECT,,,False
O_ISAC_004,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_005,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_006,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_007,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_008,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_009,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_vlc,True,True,True,bridge,INDIRECT,,,False
O_ISAC_010,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_011,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_012,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_fso,True,True,True,bridge,INDIRECT,,,False
O_ISAC_013,8D,security_privacy_reliability,threat,lexical,INDIRECT,"The provided snippets discuss various applications of distributed sensing technologies, such as seismic monitoring, earthquake detection, and pipeline integrity threat detection. While these applications may indirectly relate to security, privacy, and reliability by enhancing monitoring and detection capabilities, they do not directly address these concepts.","- [5] J. Tejedor et al., ""Real field deployment of a smart fiber-optic surveillance system for pipeline integrity threat detection: Architectural issues and blind field test results,"" *J. Lightw. Technol.*, vol. 36, no. 4, pp. 1052–1062, Feb. 15, 2018.",312,312,*C. Vibration Amplitude Calibration* > V. CONCLUSION > REFERENCES,,,cabled_fibre,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_014,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_015,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_vlc,True,True,True,bridge,INDIRECT,,,False
O_ISAC_016,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_017,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_018,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_019,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_020,8D,security_privacy_reliability,threat,lexical,NONE,"The snippet primarily discusses the submarine fiber optic cable system, its importance in international telecommunication, and the growth of global submarine optical fiber infrastructures. It also touches upon the emerging technology of integrated sensing and communication (ISAC) but does not directly address concepts related to security, privacy, or reliability.","Meanwhile, about 60 percent of humans on Earth live within 100 km of the coastline. Many coastal baselines lie at the boundaries between geological plates. In these regions, active geological activities, including annual climate disasters such as typhoons and tsunamis caused by submarine seismic activities, all threaten human activities in these coastal areas. To acquire geological information and monitor these activities, conventional methods use single or series of fixed-point sensors, which may be limited in monitoring area, diverse functionality, real-time data acquisition, and longterm power supply. The developed submarine fiber optic infrastructures with ISAC technology have recently been found ideal to solve these problems. The fiber itself can be used as both the sensing gauge and signal transmission medium. Its silica core material offers advantages such as low loss, light weight, dielectric, immunity to electromagnetic interference, and ability to withstand harsh environments over long ranges and long periods. Based on the fiber's different scattering properties, such as Rayleigh backscattering, Brillouin backscattering, and Raman backscattering, a wide range of sensing parameters can be detected and measured (e.g., temperature, strain, and acoustic disturbance, which enables us to detect and monitor various coastal and oceanic events. Thanks to the low-loss and large-bandwidth characteristics of the optical fiber as a transmission medium, these sensing data can be sent back to",19,19,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring > INTRODUCTION,,,cabled_fibre,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_021,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_022,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_vlc,True,True,True,bridge,INDIRECT,,,False
O_ISAC_023,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_fso,True,True,True,bridge,INDIRECT,,,False
O_ISAC_024,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_025,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_026,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_027,8D,security_privacy_reliability,risk,lexical,INDIRECT,"The concept of security_privacy_reliability is related to the mechanical strength and potential breakage of the optical fiber, which indirectly affects the reliability of the system.","sensitivity. However, an excessively thin waist diameter may also lead to the risk of optical fiber breakage due to the reduced mechanical strength of the fiber in practical applications. A waist diameter of 40 µm is selected as the optimal parameter in this experiment to strike a balance between sensitivity and fiber mechanical intensity.",136,136,"<span id=""page-0-12""></span>Low Crosstalk Deep Ocean Salinity Monitoring at 2 µm Wavelength Band > <span id=""page-0-11""></span><span id=""page-0-10""></span><span id=""page-0-9""></span><span id=""page-0-8""></span><span id=""page-0-7""></span><span id=""page-0-6""></span><span id=""page-0-5""></span><span id=""page-0-3""></span><span id=""page-0-2""></span><span id=""page-0-0""></span>I. INTRODUCTION > II. PRINCIPLE AND DEVICE DESIGN > III. RESULTS AND DISCUSSION",,,hybrid,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_028,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_029,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_030,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_031,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_032,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_033,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
O_ISAC_034,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_fso,True,True,True,bridge,INDIRECT,,,False
O_ISAC_035,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,wireless_fso,True,True,True,bridge,INDIRECT,,,False
O_ISAC_036,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_037,8D,security_privacy_reliability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,cabled_fibre,True,True,True,bridge,INDIRECT,,,False
