paper_id,section,challenge_domain,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,has_section5_signal,has_section6_signal,has_section7_signal,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,8A,standardization_interoperability,standards,fuzzy:88.88888888888889,INDIRECT,"The concept of standardization and interoperability is indirectly related to the development of Optical Wireless Communications (OWC) and its potential role in the 6G ecosystem, as it implies the need for standardized technologies to ensure seamless communication and sensing functionalities.","*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**",13,13,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,8A,standardization_interoperability,standards,fuzzy:88.88888888888889,NONE,The snippet focuses on the technical aspects of CE-OFDM signal generation and does not mention standardization or interoperability.,"The digital signal processing (DSP) generation of a CE-OFDM signal begins with the modulation of input data symbols using a standard digital modulation scheme, such as QPSK or QAM. These complex-valued symbols are assigned to a set of N subcarriers in the frequency domain. To ensure that the resulting time-domain signal is real-valued after inverse transformation, a Hermitian symmetry is imposed on the subcarrier vector, X.",63,63,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION > II. VLC SYSTEM EMPLOYING CE-OFDM > A. VLC CE-OFDM Transmitter,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,8A,standardization_interoperability,standards,fuzzy:88.88888888888889,INDIRECT,"The suitability of CE-OFDM for localization in VLC systems implies the need for standardized technologies to ensure compatibility and efficient transmission, which is indirectly related to the concept of standardization and interoperability.","CE-OFDM can serve as a strong candidate waveform for VLC in future 6G systems, especially where dualfunctionality for communication and localization is desired. CE-OFDM combines the spectral efficiency and subcarrierbased structure of conventional OFDM with the hardware compatibility of constant-envelope transmission, which is particularly advantageous for nonlinear optical devices like LEDs and laser diodes. Unlike standard OFDM, CE-OFDM modulates information in the phase domain, producing a constant-envelope signal that enables efficient transmission through power-limited or nonlinear channels without distortion. This feature directly benefits VLC systems, where nonlinear optical front-ends often limit the performance of amplitude-varying signals.",118,118,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_002,8A,standardization_interoperability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_003,8A,standardization_interoperability,standards,fuzzy:88.88888888888889,NONE,The snippet does not mention standardization or interoperability. It discusses a mathematical model and its application to sensing scenarios.,"where  $\alpha_{DS}$  and  $\beta_{DS}$  are the slope and intercept of fitting curves, and  $X_{\sigma}^{DS}$  is the standard deviation between the RMS DS and fitting curve.",154,154,*A. Simulation Scenario Set Up* > III. VL-BASED ISAC CHANNEL CHARACTERIZATION > A. VL-based ISAC channel model > D. RMS DS,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,8A,standardization_interoperability,standardize,lexical,INDIRECT,"The snippet mentions standardized channel models (e.g., 3GPP standardized 5G channel model), which implies a level of standardization. However, it does not directly discuss standardization or interoperability in the context of the concept.","- [8] T. Jiang, J. Zhang, P. Tang, L. Tian, Y. Zheng, J. Dou, H. Asplund, L. Raschkowski, R. D'Errico, and T. Jams ¨ a, ""3GPP standardized 5G ¨ channel model for IIOT scenarios: A survey,"" *IEEE Internet of Things Journal*, vol. 8, no. 11, pp. 8799–8815, 2021.",193,193,REFERENCES,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_003,8A,standardization_interoperability,standardization,lexical,DIRECT,"The context mentions '3GPP ISAC channel modeling standardization' and references to works on channel modeling for integrated sensing and communication systems, which directly relates to standardization and potentially interoperability.","- [11] Y. Zhang, J. Zhang, Y. Pei, Y. Liu, and T. Jiang, ""Latest progress for 3GPP ISAC channel modeling standardization,"" *Science China (Information Sciences)*, vol. 67, no. 11, pp. 357–358, 2024.",196,196,REFERENCES,,,wireless_vlc,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_004,8A,standardization_interoperability,standards,fuzzy:88.88888888888889,INDIRECT,"The provided snippets discuss research on optical transmission and mode multiplexers, but do not directly address standardization or interoperability. However, the mention of specific technologies and techniques, such as adiabatic-tapered waveguides and cascaded vertical directional couplers, implies a potential need for standardization to ensure compatibility and interoperability between different systems and devices.","- [7] M. van den Hout et al., ""Reaching the pinnacle of high-capacity optical transmission using a standard cladding diameter coupled-core multi-core fiber,"" Nat. Commun. 16(1), 3833, 2025.",87,87,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication > REFERENCES,,,hybrid,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_005,8A,standardization_interoperability,,upstream_bridge,INDIRECT,Cross-section bridge from S5;S6;S7 outputs.,,,,,section5_6_7_bridge,S5;S6;S7,hybrid,True,True,True,bridge,INDIRECT,,,False
O_ISAC_006,8A,standardization_interoperability,interop,fuzzy:85.71428571428572,DIRECT,"The snippet directly discusses the implementation of ISAC-OF solutions based on multiplexing technology, specifically WDM and SDM systems, which are directly related to standardization and interoperability.","The ISAC-OF solution based on backscattered light was initially implemented in WDM and Space Division Multiplexing (SDM) systems. Experiments reported in [23-24] utilized optical fiber cables for both optical communication and distributed fiber sensing. This work successfully detected vehicle speed and density, as well as road surface conditions along the route of the optical cable. These capabilities were achieved simultaneously with dense wavelength division multiplexing (DWDM) channels in the same fiber, which had a total capacity of approximately 36.8 Tb/s. In a WDM system spanning an 82 km optical fiber link, the simultaneous transmission of sensing and communication signals enabled precise localization of real vibration events within a 600 Hz bandwidth[25] . Ezra Ip's team proposed a bidirectional Data Center Interconnect (DCI) scheme compatible with DAS in WDM systems, utilizing ISAC-OF technology as a diagnostic tool for DCI networks[26] . Yingyu Chen's team successfully",87,87,*A. Solution based on multiplexing technology*,,,cabled_fibre,True,True,True,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
