paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,4D,imdd,im/dd,lexical,DIRECT,The text explicitly mentions 'intensity modulation and direct detection (IM/DD)' which directly relates to the concept 'imdd'.,"In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_001,4D,intensity_only,intensity,lexical,INDIRECT,"The concept of intensity_only is related to the context of intensity modulation and direct detection (IM/DD) in VLC systems, but it is not explicitly mentioned.","In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,4D,intensity_only,magnitude,lexical,NONE,"There is no mention of intensity modulation or related concepts in this snippet, making it unrelated to the concept of intensity_only.","In addition to localization, the information embedded in reflected or transmitted optical signals can be used to infer the physical properties of materials. In [11], it was introduced a framework for material classification using features derived from OFDM-based OWC signals. Their setup involved measuring Error Vector Magnitude (EVM) and distance between the laser source and target material, which were then fed into machine learning models to classify objects as glass, plastic, or aluminum.",41,41,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,4D,intensity_only,magnitude,lexical,DIRECT,"The snippet discusses an experiment involving a directly modulated laser diode and avalanche photodiode, which implies intensity modulation and detection, directly relating to intensity-only concepts.","Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, conducted using the same laboratory setup described in [8]. In the experiment, the CE-OFDM signal was generated using 64 QAM-modulated subcarriers occupying 250 MHz bandwidth, the OFDM modulator is followed by Hermitian symmetry enforcement, inverse FFT, cyclic prefix insertion, and SRRC filtering with a roll-off factor  $\beta$ =0.1 and an up-sampling factor of  $N_{up}$  = 10. The resulting constant-envelope signal was generated by phase modulating a 300 MHz carrier and subsequently transmitted through a 2-meter free-space optical link using a directly modulated laser diode (Thorlabs L638P040). The light was collimated and focused at the receiver side, where it was detected using an avalanche photodiode with integrated amplification. The received signal was digitized at 25 GSa/s and processed by a custom DSP chain implementing decimation, synchronization, digital filtering, phase demodulation and correction. The peak-to-peak amplitude of both the OFDM and CE-OFDM signals was kept at 1.8 V at the AWG. Performance was quantified in terms of the error vector magnitude (EVM) averaged over multiple transmission bursts.",96,96,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,,,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_001,4D,complex_field,sophisticated area,fuzzy:88.88888888888889,NONE,"The text does not mention the concept of 'complex_field' directly or indirectly, it discusses OFDM-based modulation schemes and techniques to address the high peak-to-average power ratio (PAPR) issue in VLC systems.","In VLC systems, OFDM-based modulation schemes such as DC-biased optical OFDM (DCO-OFDM) and asymmetrically clipped optical OFDM (ACO-OFDM) are widely adopted due to their compatibility with intensity modulation and direct detection (IM/DD). However, both suffer from a high peak-to-average power ratio (PAPR). Over the past decade, numerous techniques have been proposed to address this issue. The most common is signal clipping, although more sophisticated approaches, such as active constellation extension [4], which reduces PAPR by adjusting constellation points and DFT spreading [5] have also been explored. Among these solutions, CE-OFDM) has recently attracted attention for its potential to improve power efficiency in wireless communications [6]. This is due not only to its inherent ability to mitigate the high PAPR associated with conventional OFDM systems, but also to its enhanced robustness against system nonlinearities. CE-OFDM has been successfully applied to visible light communication (VLC) systems [7], where it has demonstrated particular effectiveness under low signal-to-noise ratio (SNR) conditions [8].",33,33,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_003,4D,json:rx_detection_type,,json,DIRECT,Structured receiver field,,,,,scenario_level[0].receiver.rx_detection_type,direct,json,DIRECT,,,False
O_ISAC_005,4D,imdd,im and dd,fuzzy:88.88888888888889,NONE,"The provided snippet does not mention 'imdd' directly or indirectly, hence it is labeled as NONE.","Here, we propose using the light backscattered from a foggy FSO channel as the sensing feedback signal to estimate FSO channel condition in real-time and dynamically adjust the network parameters (e.g., UAV trajectory) as shown in Fig. 1. Using this sensing mechanism, we introduce an O-ISAC framework, where the backscattered light from the FSO communication signal is utilized to estimate the FSO channel gain and optimize its trajectory dynamically. The goal of this adaptive O-ISAC system is to maximize the network's end-to-end throughput for edge users while accounting for FSO backhaul capacity, UAV antenna beamwidth, and bandwidth allocation.",39,39,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION > II. SYSTEM MODEL,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_005,4D,imdd,im/dd,lexical,DIRECT,The context directly mentions 'intensity modulation direct detection (IM/DD)' which is commonly abbreviated as IM/DD or imdd. This is a direct reference to the concept.,"In an FSO link using intensity modulation direct detection (IM/DD), the received electrical signal can be denoted as",43,43,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION > II. SYSTEM MODEL > A. FSO Backhaul Communication,,,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_005,4D,intensity_only,intensity,lexical,INDIRECT,"The concept 'intensity_only' is related to the modulation technique used in the FSO link, which is intensity modulation direct detection (IM/DD), but the equation provided describes the received electrical signal, not the intensity directly.","In an FSO link using intensity modulation direct detection (IM/DD), the received electrical signal can be denoted as",43,43,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION > II. SYSTEM MODEL > A. FSO Backhaul Communication,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_005,4D,intensity_only,intensity,lexical,DIRECT,"The snippet explicitly mentions 'this analysis focuses fog effects, but excludes turbulence-induced intensity fading $q_0$ to assess the backhaul capacity.' and the focus on 'transmitted intensity' with the notation $x_0$, directly implying the concept of intensity_only.","where  $\rho$  is the photodetector's responsivity,  $g_0$  is the average optical power gain,  $x_0$  is the transmitted intensity,  $s_0$  is the received signal, and  $z_0$  is zero-mean Gaussian noise with variance  $\sigma_0^2$ . An advanced pointing, acquisition, and tracking (PAT) method is assumed to correct pointing errors [8]. Given the inverse correlation between fog and atmospheric turbulence [9], and some studies that disregard these factors [10], this analysis focuses fog effects, but excludes turbulence-induced intensity fading  $q_0$  to assess the backhaul capacity.",47,47,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions > I. INTRODUCTION > II. SYSTEM MODEL > A. FSO Backhaul Communication,,,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_006,4D,imdd,im/dd,lexical,DIRECT,"The text explicitly mentions 'intensity modulation direct detection(IM/DD) systems', which directly relates to the concept of IM/DD.","In ISAC-OF schemes based on WDM and SDM, dedicating spectrum or fiber resources exclusively to sensing can lead to inefficient resource utilization. To enhance the overall resource efficiency of the ISAC-OF systems, reference [28] demonstrated a scheme for synchronous data transmission and DAS within the same wavelength channel of optical fiber. This approach utilized Pulse Amplitude Modulation with 4 levels (PAM4) signals for data transmission, employing periodic linear frequency modulation (LFM) light as both a sensing probe and an optical carrier, with LFM modulated onto the phase of the optical signal. The schematic of the experimental structure is shown in figure 6. This method not only extends the intelligence of optical fiber communication systems but also enhances their transmission performance. However, this scheme is only applicable to intensity modulation direct detection(IM/DD) systems and introduces a complex structure, leading to increased costs.",97,97,*B. Solution using the same wavelength*,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_006,4D,imdd,im/dd,lexical,DIRECT,"The text mentions 'IM/DD systems', directly referencing the concept of IM/DD in the context of ISAC-OF systems.","sensing distance of the system. If the system needs to operate on an amplified link with isolators, sensing systems based on backscattering may encounter certain limitations. Currently, the scheme of simultaneously transmitting communication signals and sensing probes using the same wavelength channel can only be applied in IM/DD systems, and this introduces complex structures. Adapting this approach to accommodate more communication modulation formats and the existing fiber network architecture presents a significant challenge.",144,144,TABLE I. SCHEME COMPARISON,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,DIRECT,True
O_ISAC_006,4D,coherent,coherent detection,lexical,INDIRECT,"The concept 'coherent' is related to the context through the mention of 'Optical Coherent Detection' and 'Coherent Transceiver Prototype', indicating an indirect connection to the concept.","- [14] A. Mecozzi, C. Antonelli, M. Mazur, et al., ""Use of Optical Coherent Detection for Environmental Sensing,"" Journal of Lightwave Technology, 2023, vol. 41, pp. 3350-3357.",173,173,REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_006,4D,coherent,coherent sensing,lexical,INDIRECT,"The concept 'coherent' is related to the context through the mention of 'Digital Coherent Sensing System' and 'Self-Homodyne Coherent Detection', indicating an indirect connection to the concept.","- [25] S. Guerrier, K. Benyahya, C. Dorize, et al., ""Vibration Detection and Localization in Buried Fiber Cable after 80km of SSMF using Digital Coherent Sensing System with Co-Propagating 600Gb/s WDM Channels."" Optical Fiber Communications Conference and Exhibition (OFC), 2022, pp. 1-3.",186,186,REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_006,4D,coherent,coherent detection,lexical,INDIRECT,"The concept 'coherent' is related to the context through the mention of 'Digital Coherent Sensing System' and 'Self-Homodyne Coherent Detection', indicating an indirect connection to the concept.","- [26] E. Ip, Y K. Huang, T. Wang, et al., ""Distributed Acoustic Sensing for Datacenter Optical Interconnects using Self-Homodyne Coherent Detection,"" Optical Fiber Communications Conference and Exhibition (OFC), 2022, pp. W1G-4.",187,187,REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_006,4D,intensity_only,intensity,lexical,INDIRECT,"The concept 'intensity_only' is related to 'intensity modulation direct detection (IM/DD) systems', which is mentioned in the snippet, but it is not the main focus of the text. The text discusses a scheme for synchronous data transmission and DAS within the same wavelength channel of optical fiber, and IM/DD systems are only mentioned as a limitation of the scheme.","In ISAC-OF schemes based on WDM and SDM, dedicating spectrum or fiber resources exclusively to sensing can lead to inefficient resource utilization. To enhance the overall resource efficiency of the ISAC-OF systems, reference [28] demonstrated a scheme for synchronous data transmission and DAS within the same wavelength channel of optical fiber. This approach utilized Pulse Amplitude Modulation with 4 levels (PAM4) signals for data transmission, employing periodic linear frequency modulation (LFM) light as both a sensing probe and an optical carrier, with LFM modulated onto the phase of the optical signal. The schematic of the experimental structure is shown in figure 6. This method not only extends the intelligence of optical fiber communication systems but also enhances their transmission performance. However, this scheme is only applicable to intensity modulation direct detection(IM/DD) systems and introduces a complex structure, leading to increased costs.",97,97,*B. Solution using the same wavelength*,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_006,4D,json:rx_detection_type,,json,DIRECT,Structured receiver field,,,,,scenario_level[0].receiver.rx_detection_type,coherent,json,DIRECT,,,False
O_ISAC_007,4D,coherent,coherent measurement,fuzzy:85.0,INDIRECT,"The concept of coherence is related to the properties of light and its application in interferometry, which is mentioned in the context of fiber optic interferometer sensing probes. However, the term 'coherent' is not explicitly mentioned, making the connection indirect.","Fiber optic interferometer sensing probes have been widely studied due to their small size, high measurement accuracy, and ease of embedded measurement[2]. Of the four common fiber optic interferometers, only fiber optic Fabry-Perot interferometer and fiber optic Michelson interferometer can be used for embedded displacement measurement. The light emitted from the fiber diverges and the working distance is usually around 1 mm[3]. Subsequent researchers have collimated lenses and processed tapered fiber tips to reduce beam divergence [4-5]. However most probe research focuses on long-distance measurements and neglects high precision measurement of curved surfaces in narrow spaces.",19,19,I. INTRODUCTION,,,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_007,4D,coherent,coherent measurement,fuzzy:85.0,DIRECT,"The mathematical expressions for measurement light, reference light, and fringe contrast involve terms that suggest interference patterns, which are directly related to coherent light. The context implies the use of coherent light sources in interferometry.","where the measurement light  $I_{\rm m}=I_0\eta_{\rm m}\eta_{\rm r}^2$ , reference light  $I_{\rm m}=I_0(1-\eta_{\rm r})$ ,  $L_{\rm fiber}$  is the optical path length from SMF trench surface to SMF output surface. The fringe contrast is expressed as follows:",119,119,I. INTRODUCTION > II. PRINCIPLE,,,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_007,4D,coherent,coherent measurement,fuzzy:85.0,NONE,"The provided context is a list of references and does not contain any information related to the concept of coherence, making it unrelated to the concept.","- [2] Y.-C. Wang, L.-H. Shyu, and C.-P. Chang, ""The Comparison of Environmental Effects on Michelson and Fabry-Perot Interferometers Utilized for the Displacement Measurement,"" Sensors (Basel, Switzerland), vol. 10, no. 4, pp. 2577–2586, Mar. 2010.",159,159,REFERENCES,,,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
