Paper_ID,Title,Scenario,Bitrate_Gbps,Resolution_m,Distance_m,Wavelength_nm
checkpoint_benchmark.json,NR,NR,NR,NR,NR,NR
checkpoint,NR,NR,NR,NR,NR,NR
extraction,NR,NR,NR,NR,NR,NR
O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,wireless_vlc,NR,NR,NR,NR
O_ISAC_002,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,hybrid,NR,NR,NR,NR
O_ISAC_003,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,wireless_vlc,1,0.1,10,650
O_ISAC_004,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,hybrid,NR,NR,NR,NR
O_ISAC_005,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,hybrid,NR,NR,NR,NR
O_ISAC_006,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,cabled_fibre,100,1,1000,1550
O_ISAC_007,Miniaturized optical fiber displacement probe with large-collection-angle,cabled_fibre,NR,NR,NR,NR
O_ISAC_008,Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna,hybrid,NR,NR,NR,NR
O_ISAC_009,Integrated Positioning and Communication Relying on Wireless Optical OFDM,wireless_vlc,NR,NR,NR,NR
O_ISAC_010,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber,cabled_fibre,117,NR,1000.0,1550
O_ISAC_011,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,hybrid,NR,NR,NR,NR
O_ISAC_012,Phase-Coded FMCW for Optical Integrated Sensing and Communication,wireless_fso,1,0.1,10,1550
O_ISAC_013,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,cabled_fibre,NR,NR,NR,NR
O_ISAC_014,Experimental Demonstration of Power over Fiber for Power Grid Application,cabled_fibre,NR,NR,NR,NR
O_ISAC_015,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,wireless_vlc,NR,NR,NR,NR
O_ISAC_016,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,hybrid,NR,NR,NR,NR
O_ISAC_017,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),cabled_fibre,448,NR,1200000.0,1550
O_ISAC_018,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,hybrid,NR,NR,NR,NR
O_ISAC_019,Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics,cabled_fibre,NR,NR,NR,NR
O_ISAC_020,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,cabled_fibre,10,10,1000,1550
O_ISAC_021,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",hybrid,NR,NR,NR,NR
O_ISAC_022,Joint Visible Light Sensing and Communication Using m-CAP Modulation,wireless_vlc,NR,NR,NR,NR
O_ISAC_023,NR,wireless_fso,NR,NR,NR,NR
O_ISAC_024,Pre-compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,cabled_fibre,240,1,40000.0,1550
O_ISAC_025,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,cabled_fibre,10,1,100,1550
O_ISAC_026,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,hybrid,48,0.0275,1,1550
O_ISAC_027,Low Crosstalk Deep Ocean Salinity Monitoring at 2 µm Wavelength Band,hybrid,NR,NR,NR,NR
O_ISAC_028,Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding,cabled_fibre,256,0,80000.0,1550
O_ISAC_029,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,hybrid,NR,NR,NR,NR
O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,hybrid,NR,NR,NR,NR
O_ISAC_031,Photonics-enabled full-duplex millimeter-wave integrated sensing and communication,hybrid,NR,NR,NR,NR
O_ISAC_032,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibration Sensing Unit,cabled_fibre,NR,NR,NR,NR
O_ISAC_033,Simultaneous Sensing and Communication in Optical Fibers,cabled_fibre,NR,NR,NR,NR
O_ISAC_034,Pulse Sequence Sensing and Pulse Position Modulation for Optical Integrated Sensing and Communication,wireless_fso,NR,NR,NR,NR
O_ISAC_035,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,wireless_fso,NR,NR,NR,NR
O_ISAC_036,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integrated Sensing and Communication,hybrid,24,0.03,1,1550
O_ISAC_037,Linearly Polarized Mode Demultiplexing Hybrid based on Multi-Plane Light Conversion,cabled_fibre,NR,NR,NR,NR
O_ISAC_038,Integration of Distributed Sensing into Optical Coherent Networks through Non-Orthogonal Multiple Access,cabled_fibre,480,10,10000.0,1550
O_ISAC_039,Visible Light Integrated Positioning and Communication: A Multi-Task Federated Learning Framework,wireless_vlc,NR,NR,NR,NR
O_ISAC_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Diversity Transmitters,wireless_retroreflective,NR,NR,NR,NR
O_ISAC_041,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G Transport Networks,hybrid,NR,NR,NR,NR
O_ISAC_042,High-efficiency ISAC to enable sub-meter level vibration sensing for coherent fiber networks,cabled_fibre,960,0.5,10000.0,1550
O_ISAC_043,Photonic-based W-band Flexible TFDM Integrated Sensing and Communication System for Fiber-wireless Network,hybrid,60,0.04,1,1550
O_ISAC_044,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time-Frequency Division Multiplexed Waveforms for Fiber-Wireless Network,hybrid,NR,NR,NR,NR
O_ISAC_045,Simultaneous Sensing and Communication Over 20 km Fiber Based on Si3N4 Micro-Ring,cabled_fibre,1.25,10,20000.0,1550
O_ISAC_046,Co-wavelength-channel Integration of Ultra-lowfrequency Distributed Acoustic Sensing and High-Capacity Communication,cabled_fibre,NR,NR,NR,NR
O_ISAC_047,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation,hybrid,NR,NR,NR,NR
O_ISAC_048,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,wireless_fso,NR,NR,NR,NR
O_ISAC_049,Joint Optimization of Slot Selection and Power Allocation in Integrated Visible Light Communication and Sensing Systems,vlc,NR,NR,NR,NR
O_ISAC_050,NR,wireless_vlc,NR,NR,NR,NR
O_ISAC_051,Remote Phase-Shift LiDAR With Communication,hybrid,NR,NR,NR,NR
O_ISAC_052,Adaptive Resource Allocation in ADO-OFDM for Optical Wireless Integrated Sensing and Communication,hybrid,NR,NR,NR,NR
O_ISAC_053,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,wireless_vlc,NR,NR,NR,NR
O_ISAC_054,Optical Integrated Sensing and Communication With Light-Emitting Diode,hybrid,NR,NR,NR,NR
O_ISAC_055,Free Space Optical Integrated Sensing and Communication Based on LFM and CPM,wireless_fso,NR,NR,NR,NR
O_ISAC_056,Optical ISAC: Fundamental Performance Limits and Transceiver Design,cabled_fibre,NR,NR,NR,NR
O_ISAC_057,60-GHz photonic millimeter-wave joint radar-communication system,hybrid,1,0.018,1,1549.7
O_ISAC_058,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,hybrid,NR,NR,NR,NR
O_ISAC_059,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,hybrid,NR,NR,NR,NR
O_ISAC_060,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,wireless_fso,1,0.1,100,1550
O_ISAC_061,Optical Wireless Integrated Sensing and Communication Based on Optical Phased Array: Performance Metric and Optimal Beamforming,hybrid,NR,NR,NR,NR
