paper_id,category,metric,symbol,plane,evidence,full_reasoning
O_ISAC_029,Sensing (Est),Resolution,Δr,N/A,an exceptional range resolution of 6 mm,"The authors evaluate the performance of a photonic-based THz ISAC system using metrics such as range resolution, peak data rate, and mean ranging error. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s at a center frequency of 134 GHz, with a calibrated mean ranging error of less than 3 mm."
O_ISAC_029,Comm,Throughput,R,Electrical,a peak data rate of 116 Gbit/s,"The authors evaluate the performance of a photonic-based THz ISAC system using metrics such as range resolution, peak data rate, and mean ranging error. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s at a center frequency of 134 GHz, with a calibrated mean ranging error of less than 3 mm."
O_ISAC_029,Sensing (Est),Accuracy,RMSE,N/A,a calibrated mean ranging error of less than 3 mm,"The authors evaluate the performance of a photonic-based THz ISAC system using metrics such as range resolution, peak data rate, and mean ranging error. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s at a center frequency of 134 GHz, with a calibrated mean ranging error of less than 3 mm."
O_ISAC_029,Sensing (Est),Resolution,ΔR,N/A,an exceptional range resolution of 6 mm,The authors evaluate the performance of a photonic-based THz ISAC system using metrics such as range resolution and peak data rate. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s. The authors also discuss the impact of fiber length on system performance.
O_ISAC_029,Comm,Throughput,R,Electrical,a peak data rate of 116 Gbit/s,The authors evaluate the performance of a photonic-based THz ISAC system using metrics such as range resolution and peak data rate. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s. The authors also discuss the impact of fiber length on system performance.
O_ISAC_029,Sensing (Est),Accuracy,RMSE,N/A,a calibrated mean ranging error of less than 3 mm,The authors evaluate the performance of a photonic-based THz ISAC system using metrics such as range resolution and peak data rate. The system achieves a range resolution of 6 mm and a peak data rate of 116 Gbit/s. The authors also discuss the impact of fiber length on system performance.
O_ISAC_001,Comm Metrics,EVM,EVM,Electrical,"Fig. 1 presents the experimental performance evaluation results of the VLC CE-OFDM system, where the EVM performance of CE-OFDM was assessed as a function of the modulation index for three modulation orders: 4QAM, 16QAM, and 64QAM.","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the EVM performance of CE-OFDM as a function of the modulation index and compare it with conventional OFDM. The results show that CE-OFDM achieves superior performance, particularly at moderate modulation indices. Additionally, the authors discuss the suitability of CE-OFDM for localization in VLC systems, highlighting its favorable ambiguity function properties and constant-envelope nature."
O_ISAC_001,Comm Metrics,Bandwidth,B,Electrical,"The bandwidth of the CE-OFDM signal can be expressed by $B_{CE-OFDM} = max(2pi h, 1) 	imes B_{OFDM}$, which is a root-mean-square (RMS) bandwidth, lower bounded by the bandwidth of the OFDM signal, $B_{OFDM}$.","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the EVM performance of CE-OFDM as a function of the modulation index and compare it with conventional OFDM. The results show that CE-OFDM achieves superior performance, particularly at moderate modulation indices. Additionally, the authors discuss the suitability of CE-OFDM for localization in VLC systems, highlighting its favorable ambiguity function properties and constant-envelope nature."
O_ISAC_001,Sensing (Est),Resolution,N/A,N/A,"CE-OFDM with PSK symbol encoding exhibits a 'thumbtack-like' ambiguity function, characterized by high resolution in both range and Doppler, due to its wide RMS bandwidth and low range-Doppler coupling.","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the EVM performance of CE-OFDM as a function of the modulation index and compare it with conventional OFDM. The results show that CE-OFDM achieves superior performance, particularly at moderate modulation indices. Additionally, the authors discuss the suitability of CE-OFDM for localization in VLC systems, highlighting its favorable ambiguity function properties and constant-envelope nature."
O_ISAC_001,Comm Metrics,SNR,SNR,Electrical,"The results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM.","The authors evaluate the performance of CE-OFDM in VLC systems, considering its potential for integrated sensing and communication (ISAC). They assess the EVM performance of CE-OFDM as a function of the modulation index and compare it with conventional OFDM. The results show that CE-OFDM achieves superior performance, particularly at moderate modulation indices. Additionally, the authors discuss the suitability of CE-OFDM for localization in VLC systems, highlighting its favorable ambiguity function properties and constant-envelope nature."
