paper_id,gap_id,gap_label,coverage_score,justification_excerpt,where_in_paper,source_locator,confidence
O_ISAC_163,G1,Terminology harmonization,1,DEFINITION OF MULTI-FUNCTIONALITY MF-RIS is a new type of metasurface with functionality that exceeds simple radio wave reflection or transmission.,V. DEFINITION OF MULTI-FUNCTIONALITY,V. DEFINITION OF MULTI-FUNCTIONALITY (L422),0.85
O_ISAC_163,G2,Metric normalization,2,The authors used ergodic secrecy rate (ESR) as a metric to determine the optimum number of RIS elements in this,"<span id=""page-29-2""></span>C. Satellite and Space","<span id=""page-29-2""></span>C. Satellite and Space (L618)",0.85
O_ISAC_163,G3,Cross-modality benchmarking,3,The obtained simulation results demonstrate that the proposed learning architecture delivers near-optimal QoE as that of the genie-aided benchmark tec,"<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications?","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications? (L506)",0.85
O_ISAC_163,G4,Cross-domain transfer,2,"This issue can be addressed by utilizing efficient batteries, the use of RF-energy or solar EH cells, as well as","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces > E. Contributions of This Survey","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces > E. Contributions of This Survey (L87)",0.85
O_ISAC_163,G5,Unified PHY framework/taxonomy,3,"However, there is no unified approach to solving this problem at the time of writing.","<span id=""page-8-7""></span>D. Refractive or ""Transmissive"" RIS > G. · · · and There be Dragons","<span id=""page-8-7""></span>D. Refractive or ""Transmissive"" RIS > G. · · · and There be Dragons (L283)",0.85
O_ISAC_163,G6,System-level co-design,2,"A good design of the whole communication stack is needed to meet link- and system-level concerns, such as network setup,","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications?","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications? (L506)",0.85
O_ISAC_163,G7,Systematic methodology,0,,,,0.6
O_ISAC_303,G1,Terminology harmonization,0,,,,0.6
O_ISAC_303,G2,Metric normalization,2,46 cm (RMSE) | | √ | | [103] | | √ | √ | | | | 90% within,Keywords: Visible light communication Visible light sensing Integrated sensing a > Hybrid VLC-RF system,Keywords: Visible light communication Visible light sensing Integrated sensing a > Hybrid VLC-RF system (L307),0.85
O_ISAC_303,G3,Cross-modality benchmarking,2,"**Table 2**Comparison of different types of LEDs [[49],[50]].",Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction > Transmitter design,Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction > Transmitter design (L173),0.85
O_ISAC_303,G4,Cross-domain transfer,2,RF communication in the network plays a complementary role as a power transfer system.,Keywords: Visible light communication Visible light sensing Integrated sensing a > Hybrid VLC-RF system,Keywords: Visible light communication Visible light sensing Integrated sensing a > Hybrid VLC-RF system (L344),0.85
O_ISAC_303,G5,Unified PHY framework/taxonomy,3,"The framework combines lighting, sensing, positioning, communication, and channel estimation tasks to form a unified architecture.","Keywords: Visible light communication Visible light sensing Integrated sensing a > Integration of communication and sensing > Integration of lighting, sensing, and communication","Keywords: Visible light communication Visible light sensing Integrated sensing a > Integration of communication and sensing > Integration of lighting, sensing, and communication (L268)",0.85
O_ISAC_303,G6,System-level co-design,2,"Image sensors can be integrated with devices like smartphones, vehicles, or cameras; therefore, they can be used in more scenarios",Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction > Receiver design,Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction > Receiver design (L190),0.85
O_ISAC_303,G7,Systematic methodology,1,"designed a novel machine learning-based framework, which evaluates three different methods, multilayer perceptron neural network, radial basis functio",Keywords: Visible light communication Visible light sensing Integrated sensing a > Integrated with machine learning,Keywords: Visible light communication Visible light sensing Integrated sensing a > Integrated with machine learning (L490),0.85
