bundle_path,role,artifact_class,notes
README.md,bundle guide,documentation,"Explains bundle purpose and limits."
MANIFEST.csv,bundle manifest,documentation,"Flat inventory for reviewer navigation."
search_log.csv,canonical aggregate search log,reconstructed_aggregate,"Three canonical database runs anchored to 2025-11-30."
search_log_reconstruction_note_20260411.md,search-log reconstruction note,documentation,"Explains why search_log.csv is reconstructed."
search_strings.md,executed formal search strings,derived_documentation,"Canonical query document for the freeze."
formal_identification_reconstruction_20251130.csv,source-level identification reconstruction,reconstructed_audit,"Maps claimed counts to visible export coverage."
reconstructed_freeze_bundle_note_20260310.md,freeze bundle note,documentation,"Earlier note describing the reconstructed substitute pack."
inferred_freeze_provenance_timeline_20260310.csv,freeze provenance timeline,reconstructed_audit,"Chronology supporting the declared freeze date."
inferred_freeze_provenance_from_memory_bank_20260310.md,freeze provenance narrative,documentation,"Narrative interpretation of the freeze claim."
export2025.12.28-05.30.23.csv,visible IEEE update export,later_update_export,"Later visible export; not the original freeze-time export."
scopus_export_Dec 28-2025_b7fbefb1-055d-45f8-a240-8163c71acaa5.csv,visible Scopus update export,later_update_export,"Later visible export; not the original freeze-time export."
WOS_missing_export_note_20260411.md,missing Web of Science note,documentation,"States that no freeze-time or later visible WoS export is currently present."
