normalized_key,external_decision,external_title,external_doi,external_reason,canonical_track_id,canonical_title,canonical_doi,reconciliation_status
10.1109/ojcoms.2025.3545896,EXCLUDE,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,10.1109/OJCOMS.2025.3545896,No optical carrier detected; Likely RF/THz only,O_ISAC_159,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,10.1109/OJCOMS.2025.3545896,resolved_retain_canonical
10.1109/ojcs.2024.3386733,EXCLUDE,An Intelligent Path Loss Prediction Approach Based on Integrated Sensing and Communications for Future Vehicular Networks,10.1109/OJCS.2024.3386733,No optical carrier detected; Likely RF/THz only,O_ISAC_160,**An Intelligent Path Loss Prediction Approach Based on Integrated Sensing and Communications for Future Vehicular Networks**,10.1109/OJCS.2024.3386733,whole_manuscript_rebaseline_candidate_remove
10.1109/jsteap.2025.3610564,EXCLUDE,"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, Enabling Technologies, and Emerging Trends",10.1109/JSTEAP.2025.3610564,No optical carrier detected,O_ISAC_161,"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, Enabling Technologies, and Emerging Trends",10.1109/JSTEAP.2025.3610564,whole_manuscript_rebaseline_candidate_contextualize
10.1109/jsteap.2025.3603540,EXCLUDE,A Unified Future: Integrated Sensing and Communication (ISAC) in 6G,10.1109/JSTEAP.2025.3603540,No optical carrier detected,O_ISAC_162,A Unified Future: Integrated Sensing and Communication (ISAC) in 6G,10.1109/JSTEAP.2025.3603540,whole_manuscript_rebaseline_candidate_remove
10.1109/comst.2024.3519785,EXCLUDE,The Emergence of Multi-Functional and Hybrid Reconfigurable Intelligent Surfaces for Integrated Sensing and Communications - A Survey,10.1109/COMST.2024.3519785,Review/Survey article,O_ISAC_163,The Emergence of Multi-Functional and Hybrid Reconfigurable Intelligent Surfaces for Integrated Sensing and Communications - A Survey,10.1109/COMST.2024.3519785,whole_manuscript_rebaseline_candidate_contextualize
10.1109/twc.2025.3545372,EXCLUDE,Beam Pattern Modulation Embedded Hybrid Transceiver Optimization for Integrated Sensing and Communication,10.1109/TWC.2025.3545372,No optical carrier detected; Likely RF/THz only,O_ISAC_206,"<span id=""page-0-0""></span>Beam Pattern Modulation Embedded Hybrid Transceiver Optimization for Integrated Sensing and Communication",10.1109/TWC.2025.3545372,whole_manuscript_rebaseline_candidate_remove
10.1109/jlt.2025.3613544,EXCLUDE,Photonics-Assisted Millimeter-Wave Integrated Sensing and Communication Based on OTFS,10.1109/JLT.2025.3613544,No optical carrier detected; Likely RF/THz only,O_ISAC_241,Photonics-Assisted Millimeter-Wave Integrated Sensing and Communication Based on OTFS,10.1109/JLT.2025.3613544,resolved_retain_canonical
10.1109/lpt.2025.3614902,EXCLUDE,Sliding window-based LSTM scheme for PAM-4 photonics-assisted W-band ISAC systems,10.1109/LPT.2025.3614902,No optical carrier detected,O_ISAC_242,Sliding window-based LSTM scheme for PAM-4 photonics-assisted W-band ISAC systems,10.1109/LPT.2025.3614902,resolved_retain_canonical
10.23919/oecc/psc62146.2025.11110813,EXCLUDE,An Adaptive Control System for Satellite-Ground Laser Communication Based on Integrated Sensing and Communication,10.23919/OECC/PSC62146.2025.11110813,No optical carrier detected,O_ISAC_252,An Adaptive Control System for Satellite-Ground Laser Communication Based on Integrated Sensing and Communication,10.23919/OECC/PSC62146.2025.11110813,resolved_retain_canonical
10.1109/jlt.2023.3344788,EXCLUDE,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,10.1109/JLT.2023.3344788,No optical carrier detected; Likely RF/THz only,O_ISAC_300,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,10.1109/JLT.2023.3344788,resolved_retain_canonical
