paper_id,section,macro_domain,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,json_path,json_value,medium,application_domains_json,application_domains_canonical,macro_domains_json,scenario_description,scenario_labels,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_001,7B,indoor_environments,localization,lexical,INDIRECT,"The text mentions 'indoor, outdoor and space applications' which implies that indoor environments are being considered, but it does not directly discuss the characteristics or specifics of indoor environments.","*Abstract***—Optical Wireless Communications (OWC) is expected to play a significant role in the 6G ecosystem as a complementary technology to RF for indoor, outdoor and space applications. This paper reviews key modulation strategies for OWC that support both robust communication and sensing functionalities. We explore constant envelope OFDM (CE-OFDM), a waveform that mitigates nonlinearities and enhances performance under noise, as well as standard OFDM's potential for supporting joint communication and sensing tasks such as localization and material classification. The synergy between communication and sensing in OWC systems represents a key advancement toward the intelligent, efficient, and multifunctional wireless networks required in 6G.**",13,13,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,7B,indoor_environments,localization,lexical,INDIRECT,"The text discusses VLC systems and OFDM-based modulation schemes, which are often used in indoor environments, but it does not directly address indoor environments.","The dual use of communication signals for both data transmission and environmental sensing is emerging as a key feature in 6G wireless systems. This approach, often referred to as integrated sensing and communication (ISAC), enables devices to extract contextual information, such as position, motion, or occupancy. from the same signals used for communication, reducing hardware complexity and power consumption. While ISAC has been primarily explored in the RF domain, its application to VLC [9,10] systems is gaining traction due to the unique properties of optical carriers. VLC inherently offers high spatial resolution and low interference, making it well-suited for indoor sensing tasks such as gesture recognition, object detection, and user localization. By leveraging the high bandwidth and directionality of optical channels, VLC systems can support high-speed communication while simultaneously enabling fine-grained sensing capabilities. This dual functionality is particularly attractive for smart environments, such as intelligent homes, offices, and factories, where minimizing infrastructure costs and maximizing system intelligence are crucial. Moreover, integrating sensing into VLC may enhance security and context-awareness, enabling adaptive communication strategies. As research progresses, new waveform designs,",35,35,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_001,7B,indoor_environments,localization,lexical,NONE,"The text does not mention indoor environments explicitly, instead focusing on material classification and the use of CE-OFDM in VLC systems.","In addition to localization, the information embedded in reflected or transmitted optical signals can be used to infer the physical properties of materials. In [11], it was introduced a framework for material classification using features derived from OFDM-based OWC signals. Their setup involved measuring Error Vector Magnitude (EVM) and distance between the laser source and target material, which were then fed into machine learning models to classify objects as glass, plastic, or aluminum.",41,41,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7B,indoor_environments,localization,lexical,NONE,"The text does not mention indoor environments explicitly, instead focusing on material classification and the use of CE-OFDM in VLC systems, similar to snippet 2.","The remainder of this paper is organized as follows. Section II introduces the fundamental concepts of CE-OFDM and its implementation in VLC systems. Section III presents an experimental performance evaluation, comparing CE-OFDM with conventional OFDM under various modulation indices. Section IV explores the suitability of CE-OFDM for localization, highlighting its potential for ISAC. Finally, Section V concludes the paper and outlines potential directions for future research.",43,43,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7B,indoor_environments,IPS,lexical,NONE,The text does not mention indoor environments or any related concepts.,"Moreover, the results reveal a trade-off between modulation index and system performance. At low modulation indices, the CE-OFDM signal exhibits higher sensitivity to noise, resulting in increased EVM. As the modulation index increases, the signal becomes more resilient to noise, and the EVM improves until a critical point beyond which phase ambiguities, known as cycle slips, begin to dominate. To address this limitation, the phase correction (PC) algorithm proposed in [8] was introduced and experimentally validated. The dashed curves in Fig. 1 show the effect of applying the PC algorithm, which significantly reduces the EVM across all modulation orders, particularly at high modulation indices where the uncorrected system would otherwise suffer from cycle slip-induced degradation. Fig. 2 presents the power spectral density (PSD) of CE-OFDM",106,106,III. VLC CE-OFDM PERFORMANCE ASSESSMENT,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7B,indoor_environments,localization,lexical,NONE,The text does not mention indoor environments or any related concepts.,## IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,116,116,III. VLC CE-OFDM PERFORMANCE ASSESSMENT > IV. ON THE SUITABILITY OF CE-OFDM FOR LOCALIZATION IN VLC SYSTEMS,,,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_001,7B,indoor_environments,,json,DIRECT,Structured study-level application domain mapping,VLC system for indoor positioning and 6G networks,,,,study_level.application.application_domain,indoor_positioning;6g_networks,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,VLC system for indoor positioning and 6G networks,VLC system with CE-OFDM,json,DIRECT,,,False
O_ISAC_002,7B,indoor_environments,positioning,lexical,NONE,"The provided snippet does not mention or imply anything related to indoor environments. It discusses photonic THz sensing, communication performance, and signal processing, which does not directly or indirectly relate to indoor environments.","Recent photonic THz-ISAC prototypes have achieved timing resolution at the nanosecond level and positioning resolution on a millimeter scale, highlighting their potential to enhance communication performance without the need for separate sensing devices. Using the proposed LFM-PSK waveform depicted in Fig. 1, a complementary LFM sensing signal—featuring an opposite chirp slope and fractional amplitude—is periodically inserted to compensate for communication performance, as shown in Fig. 3a [10]. Theoretical analysis confirms that this LFM pair exhibits quasi-orthogonality, which enables adaptive synchronization in both time and frequency domains. Through matched filtering and the fractional Fourier transform (FrFT), time and frequency synchronization (in Fig. 3b) have been achieved in a 20 Gbit/s wireless link with a minimal synchronization overhead of only 0.5% [10-11]. Additionally, this concurrent sensing signal can support multipath channel estimation using a frequency-domain",41,41,**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** > **2. Photonic THz ISAC Waveform Design** > 4. Photonic THz Sensing enhanced Communications,,,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_002,7B,indoor_environments,,json,DIRECT,Structured study-level application domain mapping,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,,,,study_level.application.application_domain,6g_networks;indoor_positioning,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,Photonic terahertz integrated sensing and communication system for indoor positioning and 6G networks,Indoor Photonic Terahertz ISAC System,json,DIRECT,,,False
O_ISAC_003,7B,indoor_environments,positioning,lexical,INDIRECT,"The text mentions vehicle environments and the use of visible light communication (VLC) in vehicular networks, which implies an outdoor or transportation setting rather than a direct reference to indoor environments.","In recent years, visible light has found extensive applications in sensing fields, particularly in visible light positioning (VLP) and scatterer sensing. In particular, Ma et al. in [5] explored the backshot VLC and retroreflective visible light communication and positioning (R-VLCP) systems, while Shao et al. in [6] developed a return channel model for return visible light communication and positioning. Zhang et al. in [7] explored the NLoS (Non-Line-of-Sight) optical channels formed by reflections from the ground or objects to establish an integrated channel model for simultaneous communication and sensing. Most of the above are characterization and modeling of ISAC channels in indoor VLC, and the studies focus on characterizing ISAC channels using echo patterns. While the research on sensing integrated channel for outdoor visible light communication is still at an early stage, the research on VLC channel in V2V scenarios has been very extensive, but the research on sensing channel is relatively limited, especially the different sensing modes with different positions of transmitter (TX) and sensing receiver (RXS), and the sensing channel involves the TX-Target-RXS link, which is very different from the communication channel in terms of characterization. Therefore, when analyzing the visible-based ISAC channel characteristics according to some of the existing channel study methods [8], key factors such as large-scale fading, Doppler effects, multipath effects such as LoS (lineof-sight) and NLoS composition, scattering, and reflection must be considered. By comprehensively considering these factors, the signal propagation characteristics under different environmental conditions can be better understood, and the reliability, accuracy, and energy efficiency of ISAC system in complex scenes can be improved.",17,17,I. INTRODUCTION,,,wireless_vlc,vehicular;indoor_positioning,vehicular;indoor_positioning,automotive_transportation;indoor_environments,V2V scenario with mono-static sensing and bi-static sensing,Mono-static sensing;Bi-static sensing,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
