record_id,title,year,doi,row_origin,phase2_source,title_decision,title_reason_exclude,fulltext_decision,fulltext_reason_exclude,is_final_included,present_in_retrieved_docs,legacy_group_size,legacy_decision_summary,reviewer_initials,date_decided,evidence_status,notes
O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,2025,10.1109/ICTON67126.2025.11125210,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_002,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,2025,,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_003,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,2025,10.1109/WCNC61545.2025.10978645,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_004,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,2025,10.1109/ICOCN67308.2025.11145535,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_005,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,2025,10.1109/WCNC61545.2025.10978163,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_006,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,2024,10.1109/ICCT62411.2024.10946617,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_007,Miniaturized optical fiber displacement probe with large-collection-angle,2025,10.1109/ICOCN67308.2025.11145514,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
O_ISAC_008,Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna,2025,10.23919/OECC/PSC62146.2025.11111436,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_009,Integrated Positioning and Communication Relying on Wireless Optical OFDM,2025,10.1109/JSAC.2025.3543532,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,1,Duplicate,,2025-12-28,canonical_reconstructed_assessed,matched_legacy_screening
O_ISAC_010,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber,2025,10.1109/ICWOC65853.2025.11150794,phase2_assessed_reconstruction,phase2_extraction_dataset,Include,,Included,,yes,yes,0,,,,canonical_reconstructed_assessed,phase2_only_no_legacy_screening_match
