paper_id,title,matched_cues,rejection_reason,verification_status
O_ISAC_001,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_013,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_014,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_025,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_028,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_032,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_033,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_036,,gold_evidence,"Weak intent: 1 matches, 0 structural cues",borderline
O_ISAC_039,,gold_evidence,"Weak intent: 1 matches, 0 structural cues",borderline
O_ISAC_046,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_047,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_050,,gold_evidence,"Weak intent: 1 matches, 0 structural cues",borderline
O_ISAC_053,,gold_evidence,"Weak intent: 0 matches, 2 structural cues",borderline
O_ISAC_055,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_061,,gold_evidence,No survey intent or structural cues found,rejected
O_ISAC_062,,gold_evidence,"Weak intent: 1 matches, 0 structural cues",borderline
O_ISAC_080,,gold_evidence,"Weak intent: 1 matches, 0 structural cues",borderline
O_ISAC_082,,gold_evidence,No survey intent or structural cues found,rejected
