paper_id,section,concept,variant,match_type,strength,rationale,quote,line_start,line_end,heading_path,llm_model_pass1,llm_label_pass1,llm_model_pass2,llm_label_pass2,llm_escalated
O_ISAC_007,5C,rate-resolution trade-off,rate vs. resolution,fuzzy:100.0,NONE,"The snippet discusses transmission matrices, mode field distribution, and coupling efficiency in the context of optical fibers, but does not directly or indirectly mention the concept of rate-resolution trade-off.",.,102,102,I. INTRODUCTION > II. PRINCIPLE,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_015,5C,pareto optimal,Efficient solution,lexical,NONE,The concept of pareto optimal is not mentioned in this snippet.,"Abstract—The emergence of visible light communication (VLC) provides a promising low-cost, radiation-free, and energyefficient solution to the limited spectrum of wireless networks. However, the design issues of line-of-sight (LOS) blockage, user mobility support, random device orientation, and the limited field-of-view of VLC access points (APs) and receivers have delayed its adoption. This letter explores the use of movable AP (MAP) technology to address these issues in a visible light based joint communication and sensing system. First, a system model for a MAP-aided integrated visible light communication and sensing (IVLCS) network is proposed. Then, a non-convex optimization problem is formulated to maximize the aggregate sum rate and sensing mutual information (MI) by jointly optimizing MAPs' position and user association. A low-complexity algorithm that obtains a locally optimal solution is proposed by leveraging the difference of convex functions and the majorization-minimization technique. Simulation results reveal that the proposed MAP-aided IVLCS system is more robust against link blockages, provides mobility support and can significantly enhance aggregate sum rate and MI compared to a fixed AP system.",9,9,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_015,5C,pareto optimal,Optimal solution,lexical,NONE,The concept of pareto optimal is not mentioned in this snippet.,"- To handle this non-convex problem, we leverage the difference of convex functions and the majorization-minimization (MM) method to propose a low-complexity solution that obtains a locally optimal solution.",40,40,"<span id=""page-0-0""></span>I. INTRODUCTION",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_015,5C,pareto optimal,Optimal solution,lexical,NONE,"The concept of pareto optimal is not mentioned in this snippet, although optimization is discussed.","The problem in (8) belongs to the class of combinatorial optimization which is generally challenging to obtain the global optimal solution. A straightforward approach involves enumerating all possible MAPs via the exhaustive search method to find the global optimal solution. However, this approach is impractical due to its exorbitant computational complexity, even for small number of APs. In the sequel, an efficient low-complexity solution based on the difference of",122,122,III. JOINT MAP POSITION AND USER ASSOCIATION OPTIMIZATION > A. Communication Metric > B. Sensing Metric > D. Proposed Solution,meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_015,5C,pareto optimal,Optimal solution,lexical,NONE,"The concept of pareto optimal is not mentioned in this snippet, although optimization is discussed.",convex functions [19] and the MM technique [20] is proposed to obtain a locally optimal solution.,132,132,"<span id=""page-2-4""></span>**Algorithm 1** Proposed Algorithm for Solving (12)",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_015,5C,pareto optimal,Optimal solution,lexical,NONE,"The concept of pareto optimal is not mentioned in the given snippet, which discusses a convex optimization problem and its solution using an algorithm.","where  $a_{i_j,g}^{(k-1)}$  is the k-1-th iterate solution of the problem. The problem in (12) is a convex optimization problem which can be solved efficiently by employing some convex optimization algorithm and tools, such as CVX. The proposed solution is summarized in Algorithm 1. The proposed algorithm converges to a locally optimal solution of (8) with polynomial time complexity as shown in [19], and after three iterations. Specifically, the per iteration computational complexity is  $\mathcal{O}((IJG)^3(I+J+G))$ .",170,170,"<span id=""page-2-4""></span>**Algorithm 1** Proposed Algorithm for Solving (12)",meta-llama/llama-4-scout-17b-16e-instruct,NONE,llama-3.3-70b-versatile,NONE,True
O_ISAC_016,5C,capacity-resolution quotient,capacity-resolution quotient,fuzzy:96.42857142857143,DIRECT,The abstract directly mentions the concept of 'capacity-resolution quotient' and provides a specific value of 100.41 Gbps/cm.,"*Abstract—***The intelligence of future society necessitates an immediate requirement for ultra-high-speed communication and ultra-resolution sensing in the 6G era. In this demonstration, we present a photonic sub-THz integrated sensing and communication system. The demonstrated system achieves a real-time line rate of 251.03 Gbps and an offline sensing resolution of 2.5 cm, resulting in an impressive capacityresolution quotient of up to 100.41 Gbps/cm. The ultra-highspeed real-time communication is based on a fiber-THz-fiber transmission architecture, which boasts ultra-wideband realtime processing capability. Meanwhile, the ultra-resolution sensing is accomplished utilizing an optical frequency comb with low frequency offset and low phase noise.**",13,13,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_016,5C,capacity-resolution quotient,CRQ,lexical,INDIRECT,"The concept of capacity-resolution quotient (CRQ) is mentioned in the table, but it is not explicitly defined or explained in the given snippet. The table provides values for CRQ, but the context suggests that it is being used as a metric for comparison, rather than being directly explained or defined.",| Wave.<br>Mode  | Wireless<br>Distance<br>(m) | Com.<br>Rate<br>(Gbps) | Sen.<br>Res.<br>(cm) | CRQ<br>(Gbps/cm) |,25,25,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution > I. INTRODUCTION,meta-llama/llama-4-scout-17b-16e-instruct,INDIRECT,llama-3.3-70b-versatile,INDIRECT,True
O_ISAC_016,5C,capacity-resolution quotient,capacity-resolution quotient,lexical,DIRECT,"The text directly discusses the concept of capacity-resolution quotient (CRQ) and compares it with previous works, mentioning that 'In most reported works, the capacity-resolution quotient (CRQ) was constrained to below 50 Gbps/cm'.","systems. In most reported works, the capacity-resolution quotient (CRQ) was constrained to below 50 Gbps/cm. In [5], an ultra-high CRQ was achieved at the expense of a reduced communication rate, and the communication was measured offline (OL). In our previous work [6], real-time (RT) communication was demonstrated; however, processing sensing signals in the digital domain necessitates a widebandwidth analog-to-digital converter, and the wireless range is restricted to less than 1m.",37,37,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution > I. INTRODUCTION,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
O_ISAC_016,5C,capacity-resolution quotient,CRQ,lexical,DIRECT,"The conclusion directly mentions the 'remarkable CRQ of up to 100.41 Gbps/cm', referring to the capacity-resolution quotient.",We have presented a photonics-assisted ISAC system at the D-band. The experimental results demonstrate the simultaneous achievement of real-time 251.03-Gbps data rate under the SD-FEC limit and offline 2.5-cm imaging resolution over a wireless distance of 10.3 m. The ultra-high-speed data rate and exceptional radial resolution result in a remarkable CRQ of up to 100.41 Gbps/cm.,99,99,II. SYSTEM DESCRIPTION AND PRINCIPLE > *C. Radar receiver* > III. RESULTS AND DISCUSSION > IV. CONCLUSIONS,meta-llama/llama-4-scout-17b-16e-instruct,DIRECT,,,False
