"claim_id","claim_short","paper_id","year","title","venue","doi","modality","evidence_type","where_in_paper","supporting_excerpt","why_it_supports","metric_terms","terminology_terms","cross_domain_note","confidence","source_path","source_locator"
"C1","Terminology aliasing","O_ISAC_001","2025","Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G","IEEE Journal","10.1109/COMST.2025.3577779","VLC","Experimental","Modulation Strategies for Robust Optical Wireless ","(ISAC)* ## I. INTRODUCTION The next generation of wireless networks, commonly referred to as 6G, is expected to revolutionize the landscape of telecommunication by","Explicit terminology aliasing detected with pattern 'referred to as'.","","referred to as","","0.9","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md","Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION (L15)"
"C1","Terminology variant usage","O_ISAC_001","2025","Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G","IEEE Journal","10.1109/COMST.2025.3577779","VLC","Experimental","REFERENCES","- [10] S. Chen, C. Chen, Z. Zeng, Y. Yang and H. Haas, ""Full-Duplex RO-ISAC System: Wavelength Division Duplexing and Hybrid Waveform Design,"" in","Uses distinctive O-ISAC terminology variant 'RO-ISAC'.","","RO-ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md","REFERENCES (L130)"
"C5","Framework/benchmark need","O_ISAC_001","2025","Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G","IEEE Journal","10.1109/COMST.2025.3577779","VLC","Experimental","Modulation Strategies for Robust Optical Wireless ","concludes the paper and outlines potential directions for future research. #### II. VLC SYSTEM EMPLOYING CE-OFDM #### A. VLC CE-OFDM Transmitter The time continuous","Discusses 'future direction' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_001\O_ISAC_001.md","Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G > I. INTRODUCTION (L35)"
"C1","Terminology variant usage","O_ISAC_002","2025","Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems","Journal of Lightwave Technology","NR","Photo-THz","Experimental","**2. Photonic THz ISAC Waveform Design**","system designs that use photonic THz sensing to enhance communication capabilities. # **2. Photonic THz ISAC Waveform Design** The photonic THz-ISAC system needs to","Uses distinctive O-ISAC terminology variant 'Photo-THz ISAC'.","","Photo-THz ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_002\O_ISAC_002.md","**2. Photonic THz ISAC Waveform Design** (L15)"
"C4","Cross-domain gap","O_ISAC_002","2025","Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems","Journal of Lightwave Technology","NR","Photo-THz","Experimental","**Photonic Terahertz Integrated Sensing and Commun","multi-dimensional multiplexing, challenges remain, including high hardware costs and a lack of additional integration gains [5-6]. These issues limit the synergy between communication and","Strategic section discusses 'lack of' indicating cross-domain transfer issue.","","","Discusses 'lack of' in Photo-THz","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_002\O_ISAC_002.md","**Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems** > **1. Introduction** (L13)"
"C1","Terminology variant usage","O_ISAC_005","2024","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions","IEEE Journal","10.1109/JIoT.2024.3399153","FSO","Simulation","Integrated Sensing and Communication for UAV Traje","the transmitter side. Therefore, this paper proposes a novel optical ISAC (O-ISAC) framework, where the back-scattered light from the FSO communication signal is used","Uses distinctive O-ISAC terminology variant 'O-ISAC'.","","O-ISAC","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions (L5)"
"C2","Metric definition/usage","O_ISAC_005","2024","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions","IEEE Journal","10.1109/JIoT.2024.3399153","FSO","Simulation","III. PROBLEM FORMULATION AND RESOURCE ALLOCATION >","MHz. Note that the optical channel sensing is evaluated for two SNR threshold levels, $\Theta_{\rm th}$ , specifically at 10 dB and -10 dB.","Defines/uses metric 'SNR' with specific formula or value.","SNR","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md","III. PROBLEM FORMULATION AND RESOURCE ALLOCATION > Algorithm 1: RL for UAV Trajectory Optimization > IV. RESULTS AND SYSTEM PERFORMANCE (L193)"
"C3","Cross-modality contrast","O_ISAC_005","2024","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions","IEEE Journal","10.1109/JIoT.2024.3399153","FSO","Simulation","I. INTRODUCTION","setup, and low maintenance costs, FSO links are a promising alternative to traditional fiber optics for backhaul connectivity. However, FSO links experience atmospheric losses","FSO paper explicitly contrasts with FIBER, evidencing siloed research.","","","FSO vs FIBER","0.8","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md","I. INTRODUCTION (L11)"
"C5","Framework/benchmark need","O_ISAC_005","2024","Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions","IEEE Journal","10.1109/JIoT.2024.3399153","FSO","Simulation","III. PROBLEM FORMULATION AND RESOURCE ALLOCATION >","positioning it as an integral component of future 6G networks. Future work could explore the impact of variable UAV speed, while also considering interference","Discusses 'future direction' in context of need/lack/proposal.","","","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_005\O_ISAC_005.md","III. PROBLEM FORMULATION AND RESOURCE ALLOCATION > Algorithm 1: RL for UAV Trajectory Optimization > IV. RESULTS AND SYSTEM PERFORMANCE > V. CONCLUSION (L215)"
"C1","Terminology variant usage","O_ISAC_006","2024","Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber","Journal of Lightwave Technology","10.1109/JLT.2024.3391234","Fiber","Experimental","Recent Advancements and Challenges in Integrated S","to extensive fiber-optic networks[4-5]. The integrated sensing and communication in optical fiber (ISAC-OF) does not require the installation of additional sensors. It has the","Uses distinctive O-ISAC terminology variant 'ISAC-OF'.","","ISAC-OF","","0.85","c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md","Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber > I. INTRODUCTION (L23)"
