paper_id,year,title,tier,subdomain_label,modality_coverage,scope_excerpt,scope_locator,limitations_excerpt,limitations_locator,source_path,confidence,feeder_strength,is_core
O_ISAC_163,2025,Multi-Functional and Hybrid RIS for ISAC - A Survey,1,O-ISAC,Photo-THz,This survey provides an up-to-date summary of the state of the art.,The Emergence of Multi-Functional and Hybrid Reconfigurable Intelligent Surfaces (L5),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_163\O_ISAC_163.md,0.9,10,1
O_ISAC_303,2024,"Integrated sensing, lighting and communication based on visible light communication: A review",1,O-ISAC,Multi,This review is organized as follows.,Keywords: Visible light communication Visible light sensing Integrated sensing a > Introduction (L49),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_303\O_ISAC_303.md,0.9,10,1
O_ISAC_003,2025,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,2,VLC_positioning,Multi,"Rapid development of intelligent transportation systems (ITS) has led to advancements in vehicle-to-vehicle (V2V) communication technology, which is c",I. INTRODUCTION (L11),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_003\O_ISAC_003.md,0.75,4,0
O_ISAC_006,2024,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,2,DFOS_DAS,Multi,Abstract—This paper tends to introduce the current development status of integrated sensing and communication in optical fiber by presenting several o,Recent Advancements and Challenges in Integrated Sensing and (L17),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_006\O_ISAC_006.md,0.75,4,1
O_ISAC_009,2025,Integrated Positioning and Communication Relying on Wireless Optical OFDM,2,VLC_positioning,Multi,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md,0.75,2,0
O_ISAC_013,2025,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficie,2,DFOS_DAS,Multi,"Haohan Guo, Kun Liu , Yuanyao Li , Ji Liu, Huafang Wang, Jinqi Deng, Junfeng Jiang , Tiegen Liu , and Zhenyang Ding *Abstract***—Distributed optical",Single-Ended  100-km Distributed Vibration Sensor Based on O (L5),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_013\O_ISAC_013.md,0.75,3,0
O_ISAC_016,2024,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offl,2,Optical_transmission,Multi,we present a photonic sub-THz integrated sensing and communication system.,Demonstration of Photonic Sub-THz ISAC System with Real-Time (L9),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_016\O_ISAC_016.md,0.75,4,1
O_ISAC_021,2023,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",2,FSO_channel,FSO,"Yunfeng Wen, Fang Yang, Jian Song, and Zhu Han ## ABSTRACT Integrated sensing and communication (ISAC) is viewed as a crucial component of future mobi","Optical Integrated Sensing and Communication: Architectures, (L3)",future research of O-ISAC.,FUTURE TRENDS AND CHALLENGES FOR O-ISAC > ADVANCED HARDWARE FOR O-ISAC > Perform (L177),c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_021\O_ISAC_021.md,0.75,8,1
O_ISAC_022,2022,Joint Visible Light Sensing and Communication Using m-CAP Modulation,2,VLC_positioning,Multi,"Index Terms—Multiband CAP (m-CAP), received signal strength (RSS), visible light communication (VLC), visible light positioning (VLP), joint sensing a",Joint Visible Light Sensing and Communication Using m-CAP Mo (L7),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md,0.75,4,0
O_ISAC_031,2023,Photonics-enabled full-duplex millimeter-wave integrated sensing and communication,2,VLC_positioning,General,the primary goal remains to improve the efficiency of the ISAC system.,Photonics-enabled full-duplex millimeter-wave integrated sen > I. INTRODUCTION (L42),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_031\O_ISAC_031.md,0.75,4,0
O_ISAC_035,2025,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing and Communications,2,FSO_channel,Multi,"Zhengchao Ban , Jingbo Tang , Qijie Xie , and Yichuan Li Abstract—The integrated sensing and communication (ISAC) is emerging as a crucial technology ",OCDM-Based FMCW Waveform Design for FSO Integrated Sensing a (L3),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_035\O_ISAC_035.md,0.75,4,1
O_ISAC_041,2024,Co-Route Fiber Recognition and Status Diagnosis Based on Integrated Sensing and Communication in 6G ,2,DFOS_DAS,Fiber,Optical time-domain reflectometers (OTDRs) are commonly used for fiber detection [\[14\]](#page-9-13).,"span id=""page-0-2""/spanspan id=""page-0-1""/spanspan id=""page- (L31)",,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md,0.75,4,1
O_ISAC_044,2024,Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time-Frequency Divis,2,VLC_positioning,Multi,this paper provides a detailed analysis of the causes of system distance error and corresponding solutions.,Photonic-Based W-Band Integrated Sensing and Communication S (L23),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_044\O_ISAC_044.md,0.75,6,1
O_ISAC_047,2025,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal ,2,VLC_positioning,Multi,"Abstract—In this paper, an orthogonal time frequency space (OTFS) waveform based on photonics-assisted is proposed in a W-band fiber-wireless integrat",Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fib (L5),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_047\O_ISAC_047.md,0.75,4,0
O_ISAC_053,2021,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Closed Loop Controller,2,VLC_positioning,Multi,"In the course of defining new integral parts for the future communication standard of 6G [1,2], the main directions are the integration of short-range",Integrated Sensing and Communication in the Visible Spectral > I. INTRODUCTION (L13),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md,0.75,4,0
O_ISAC_054,2024,Optical Integrated Sensing and Communication With Light-Emitting Diode,2,VLC_positioning,General,interaction between devices and their environments necessitates advancements in technologies that can simultaneously support communication and sensing,"span id=""page-0-0""/spanI. INTRODUCTION (L23)",,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md,0.75,4,0
O_ISAC_058,2024,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capabil,2,FSO_channel,Multi,"Abstract—In the impending 6G era, the integration of sensing and communication (ISAC) systems in the millimeter-wave (MMW) band will assume a pivotal ",Photonic-Based Flexible Integrated Sensing and Communication (L5),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md,0.75,4,1
O_ISAC_060,2022,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,2,FSO_channel,General,"Minghua Cao School of Computer and Communication Lanzhou University of Technology Lanzhou, Gansu 730050, China caominghua@lut.",A Unified Waveform for Optical Wireless Integrated Sensing a (L3),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_060\O_ISAC_060.md,0.75,3,0
O_ISAC_062,2024,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algori,2,VLC_positioning,VLC/LiFi,"Bingpeng Zhou , Member, IEEE, Xin Wang, Student Member, IEEE, Yuan Shen, Senior Member, IEEE, and Pingzhi Fan, Fellow, IEEE Abstract—Visible light com",6-DoF Location-and-Pose Estimation Toward Integrated Visible (L3),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,0.75,5,1
O_ISAC_063,2024,Simple and Precise Characterization of Full-Field Frequency Response for Coherent TOSA,2,Optical_transmission,Fiber,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_063\O_ISAC_063.md,0.75,1,0
O_ISAC_068,2023,Joint Communication and Sensing Prospects: Potential Through Visible Light,2,VLC_positioning,Multi,"Joint Communication and Sensing (JCS), also known as Integrated Sensing And Communication (ISAC), Sensing-Communication Integration (SCI) or Cooperati",Joint Communication and Sensing Prospects: Potential Through > I. INTRODUCTION (L15),"However, several challenges, including spectrum scarcity, interference management and hardware limitations, need to be addressed to fully realize the ",IV. OUTLOOK AND CONCLUSIONS (L143),c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md,0.75,8,1
O_ISAC_070,2025,Exploring Photonic THz-ISAC Systems with Integrated Waveforms,2,Optical_transmission,Multi,we summarize recent worldwide research efforts using integrated waveforms and extrapolate the technological evolution tendency.,I. INTRODUCTION (L35),further research efforts in this underexploited direction can be highly rewarding.,V. DISCUSSION AND CONCLUSION (L207),c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_070\O_ISAC_070.md,0.75,8,1
