package_path,source_path,role,public_share_recommended,notes
01_protocol/prisma_proto.md,protocol/prisma_proto.md,registered review protocol,yes,Core protocol and source policy
01_protocol/search_strings.md,search/search_strings.md,formal search strings,yes,Safe derived documentation
02_search_and_flow/prisma_flow_counts.csv,screening/prisma_flow_counts.csv,canonical PRISMA flow counts,yes,Core flow file
02_search_and_flow/formal_identification_reconstruction_20251130.csv,search/formal_identification_reconstruction_20251130.csv,source-level identification reconstruction,yes,Derived reconstruction not raw export
02_search_and_flow/upstream_prisma_reconstruction_20260310.csv,search/upstream_prisma_reconstruction_20260310.csv,stage-level PRISMA reconstruction,yes,Documents row-backed versus reconstructed stages
02_search_and_flow/dedup_log.csv,search/dedup_log.csv,best available duplicate ledger,yes,Partial ledger only
02_search_and_flow/dedup_reconstruction_status.md,search/dedup_reconstruction_status.md,dedup evidence status note,yes,Explains remaining gap
02_search_and_flow/reconstructed_freeze_bundle_note_20260310.md,search/reconstructed_freeze_bundle_note_20260310.md,freeze bundle note,yes,Explains reconstructed support pack
02_search_and_flow/inferred_freeze_provenance_from_memory_bank_20260310.md,search/inferred_freeze_provenance_from_memory_bank_20260310.md,freeze provenance note,yes,Historical grounding note
02_search_and_flow/inferred_freeze_provenance_timeline_20260310.csv,search/inferred_freeze_provenance_timeline_20260310.csv,freeze provenance timeline,yes,Derived chronology file
03_screening_and_inclusion/excluded_fulltext_log.csv,screening/excluded_fulltext_log.csv,full-text exclusion log,yes,PRISMA Item 16b support
03_screening_and_inclusion/fulltext_assessed_reconstruction.csv,screening/fulltext_assessed_reconstruction.csv,full-text assessed set,yes,Backs n=222
03_screening_and_inclusion/included_studies_canonical.csv,screening/included_studies_canonical.csv,final included set,yes,Backs n=220
03_screening_and_inclusion/canonical_included_corpus_ledger.csv,screening/canonical_included_corpus_ledger.csv,included-study ledger,yes,Best traceability file
03_screening_and_inclusion/title_abstract_screening_reconstruction.csv,screening/title_abstract_screening_reconstruction.csv,title-abstract reconstruction,yes,Derived metadata-level screening reconstruction
03_screening_and_inclusion/title_abstract_screening_reconstruction_status.md,screening/title_abstract_screening_reconstruction_status.md,title-abstract status note,yes,Explains reconstruction limits
04_audit_notes/section3_evidence_reconstruction.md,screening/section3_evidence_reconstruction.md,Section III evidence note,yes,Strong narrative summary
04_audit_notes/10_prisma_flow_evidence_map.md,manuscript/finalShortened/kontrol_listeleri/10_prisma_flow_evidence_map.md,repo evidence map,yes,Audit navigation file
05_appendix/included_studies_appendix.tex,manuscript/current_bundle/included_studies_appendix.tex,full included-studies appendix,yes,Useful supplement artifact
