paper_id,category,model,status,evidence,full_reasoning
O_ISAC_005,Atmospheric,Beer-Lambert,ADOPTED,The attenuation coefficient vartheta is determined based on the Beer-Lambert law.,I checked Section II where the system model is defined. The authors explicitly define the FSO channel gain using the Beer-Lambert law (Equation 2) and the path loss for LoS and NLoS links (Equation 5).
O_ISAC_005,Atmospheric,Beer-Lambert,ADOPTED,The attenuation coefficient $\vartheta$ is determined based on the Beer-Lambert law.,"I checked Section II where the authors define their system model. They explicitly use the Beer-Lambert law for atmospheric attenuation and provide an equation for the average gain $g_0$ that accounts for geometric loss and atmospheric channel gain $h_0$. The FSO channel capacity model is also defined. For the UAV-user communication, they use a probability of LoS link and path loss expressions. However, no specific turbulence or pointing error models are defined in the system model section, except for the use of an advanced PAT method to correct pointing errors and the consideration of fog effects."
O_ISAC_022,Multipath/Indoor,Lambertian,ADOPTED,The order of Lambertian emission of the i-th light source is related to its semi-angle at half-power.,"I checked Section II where the authors define their system model. The authors explicitly use the Lambertian model for the radiation pattern of the LED light sources, which is a type of Multipath/Indoor channel model. Additionally, they use a Line-Of-Sight (LOS) optical wireless channel impulse response, which is also related to Multipath/Indoor channel models. No specific models for Atmospheric, Turbulence, or Pointing error channels are mentioned."
O_ISAC_022,Multipath/Indoor,Line-Of-Sight (LOS),ADOPTED,"The NLOS component is not taken into account, so that h(t) = h_LOS,i(t).","I checked Section II where the authors define their system model. The authors explicitly use the Lambertian model for the radiation pattern of the LED light sources, which is a type of Multipath/Indoor channel model. Additionally, they use a Line-Of-Sight (LOS) optical wireless channel impulse response, which is also related to Multipath/Indoor channel models. No specific models for Atmospheric, Turbulence, or Pointing error channels are mentioned."
O_ISAC_022,Multipath/Indoor,Line-of-Sight (LOS),ADOPTED,"The channel impulse response is composed of a line-of-sight (LOS) component hLOS,i(t) coming from the direct path between the AP and the UE (Equation (4)).","I checked Section II where the authors define their system model. The channel model is described in Section II-D, The Optical Wireless Channel, where the authors use the commonly used OWC channel model. The impulse response of the optical wireless channel is given by Equation (4), which is a Dirac function representing the line-of-sight (LOS) component. The LOS impulse response is further modeled in Equation (5), which depends on the link geometry. The channel model does not explicitly mention any specific probability distribution or path loss model from the target categories."
O_ISAC_023,Turbulence,Log-Normal,ADOPTED,The log-normal distribution is adopted to model the FSO turbulent channel under weak atmospheric turbulence (Eq 14),"I checked Section II. The authors explicitly define the channel model using the log-normal distribution for FSO turbulent channels under weak atmospheric turbulence (Eq 14) and the Beer-Lambert law for atmospheric attenuation (Eq 16). They also mention the geometric loss (Eq 17) and the pointing error, but do not provide a specific model for it."
O_ISAC_023,Atmospheric,Beer-Lambert,ADOPTED,"The atmospheric attenuation arises from the absorption and scattering of fog, haze, and heavy rain, and an empirical formula to calculate the attenuation in dB scale is given by (Eq 16)","I checked Section II. The authors explicitly define the channel model using the log-normal distribution for FSO turbulent channels under weak atmospheric turbulence (Eq 14) and the Beer-Lambert law for atmospheric attenuation (Eq 16). They also mention the geometric loss (Eq 17) and the pointing error, but do not provide a specific model for it."
O_ISAC_023,Turbulence,Log-Normal,ADOPTED,"The log-normal distribution is adopted to model the FSO turbulent channel under weak atmospheric turbulence, and the stochastic scintillation term L_t(D) follows the distribution of p(L_t; D) = 1/(L_t sqrt(2*pi*sigma_t^2)) * exp(-1/(2*sigma_t^2) * (ln(L_t/L_t_bar + sigma_t^2/2))^2)","I checked Section II where the authors define their system model and channel model. They explicitly define the channel gain for a communication link as H_c = G_c H(D) and the channel gain for sensing as H_s = G_s Re H(2D). The atmospheric-propagation term H(D) is further decomposed into atmospheric attenuation L_a(D), turbulence L_t(D), and geometric loss L_g(D). The turbulence L_t(D) is modeled using a log-normal distribution."
O_ISAC_023,Atmospheric,Empirical Formula,ADOPTED,"The atmospheric attenuation arises from the absorption and scattering of fog, haze, and heavy rain, and an empirical formula to calculate the attenuation in dB scale is given by L_alpha(D) = alpha * V^beta * D","I checked Section II where the authors define their system model and channel model. They explicitly define the channel gain for a communication link as H_c = G_c H(D) and the channel gain for sensing as H_s = G_s Re H(2D). The atmospheric-propagation term H(D) is further decomposed into atmospheric attenuation L_a(D), turbulence L_t(D), and geometric loss L_g(D). The turbulence L_t(D) is modeled using a log-normal distribution."
O_ISAC_015,Multipath/Indoor,Lambertian,ADOPTED,"The LOS channel gain is modeled by equation (2), which is based on the Lambertian model.","I checked Section II where the authors define their system model. The channel gain model is given by equation (2), which is based on the Lambertian model. The incidence angle is affected by device orientation, modeled using a truncated Laplace distribution for the polar angle and a uniform distribution for the azimuth angle."
O_ISAC_015,Multipath/Indoor,Lambertian,ADOPTED,"The LOS channel gain is modeled by Equation (2), which is based on the Lambertian distribution.","I checked Section II where the authors define their system model. The channel model is explicitly defined in Equation (2) which follows a Lambertian distribution for the LOS channel gain. Additionally, the incidence angle is affected by device orientation, modeled using a truncated Laplace distribution for the polar angle and a uniform distribution for the azimuth angle."
O_ISAC_015,Pointing,Truncated Laplace,ADOPTED,The polar angle is modeled using a truncated Laplace distribution.,"I checked Section II where the authors define their system model. The channel model is explicitly defined in Equation (2) which follows a Lambertian distribution for the LOS channel gain. Additionally, the incidence angle is affected by device orientation, modeled using a truncated Laplace distribution for the polar angle and a uniform distribution for the azimuth angle."
O_ISAC_015,Pointing,Uniform,ADOPTED,The azimuth angle follows a uniform distribution.,"I checked Section II where the authors define their system model. The channel model is explicitly defined in Equation (2) which follows a Lambertian distribution for the LOS channel gain. Additionally, the incidence angle is affected by device orientation, modeled using a truncated Laplace distribution for the polar angle and a uniform distribution for the azimuth angle."
O_ISAC_030,Multipath/Indoor,Lambertian,ADOPTED,"The light channel gain can be represented as h = ((m+1)A)/(2*pi^2 * d1^2 * d2^2) * rho * dAs * cos^m(phi) * cos(psi) * cos(alpha) * cos(beta), where m is the Lambertian emission order of transmitter LED.",I checked Section II and III. The authors explicitly define the channel model using the Lambertian radiation pattern (Eq 1) for the light channel gain. They also mention the use of a photodiode (PD) to capture the reflected light intensity and the extraction of spatial information through multi-carrier design.
O_ISAC_030,Multipath/Indoor,Lambertian,ADOPTED,The authors use the Lambertian radiation pattern to characterize the reflected light intensity (Eq 1).,I checked Section II and III. The authors explicitly define the channel model using the Lambertian radiation pattern (Eq 1) and the light channel gain. They also mention the use of multi-carrier design to embed spatial information into VLC data stream.
O_ISAC_009,Pointing,Lambertian,ADOPTED,The LoS path is modelled using the generalized Lambertian pattern (Eq 1).,"I checked Section II. The authors explicitly define the LoS path using the generalized Lambertian pattern (Eq 1) and the NLoS path using a model based on I segments of I-1 reflections by Lambertian reflectors (Eq 3). However, no specific channel probability distributions are defined. The path loss models used are based on the Lambertian pattern for LoS and a reflection-based model for NLoS."
O_ISAC_009,Multipath/Indoor,Reflection-based,ADOPTED,The NLoS path is modelled using a reflection-based model (Eq 3).,"I checked Section II. The authors explicitly define the LoS path using the generalized Lambertian pattern (Eq 1) and the NLoS path using a model based on I segments of I-1 reflections by Lambertian reflectors (Eq 3). However, no specific channel probability distributions are defined. The path loss models used are based on the Lambertian pattern for LoS and a reflection-based model for NLoS."
O_ISAC_009,Atmospheric,Lambertian,ADOPTED,The LoS path is formulated according to the generalized Lambertian pattern (Eq 1),I checked Section II. The authors explicitly define the LoS path using the generalized Lambertian pattern (Eq 1) and the NLoS path using a model with multiple reflections (Eq 3). The noise is modeled as Additive White Gaussian Noise (AWGN).
O_ISAC_009,Multipath/Indoor,Lambertian reflectors,ADOPTED,The NLoS link is modelled by I segments of I-1 reflections by Lambertian reflectors (Eq 3),I checked Section II. The authors explicitly define the LoS path using the generalized Lambertian pattern (Eq 1) and the NLoS path using a model with multiple reflections (Eq 3). The noise is modeled as Additive White Gaussian Noise (AWGN).
O_ISAC_009,Multipath/Indoor,AWGN,ADOPTED,The noise is modeled as Additive White Gaussian Noise (AWGN),I checked Section II. The authors explicitly define the LoS path using the generalized Lambertian pattern (Eq 1) and the NLoS path using a model with multiple reflections (Eq 3). The noise is modeled as Additive White Gaussian Noise (AWGN).
O_ISAC_011,Multipath/Indoor,Lambertian,ADOPTED,"The communication channel gain is expressed using the Lambertian emission pattern, as given by equation (1).","I checked Section II, specifically the 'A. Channel model' subsection. The authors define the communication channel gain using the Lambertian emission pattern and the sensing channel gain using a similar equation. No specific probability distributions are mentioned for turbulence, atmospheric, or pointing models. However, the channel models used are based on the Lambertian emission pattern, which can be categorized under 'Multipath/Indoor' as it relates to the indoor environment and the use of LED lights."
O_ISAC_011,Multipath/Indoor,Lambertian,ADOPTED,The communication channel gain is expressed using the Lambertian emission pattern (Eq 1).,"I checked Section II, specifically the Channel model subsection. The authors define the communication channel gain using the Lambertian emission pattern and provide equations for the communication and sensing channel gains. No specific probability distributions are mentioned, but the channel models are based on the Lambertian emission pattern."
O_ISAC_060,Turbulence,Gamma-Gamma,ADOPTED,"The probability density function of 'h' is given by Eq (6), which represents the Gamma-Gamma distribution.",I checked Section II of the paper. The authors explicitly define the channel model using the Gamma-Gamma distribution for atmospheric turbulence channels. The probability density function of the light intensity fading coefficient 'h' is given by Eq (6).
O_ISAC_060,Turbulence,Gamma-Gamma,ADOPTED,"h follows the Gamma-Gamma distribution, and its probability density function can be expressed as [14]",I checked Section II. The authors explicitly define the channel model using the Gamma-Gamma distribution for atmospheric turbulence channels. The probability density function of the Gamma-Gamma distribution is given in Eq (6).
