gate_id,gate_name,owner,required_inputs,pass_criterion,evidence_file,status,blocking_failure
G0,baseline_freeze,QA,source_zip_and_manifest,hash_match_and_27_page_clean_build,,not_started,yes
G1,selection_lock,EvidenceLead,candidate_universe_and_protocol,criteria_strata_stop_rule_locked,,not_started,yes
G2,source_manifest,EvidenceLead,selected_reports,all_report_ids_paths_hashes_present,,not_started,yes
G3,dual_verification,Adjudicator,reviewer_a_and_b_forms,at_least_30_dual_verified_and_zero_unresolved,,not_started,yes
G4,evidence_lock,Adjudicator,verified_rows_and_discrepancies,all_cells_source_traceable_and_no_invalid_ranking,,not_started,yes
G5,reader_value,SeniorAuthor,revised_sections_and_roadmap,section_lessons_and_roadmap_fields_complete,,not_started,yes
G6,build_page,QA,integrated_manuscript,clean_build_and_page_count_le_30,,not_started,yes
G7,render_reader,IndependentReader,rendered_pdf_and_test,visual_pass_and_reader_score_ge_4_of_5,,not_started,yes
G8,release,CorrespondingAuthor,final_source_pdf_manifests,all_author_signoff_and_release_hashes,,not_started,yes

