track_id,title,title_source,doi,doi_source,corpus_dir,primary_markdown_path,primary_meta_path,present_in_processed_markdowns,present_in_extraction_v4_unified,present_in_legacy_included_studies_list,present_in_excluded_fulltext_log,legacy_included_doi,legacy_included_title,legacy_screening_log_match_count,legacy_screening_log_decisions,notes
O_ISAC_001,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,meta_json_toc,10.1109/ICTON67126.2025.11125210,legacy_included_list,data/proc_markdowns/O_ISAC_001,data/proc_markdowns/O_ISAC_001/O_ISAC_001.md,data/proc_markdowns/O_ISAC_001/O_ISAC_001_meta.json,yes,yes,yes,no,10.1109/ICTON67126.2025.11125210,Modulation Strategies for Robust Optical Wireless Communications and Sensing in 6G,1,Duplicate,
O_ISAC_002,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,meta_json_toc,,,data/proc_markdowns/O_ISAC_002,data/proc_markdowns/O_ISAC_002/O_ISAC_002.md,data/proc_markdowns/O_ISAC_002/O_ISAC_002_meta.json,yes,yes,yes,no,,Photonic Terahertz Integrated Sensing and Communication (ISAC) Systems,2,Duplicate,
O_ISAC_003,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,meta_json_toc,10.1109/WCNC61545.2025.10978645,legacy_included_list,data/proc_markdowns/O_ISAC_003,data/proc_markdowns/O_ISAC_003/O_ISAC_003.md,data/proc_markdowns/O_ISAC_003/O_ISAC_003_meta.json,yes,yes,yes,no,10.1109/WCNC61545.2025.10978645,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,1,Duplicate,
O_ISAC_004,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,meta_json_toc,10.1109/ICOCN67308.2025.11145535,legacy_included_list,data/proc_markdowns/O_ISAC_004,data/proc_markdowns/O_ISAC_004/O_ISAC_004.md,data/proc_markdowns/O_ISAC_004/O_ISAC_004_meta.json,yes,yes,yes,no,10.1109/ICOCN67308.2025.11145535,Adiabatic-tapered few-mode-fiber-based system for integrating optical fiber sensing and telecommunication,0,,
O_ISAC_005,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,meta_json_toc,10.1109/WCNC61545.2025.10978163,legacy_included_list,data/proc_markdowns/O_ISAC_005,data/proc_markdowns/O_ISAC_005/O_ISAC_005.md,data/proc_markdowns/O_ISAC_005/O_ISAC_005_meta.json,yes,yes,yes,no,10.1109/WCNC61545.2025.10978163,Integrated Sensing and Communication for UAV Trajectory Optimization in Mixed FSO-RF Networks in Dynamic Weather Conditions,1,Duplicate,
O_ISAC_006,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,meta_json_toc,10.1109/ICCT62411.2024.10946617,legacy_included_list,data/proc_markdowns/O_ISAC_006,data/proc_markdowns/O_ISAC_006/O_ISAC_006.md,data/proc_markdowns/O_ISAC_006/O_ISAC_006_meta.json,yes,yes,yes,no,10.1109/ICCT62411.2024.10946617,Recent Advancements and Challenges in Integrated Sensing and Communication in Optical Fiber,1,Duplicate,
O_ISAC_007,Miniaturized optical fiber displacement probe with large-collection-angle,meta_json_toc,10.1109/ICOCN67308.2025.11145514,legacy_included_list,data/proc_markdowns/O_ISAC_007,data/proc_markdowns/O_ISAC_007/O_ISAC_007.md,data/proc_markdowns/O_ISAC_007/O_ISAC_007_meta.json,yes,yes,yes,no,10.1109/ICOCN67308.2025.11145514,Miniaturized optical fiber displacement probe with large-collection-angle,0,,
O_ISAC_008,Wide-steering Integrated Sensing and Communication OPA-based Lidar Design with Joint Waveform and Thinned Antenna,meta_json_toc,10.23919/OECC/PSC62146.2025.11111436,legacy_included_list,data/proc_markdowns/O_ISAC_008,data/proc_markdowns/O_ISAC_008/O_ISAC_008.md,data/proc_markdowns/O_ISAC_008/O_ISAC_008_meta.json,yes,yes,yes,no,10.23919/OECC/PSC62146.2025.11111436,Wide-Steering Integrated Sensing and Communication OPA-Based Lidar Design with Joint Waveform and Thinned Antenna,1,Duplicate,
O_ISAC_009,Integrated Positioning and Communication Relying on Wireless Optical OFDM,meta_json_toc,10.1109/JSAC.2025.3543532,legacy_included_list,data/proc_markdowns/O_ISAC_009,data/proc_markdowns/O_ISAC_009/O_ISAC_009.md,data/proc_markdowns/O_ISAC_009/O_ISAC_009/O_ISAC_009_meta.json,yes,yes,yes,no,10.1109/JSAC.2025.3543532,Integrated Positioning and Communication Relying on Wireless Optical OFDM,1,Duplicate,
O_ISAC_010,High-speed DMT signal and power-over-fiber simultaneous transmission over weakly-coupled multicore Fiber,meta_json_toc,10.1109/ICWOC65853.2025.11150794,legacy_included_list,data/proc_markdowns/O_ISAC_010,data/proc_markdowns/O_ISAC_010/O_ISAC_010.md,data/proc_markdowns/O_ISAC_010/O_ISAC_010_meta.json,yes,yes,yes,no,10.1109/ICWOC65853.2025.11150794,High-Speed DMT Signal and Power-Over-Fiber Simultaneous Transmission Over Weakly-Coupled Multicore Fiber,0,,
O_ISAC_011,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,meta_json_toc,10.1109/ACP/IPOC63121.2024.10809915,legacy_included_list,data/proc_markdowns/O_ISAC_011,data/proc_markdowns/O_ISAC_011/O_ISAC_011.md,data/proc_markdowns/O_ISAC_011/O_ISAC_011/O_ISAC_011_meta.json,yes,yes,yes,no,10.1109/ACP/IPOC63121.2024.10809915,Retroreflective Optical ISAC Supporting 3D Positioning in Indoor Environments,1,Duplicate,
O_ISAC_012,Phase-Coded FMCW for Optical Integrated Sensing and Communication,meta_json_toc,10.1109/ACP/IPOC63121.2024.10809937,legacy_included_list,data/proc_markdowns/O_ISAC_012,data/proc_markdowns/O_ISAC_012/O_ISAC_012.md,data/proc_markdowns/O_ISAC_012/O_ISAC_012/O_ISAC_012_meta.json,yes,yes,yes,no,10.1109/ACP/IPOC63121.2024.10809937,Phase-Coded FMCW for Optical Integrated Sensing and Communication,1,Duplicate,
O_ISAC_013,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,meta_json_toc,10.1109/JSEN.2025.3554542,legacy_included_list,data/proc_markdowns/O_ISAC_013,data/proc_markdowns/O_ISAC_013/O_ISAC_013.md,data/proc_markdowns/O_ISAC_013/O_ISAC_013/O_ISAC_013_meta.json,yes,yes,yes,no,10.1109/JSEN.2025.3554542,Single-Ended > 100-km Distributed Vibration Sensor Based on OFDR Using Pearson Correlation Coefficient,1,Duplicate,
